source_id,source_elections,source_speech_id,source_politician,source_date,source_location,source_paragraph,text,source_text_el,gt_criticism_or_agenda
agora_Androulakis_2023_04_23_Trikala_p1,1st Elections 2023-05-21,Androulakis_2023_04_23_Trikala,Androulakis,2023-04-23,Trikala,1,"Friends. Today the message here from Trikala. It is loud and clear. As long as the democratic party is beaten with paracratic methods, it will grow stronger and stronger in every corner of Greece. First of all, I would like to wish you a happy birthday, because we have many celebrants.","Φίλες και φίλοι. Σήμερα το μήνυμα εδώ από τα Τρίκαλα. Είναι ηχηρό και ξεκάθαρο. Όσο χτυπούν με παρακρατικές μεθόδους τη δημοκρατική παράταξη, τόσο θα δυναμώνει, τόσο θα θεριεύει σε κάθε γωνιά της Ελλάδας. Καταρχάς θέλω να ευχηθώ χρόνια πολλά, διότι έχουμε πολλούς εορτάζοντες.",political agenda
agora_Androulakis_2023_04_23_Trikala_p2,1st Elections 2023-05-21,Androulakis_2023_04_23_Trikala,Androulakis,2023-04-23,Trikala,2,"And I want to say that in these difficult days when this election campaign started. Some people are again trying to raise false dilemmas. But what is the real dilemma of the election? It is egoism. Of Mr Tsipras and Mr Mitsotakis. Who cannot appreciate that what they have done over the last eight and a half years has led Greece to continue the merry-go-round of lost opportunities. The toxicity, the division. So what is the real dilemma? Is the real dilemma or do we as a nation as a people build a state that guarantees the public interest and security? Or do we continue the game in which the rulers of the day will have the state as a booty in their hands with the sole aim of buffoonery and strengthening their power? We, then, get in the way. To those who have bankrupted Greece. To the attitudes that are driving the young generation abroad. The practices that make citizens disillusioned. But now the people cannot say that they did not know as they did in 2014. Now we know very well what Mr Tsipras and Mr Kammenos were, and what Mr Mitsotakis was? They have been tested. So today, does Mr Mitsotakis think he can hide his executive failure? The grave insult to the institutions, the widening of social inequalities, the reduction in the purchasing power of citizens and job insecurity does not call for a positive vote for the work he is doing. He goes all over Greece and spreads the scarecrow of Mr Tsipras' governance and says. Vote for me because they will come.","Και θέλω να πω ότι αυτές τις δύσκολες μέρες που ξεκίνησε αυτή η προεκλογική εκστρατεία. Κάποιοι προσπαθούν ξανά να θέσουν ψεύτικα διλήμματα. Ποιο όμως είναι το πραγματικό δίλημμα των εκλογών; Είναι οι εγωισμοί. Του κυρίου Τσίπρα και του κυρίου Μητσοτάκη. Που δεν μπορούν να αξιολογήσουν ότι αυτά που έκαναν τα τελευταία οκτώμισι χρόνια έχουν οδηγήσει την Ελλάδα να συνεχίζει το γαϊτανάκι των χαμένων ευκαιριών. Την τοξικότητα, το διχασμό. Ποιο είναι λοιπόν το πραγματικό δίλημμα; Το πραγματικό δίλημμα είναι ή οικοδομούμε ως έθνος ως λαός, ένα κράτος που εγγυάται το δημόσιο συμφέρον και την ασφάλεια; Ή συνεχίζουμε το παιχνίδι που οι εκάστοτε κυβερνώντες θα έχουν το κράτος λάφυρο στα χέρια τους με μόνο στόχο το ρουσφέτι και την ενίσχυση της εξουσίας τους. Εμείς λοιπόν, μπαίνουμε εμπόδιο. Σε αυτά που χρεοκόπησαν την Ελλάδα. Στις νοοτροπίες που οδηγούν τη νέα γενιά στο εξωτερικό. Τις πρακτικές που κάνουν τους πολίτες να απογοητεύονται. Τώρα όμως ο λαός δεν μπορεί να πει ότι δεν ήξερε όπως το 2014. Τώρα ξέρουμε πάρα πολύ καλά και τι ήταν ο κύριος Τσίπρας με τον κύριο Καμμένο, αλλά και τι ήταν ο κύριος Μητσοτάκης; Έχουν δοκιμαστεί. Σήμερα λοιπόν, ο κύριος Μητσοτάκης νομίζει ότι μπορεί να κρύψει την επιτελική του αποτυχία; Τη βαρύτατη προσβολή των θεσμών, τη διεύρυνση των κοινωνικών ανισοτήτων, τη μείωση της αγοραστικής δύναμης των πολιτών και την εργασιακή ανασφάλεια δεν ζητά θετική ψήφο για το έργο του τι κάνει. Πάει σε όλη την Ελλάδα και περιφέρει το σκιάχτρο διακυβέρνησης του κυρίου Τσίπρα και λέει. Ψηφίστε με γιατί θα έρθουν αυτοί.",criticism
agora_Androulakis_2023_04_23_Trikala_p3,1st Elections 2023-05-21,Androulakis_2023_04_23_Trikala,Androulakis,2023-04-23,Trikala,3,"So I say, from Trikala, vote PASOK so that neither of the two will come. He even has the nerve. And yesterday from my homeland, Crete. To continue the fake news and mythomania, proving his real agony. He says I am preparing a government with Mr Varoufakis. Who says that? Mr Mitsotakis. Who, together with Tsipras, Varoufakis, Samaras and all of them, divided the Greek people when they bankrupted our country. Mr Karamanlis. Who says that? Those who vindicated Mr Georgiou and did not issue a statement to apologise to him. The ones who are united by the common narrative of the country's bankruptcy. When did Mr Tsipras say a word against Mr Karamanlis? Never, barely a few days ago he announced his right-hand man on the ballot papers, Mr Antonaros. When did he ever say a word of criticism of the bankrupt government? Mr Mitsotakis never? So here they come to demand change and pose false dilemmas. This faction has nothing to do with the extreme right-wing of Mr Voridis, Mr Georgiades, Mr Karatzaferis, which Mr Mitsotakis has activated, nor with the extreme populism that Mr Tsipras has brought to the fore, dividing it; it is the democratic faction, it is the PASOK of Andreas Papandreou, which is proudly standing up again as a protagonist in the forefront of our country.","Εγώ λέω λοιπόν, από τα Τρίκαλα Ψηφίστε ΠΑΣΟΚ για να μην έρθει κανείς από τους 2. Έχει μάλιστα το θράσος. Και χθες από την πατρίδα μου, την Κρήτη. Να συνεχίσει τα fake news και τη μυθομανία, αποδεικνύοντας την πραγματική του αγωνία. Λέει ότι ετοιμάζω διακυβέρνηση με τον κύριο Βαρουφάκη. Ποιος το λέει αυτό; Ο κύριος Μητσοτάκης. Που μαζί με Τσίπρα, Βαρουφάκη, Σαμαρά και όλους μαζί δίχασαν τον ελληνικό λαό όταν χρεοκόπησε την πατρίδα μας. Ο κύριος Καραμανλής. Ποιοι το λένε αυτό; Αυτοί που δικαιώθηκε ο κύριος Γεωργίου και δεν έβγαλαν μια ανακοίνωση να του ζητήσουν συγγνώμη. Αυτοί που τους ενώνει το κοινό αφήγημα για τη χρεοκοπία της χώρας. Πότε είπε μια κουβέντα ενάντια του κυρίου Καραμανλή ο κύριος Τσίπρας; Ποτέ ίσα ίσα που πριν λίγες μέρες ανακοίνωσε το δεξί του χέρι στα ψηφοδέλτια, τον κύριο Αντώναρο. Πότε είπε μια λέξη κριτικής για τη διακυβέρνηση της χρεοκοπίας; Ο κύριος Μητσοτάκης ποτέ; Έρχονται λοιπόν να ζητήσουν τα ρέστα και να θέσουν ψεύτικα διλήμματα. Αυτή η παράταξη δεν έχει σχέση με την ακροδεξιά του κυρίου Βορίδη του κυρίου Γεωργιάδη, του κυρίου Καρατζαφέρη, που έχει ενεργοποιήσει ο κύριος Μητσοτάκης, ούτε με τον ακραίο λαϊκισμό που έφερε στο προσκήνιο, διχάζοντας ο κύριος Τσίπρας είναι η δημοκρατική παράταξη, είναι το ΠΑΣΟΚ του Ανδρέα Παπανδρέου που σηκώνεται περήφανο ξανά ως πρωταγωνιστής στο προσκήνιο της χώρας μας.",criticism
agora_Androulakis_2023_04_23_Trikala_p4,1st Elections 2023-05-21,Androulakis_2023_04_23_Trikala,Androulakis,2023-04-23,Trikala,4,"Friends. But what monstrosity? There is a worse monstrosity than the lack of respect for the ordinary citizen. There is a worse monstrosity than exposing your country internationally. Like Mr Tsipras in the referendum of 15 made a mockery of our country worldwide by turning the no yes vote into a no yes in a matter of minutes. So Mr Mitsotakis a few days ago, when European institutions came to Greece to meet the government, he closed the door on them as countries do. Press Hungary. So they, with their decisions, with their attitudes, are leading the country to monstrosity and special exceptionalism. We are fighting for a country and a proud people, a European normal country with respect for human rights, the rule of law and democracy. We are not fighting for the country of the cover-up of the wiretapping for the country, the cover-up of the TV licence game. You will not see next to me anyone convicted 13-0 by a special court who we have on our ballot papers, such as Mr Pappas; you will not see on the ballot papers of the democratic party anyone who has insulted the intelligence of the Greek people and the public interest. But on the other hand.","Φίλες και φίλοι. Ποια τερατογένεση όμως; Υπάρχει χειρότερη τερατογένεση από την έλλειψη σεβασμού του απλού πολίτη. Υπάρχει χειρότερη τερατογένεση από το να εκθέτεις τη χώρα σου διεθνώς. Όπως ο κύριος Τσίπρας στο δημοψήφισμα του 15 έκανε περίγελο τη χώρα μας παγκοσμίως, κάνοντας το όχι ναι, μέσα σε λίγα λεπτά. Έτσι ο κύριος Μητσοτάκης πριν από λίγες ημέρες, όταν ευρωπαϊκοί θεσμοί ήρθαν στην Ελλάδα, να συναντήσουν την κυβέρνηση, τους έκλεισε την πόρτα όπως κάνουν οι χώρες. Τύπου Ουγγαρίας. Αυτοί λοιπόν με τις αποφάσεις τους με τις συμπεριφορές τους, οδηγούν τη χώρα στην τερατογένεση και στο ειδικό εξαιρετικό παράδειγμα. Εμείς αγωνιζόμαστε για μια χώρα και ένα λαό περήφανο, μια ευρωπαϊκή κανονική χώρα με σεβασμό στα ανθρώπινα δικαιώματα, στο κράτος δικαίου και τη δημοκρατία. Δεν αγωνιζόμαστε για τη χώρα της συγκάλυψης των υποκλοπών για τη χώρα, της συγκάλυψης του παιχνιδιού των τηλεοπτικών αδειών. Δεν θα δείτε δίπλα μου κανένα καταδικασμένο από ειδικό δικαστήριο 13-0 που να τον έχουμε στα ψηφοδέλτιά μας, όπως τον κύριο Παππά, δεν θα δείτε στα ψηφοδέλτια της δημοκρατικής παράταξης κανέναν που έχει προσβάλλει τη νοημοσύνη του ελληνικού λαού και το δημόσιο συμφέρον. Αλλά από την άλλη.",criticism
agora_Androulakis_2023_04_23_Trikala_p5,1st Elections 2023-05-21,Androulakis_2023_04_23_Trikala,Androulakis,2023-04-23,Trikala,5,"We have the one who talks about progressive governance. You cannot have progressive governance by turning a blind eye to Golden Dawn. It cannot. On the one hand, Mr Mitsotakis is allowing 3 years to campaign. Golden Dawn from prison. And on the other hand, the so-called left, a few months before, when we have to show the way to protect our democratic constitution, to play Pontius Pilate to fish in the murky waters of the far right.","Έχουμε αυτόν που μιλάει για προοδευτική διακυβέρνηση. Προοδευτική διακυβέρνηση κλείνοντας το μάτι στη Χρυσή Αυγή δεν γίνεται. Δεν μπορεί. Από τη μία ο κύριος Μητσοτάκης να αφήνει 3 χρόνια να κάνει προεκλογική εκστρατεία. Η Χρυσή Αυγή από τη φυλακή. Και από την άλλη δήθεν αριστερά, λίγους μήνες πριν, όταν πρέπει να δείξουμε το δρόμο της προστασίας του δημοκρατικού μας πολιτεύματος, να κάνει τον Πόντιο Πιλάτο για να ψαρέψει στα θολά νερά της ακροδεξιάς.",criticism
agora_Androulakis_2023_04_23_Trikala_p6,1st Elections 2023-05-21,Androulakis_2023_04_23_Trikala,Androulakis,2023-04-23,Trikala,6,"I say this so that every Greek understands that our basic political difference is that we are going and moving forward, not on the basis of our political interest, but on the basis of the principles and values of a democratic movement of a people, the people-born movement, such as the one that was founded in the good years of 1974, and if we have hurt the Greek people, some people with their practices are not among us. They will not be among us again and we are building a new relationship of trust with all Greek citizens. Therefore, voting for PASOK on May 21 is only PASOK. By voting PASOK we send these 2 systems of power to the past by voting PASOK you vote for the rule of law, a resilient and competitive economy, a cohesive society, fair development and prosperity for all citizens and not only for the likes of the powerful. Today, PASOK on this new page is building relationships of trust every day. So said the great Nikos Kazantzakis. Non-existent is that we did not desire enough. We in PASOK wish enough for a strong and just Greece in Europe and in the world and we will make this non-existent with our struggle in the next 4 weeks real for all Greeks. We keep our best traditions our patriotic DNA our historic struggles for democracy and social justice and the unparalleled work of infrastructure and the rule of law. The welfare state, health and education, the national health system built by George Gennimatas and Paraskevas Avgerinos of Public Education that your children and grandchildren. They were the ones who could for many, many years study in Greek universities, become doctors, lawyers. The child of the farmer, the farmer's child and to achieve more in life than previous generations, we are the party, the progressive, patriotic party of European social democracy.","Τα λέω αυτά για να καταλάβει η κάθε Ελληνίδα και ο κάθε Έλληνας ότι η βασική μας πολιτική διαφορά είναι ότι πάμε και προχωράμε, όχι βάσει του πολιτικού μας συμφέροντος, αλλά βάσει των αρχών και των αξιών ενός δημοκρατικού κινήματος ενός λαού, οι λαογέννητου κινήματος, όπως αυτό που ιδρύθηκε τα καλά χρόνια του 1974 και αν πληγώσαμε τον Ελληνικό Λαό Κάποιοι με τις πρακτικές τους δεν είναι ανάμεσά μας. Δεν θα είναι ξανά ανάμεσά μας και οικοδομούμε μια νέα σχέση εμπιστοσύνης με όλους τους έλληνες πολίτες. Γι’αυτό λοιπόν 21 Μάη ψηφίζοντας ΠΑΣΟΚ βγαίνει μόνο ΠΑΣΟΚ. Ψηφίζοντας ΠΑΣΟΚ στέλνουμε στο παρελθόν αυτά τα 2 συστήματα εξουσίας ψηφίζοντας ΠΑΣΟΚ ψηφίζεις, κράτος δικαίου, ανθεκτική και ανταγωνιστική οικονομία, συνεκτική κοινωνία, δίκαιη ανάπτυξη και ευημερία για όλους τους πολίτες και όχι μόνο για τους αρεστούς τους ισχυρούς. Σήμερα το ΠΑΣΟΚ σε αυτή τη νέα του σελίδα οικοδομεί κάθε μέρα σχέσεις εμπιστοσύνης. Έλεγε ο Μεγάλος Νίκος Καζαντζάκης. Ανύπαρκτο είναι ότι δεν επιθυμήσαμε αρκετά. Εμείς στο ΠΑΣΟΚ επιθυμούμε αρκετά μια ισχυρή και δίκαιη Ελλάδα στην Ευρώπη και στον κόσμο και αυτό το ανύπαρκτο με τον αγώνα μας τις επόμενες 4 εβδομάδες θα το κάνουμε υπαρκτό για όλους τους Έλληνες. Κρατάμε τις καλύτερες μας παραδόσεις το πατριωτικό μας DNA τους ιστορικούς αγώνες για δημοκρατία και κοινωνική δικαιοσύνη και το ανεπανάληπτο έργο των υποδομών και το κράτους δικαίου. Του κοινωνικού κράτους, της υγείας και της παιδείας, του εθνικού συστήματος υγείας που έφτιαξε ο Γιώργος Γεννηματάς και ο Παρασκευάς Αυγερινός της Δημόσιας Παιδείας που τα δικά σας παιδιά και τα εγγόνια σας. Ήταν αυτά που μπορούσαν για πάρα πολλά χρόνια να σπουδάσουν στα ελληνικά πανεπιστήμια, να γίνουν γιατροί δικηγόροι. Το παιδί του αγρότη, του κτηνοτρόφου και να πετύχει περισσότερα στη ζωή του από ό,τι οι προηγούμενες γενιές είμαστε εμείς το κόμμα, το προοδευτικό, το πατριωτικό της ευρωπαϊκής σοσιαλδημοκρατίας.",political agenda
agora_Androulakis_2023_04_23_Trikala_p7,1st Elections 2023-05-21,Androulakis_2023_04_23_Trikala,Androulakis,2023-04-23,Trikala,7,"Friends, with a strong PASOK on 21 May we are opening a new page for young people and new generations.",Φίλες και φίλοι με ισχυρό ΠΑΣΟΚ στις 21 Μαΐου ανοίγουμε νέα σελίδα για τους νέους και τις νέες γενιές.,political agenda
agora_Androulakis_2023_04_23_Trikala_p8,1st Elections 2023-05-21,Androulakis_2023_04_23_Trikala,Androulakis,2023-04-23,Trikala,8,"This is why we call on the Greek people. To make a choice of responsibility. A decision for change. A decision of change that is a clear choice between the state of opacity that exists only to serve the blue children and a state of meritocracy, transparency and respect for institutions.","Για αυτό καλούμε τον ελληνικό λαό. Να πάρει μια επιλογή ευθύνης. Μια απόφαση αλλαγής. Μια απόφαση αλλαγής που είναι ξεκάθαρη επιλογή ανάμεσα στο κράτος της αδιαφάνειας που υπάρχει μόνο για να υπηρετεί τα γαλάζια παιδιά και σε ένα κράτος αξιοκρατίας, διαφάνειας και σεβασμού των θεσμών.",political agenda
agora_Androulakis_2023_04_23_Trikala_p9,1st Elections 2023-05-21,Androulakis_2023_04_23_Trikala,Androulakis,2023-04-23,Trikala,9,They say we have no seats. 15 days ago I said that all political leaders should commit themselves. That if we were part of the next government. All the institutions in the country and all the hospitals will have their administrations staffed by open international competitions and not by their party children as has been the case in recent years.,"Λένε ότι δεν έχουμε θέσεις. 15 μέρες τώρα πριν είπα να δεσμευτούμε όλοι οι πολιτικοί αρχηγοί. Ότι αν συμμετέχουμε στην επόμενη κυβέρνηση. Όλοι οι οργανισμοί της χώρας και όλα τα νοσοκομεία θα στελεχωθούν οι διοικήσεις τους με ανοιχτούς διεθνείς διαγωνισμούς και όχι με τα κομματικά τους παιδιά, όπως συμβαίνει τα τελευταία χρόνια.",political agenda
agora_Androulakis_2023_04_23_Trikala_p10,1st Elections 2023-05-21,Androulakis_2023_04_23_Trikala,Androulakis,2023-04-23,Trikala,10,"I have not heard either Mr Mitsotakis or Mr Tsipras answer, because they derive their power from the client state and not from meritocracy and transparency. Friends. But which state is the state? The one that some people said in 2014 in Thessaly and throughout Greece that you should not pay your loans. Because we are coming with Kammenos and to be fair, we were not told with Kammenos. Then they had the kinder surprise. And they were saying, don't pay seismicity, we are coming and you won't pay anything seismicity on red loans and after a year of deceiving the Greek people, Mr. Tsipras passes a law and hands over billions of red loans of farmers, farmers, farmers, cooperatives, small and medium enterprises to the crows of the funds. So we as a patriotic movement have only one goal. To put the plan to de-fund the Greek economy on the sidelines and protect all Greeks so that they have a second chance of dignity and can settle their loans in a fair way. We are not saying that the strategic defaulters should be burned with the dry and the green, but the people who are being blackmailed by the funds that took the loans at 5, 10, 15% of the value.","Δεν άκουσα να απαντάει ούτε ο κύριος Μητσοτάκης, ούτε ο κύριος Τσίπρας, γιατί αντλούν τη δύναμή τους από το πελατειακό παρακράτος και όχι από την αξιοκρατία και τη διαφάνεια. Φίλες και φίλοι. Ποιο κράτος όμως το κράτος; Που κάποιοι έλεγαν το 2014 στη Θεσσαλία και σε όλη την Ελλάδα μην πληρώνετε τα δάνειά σας. Γιατί ερχόμαστε μαζί με τον Καμμένο μάλιστα για να ‘μαι δίκαιος δεν μας το είπαν με τον Καμμένο. Μετά είχαν το kinder έκπληξη. Και έλεγαν Σεισάχθεια μην πληρώνετε, ερχόμαστε και δεν θα πληρώσετε τίποτα σεισάχθεια στα κόκκινα δάνεια και μετά από ένα χρόνο εξαπατώντας τον ελληνικό λαό ψηφίζει ο κύριος Τσίπρας νόμου και παραδίδει δισεκατομμύρια κόκκινα δάνεια αγροτών, κτηνοτρόφων, συνεταιρισμών, μικρομεσαίων επιχειρήσεων στα κοράκια των funds. Εμείς λοιπόν ως πατριωτικό κίνημα έχουμε μόνο ένα στόχο. Να θέσουμε το σχέδιο αφελληνισμού της ελληνικής οικονομίας στο περιθώριο και να προστατεύσουμε όλους τους Έλληνες για να έχουν μια δεύτερη ευκαιρία αξιοπρέπειας και να μπορούν να ρυθμίσουν με δίκαιο τρόπο τα δάνεια τους. Εμείς δεν λέμε να καούν μαζί με τα ξερά και τα χλωρά άλλο οι στρατηγικοί κακοπληρωτές και άλλο οι άνθρωποι που εκβιάζονται από τα funds, τα οποία πήραν τα δάνεια στο 5, 10, 15% της αξίας.",criticism
