source_id,source_row,source_sentiment,source_balanced_train,text,gt_pro_womens_march
wm_1,1,1.0,0.0,YES! I'm still with her and always will be. https://t.co/2LWJYectzQ,1
wm_2,2,0.0,0.0,Pics or it didn't happen. https://t.co/o1GddSmwk2,1
wm_3,3,1.0,1.0,I love this nasty woman. @MaribethMonroe #womensmarch #womensmarchLA https://t.co/QlCaKiz6yM,1
wm_4,4,1.0,1.0,RT @YiawayYeh: Marching for love. Nashville #WomensMarch https://t.co/PPEpxIM6O7,1
wm_5,5,0.0,1.0,These people are just Sad. https://t.co/0LK6iGHmHx,0
wm_6,6,1.0,0.0,RT @DaShanneStokes: I support the @womensmarch and encourage you to as well. Learn more: https://t.co/G9oKBjqVcH #TheResistance #resist #tr…,1
wm_9,9,1.0,0.0,"\nReporter: \""That's a lie but have you looked out…""",1
wm_10,10,0.0,1.0,"Laurie Penny just admitted to, up until recently, being the establishment. \nhttps://t.co/6tvTp1B5PQ",0
wm_11,11,0.0,1.0,@realDonaldTrump here comes the Twitter tantrum .. grow the fuck up #womensmarch #fucktrump #growup #twitterinchief https://t.co/7FekICFOzd,1
wm_12,12,1.0,0.0,RT @shannonrwatts: Honored to be included on behalf of @MomsDemand... \n \n#whyimarch #womensmarch https://t.co/9l0khiN14I,1
wm_13,13,1.0,1.0,Our #MondayMotivation's are all those that were a part of the #WomensMarch https://t.co/fRmkAkMWQM,1
wm_14,14,1.0,1.0,"RT @dougf24: Seven hours before official start time, people starting to gather on National Mall in Washington DC for #WomensMarch. High tur…",1
wm_15,15,0.0,0.0,"Staring at my cat because @MMFlint told me to. Tomorrow, the fight continues. #womensmarch",1
wm_16,16,1.0,0.0,RT @Mitch_Pittman: People continue to pour off the ferry for the Seattle #WomensMarch. https://t.co/tnhGtv8Hgr,1
wm_17,17,1.0,0.0,RT @nessaphelan: @robdelaney can you please give a signal boost for a red state #WomensMarch? We are expecting big #s and need more A/V equ…,1
wm_18,18,1.0,0.0,RT @NancyRichmond: Bringing online connections into the real world #LeadersGetSocial https://t.co/11G7ZXpXbB,1
wm_19,19,0.0,0.0,@letsmove @MichelleObama Please retweet and like to stop trump #notmypresident #WomensMarch #Feminist https://t.co/gDvTG36sWv,1
wm_20,20,1.0,0.0,RT @melissagira: The @womensmarch supports sex workers' rights. That's huge. It shouldn't be. This is my explanation why. https://t.co/mQ2z…,1
wm_21,21,1.0,0.0,RT @AnasuyaIam: This THREAD....🔥🔥🔥💯 \n#WomensMarch https://t.co/1EuasMFZrf,1
wm_22,22,0.0,0.0,RT @MacleansMag: Gloria Steinem on why the word 'feminism' is so misunderstood: https://t.co/Ae6E5EfpXv #WomensMarch,1
wm_23,23,1.0,1.0,Maybe there's hope that the world will turn to a better place after all #WomensMarch #3o2balna,1
wm_24,24,0.0,0.0,@piersmorgan Thanks for the opinion. Noted and ignored. You don't get to set terms for #freespeech or #WomensMarch,1
wm_25,25,0.0,1.0,She is a true leader of evil! LEADING Mentally ill foolish American women into converting 2 SHARIA where soon your UTERUS will be mutilated! https://t.co/bL37gl7wDK,0
wm_26,26,0.0,1.0,"Another irrelevant celebrity, without a clue, leading the mindless. https://t.co/SbMbSVhLiP",0
wm_27,27,1.0,0.0,We made history at #womensmarch. Now it’s time to make our voices heard. First up: send a postcard to your Senators https://t.co/Q18CKutQtG,1
wm_28,28,1.0,0.0,Can't wait to see her outfit https://t.co/SsCcDZWckO,1
wm_29,29,1.0,0.0,Run for office! Vote in the midterms. #WomensMarch #nastywomen,1
wm_30,30,1.0,0.0,"RT @sarperotto: #WomensMarch #SanFrancisco can hardly move in the crowds! Chant of the day \we need a leader, not a sleazy tweeter\"" https:/…""",1
wm_31,31,1.0,0.0,RT @MaureenFrench: TY @cspan for airing the #WomensMarch #TheResistance #OurRevolution #NotMyPresident \nTake note @CNN @MSNBC @NBC @FOX @ABC…,1
wm_32,32,1.0,1.0,RT @BuzzFeed: Two generations of the #WomensMarch on Washington https://t.co/i1FyjmSN0c https://t.co/4Yie4cAT4P,1
wm_33,33,0.0,1.0,"RT @pcr241: I saw JUDGE JANINE,questioning the women at this THING,they seemed BEWILDERED and CONFUSED as to their PURPOSE \n \n#SHARIAsuks htt…",0
wm_34,34,1.0,0.0,Say it again! #BlackLivesMatter https://t.co/sPCsnf7P4U,1
wm_35,35,0.0,1.0,RT @SirenWonderland: You're so vain. You prolly think this March is about you. @BosWomensMarch #WomensMarch https://t.co/63rcnQuzPV,1
wm_36,36,1.0,0.0,"RT @MaggieSimmons97: my heart ACHES that I couldn't be with u this time, but I am so emotional and so proud of everyone walking the #Womens…",1
wm_37,37,0.0,1.0,RT @Thomas1774Paine: Grocery stores experience shortage on chemical cleaning supplies after #WomensMarch attendees swap man-hater recipes.…,0
wm_38,38,0.0,0.0,"RT @dlmluckytiger: Wow! Snl- Kelly Ann Conway steals \Chicago\""! Must watch &amp; RT! #alternativefacts #WomensMarch #SNL https://t.co/de2qmGAP…""",1
wm_39,39,1.0,0.0,@libertasforall @RealJamesWoods @womensmarch Look at history.,1
wm_40,40,0.0,0.0,Trump's White House website has already deleted all references to LGBT rights. Please march tomorrow #WomensMarch https://t.co/u8rRER3FJ7 https://t.co/XMitfVerFN,1
wm_41,41,1.0,1.0,"#Asheville #WomensMarch 10,000 strong. population just 87k. #lovewins #ProudAmerican #notmypresident https://t.co/cmJyBqayDw",1
wm_42,42,0.0,0.0,"#WomensMarch I believe if we repeat income inequality like broken record, it'll make this gov try to deliver results",1
wm_43,43,1.0,0.0,for my book nerds https://t.co/zpysXtLBtX,1
wm_44,44,1.0,0.0,#marchonwashington #womensmarch #selfie #pinkhat #pinkpussyhat #jan21 @ Washington National Mall https://t.co/VdzPLeuIBi,1
wm_45,45,0.0,0.0,RT @mgremb: Why are people arguing about whether the Women's March has a good name or not. \n \nJust. Show. Up. \n \n#WomensMarch,1
wm_46,46,0.0,1.0,"RT @HearTheChimp: @TEN_GOP @GlennMcmillan14 They will NEVER watch this, they're 2 busy protesting the fact they have NOTHING to protest abo…",0
wm_47,47,1.0,0.0,"RT @ddsnorth: .@MMFlint @womensmarch women marched on Washington in 1915 ... now, almost a century later, women must walk on Washington aga…",1
wm_48,48,1.0,0.0,RT @cathysharick: Breakfast for my kids while I'm at the #WomensMarch in DC. ❤️❤️@theablebaker https://t.co/ePqSP8ddtm,1
wm_49,49,1.0,1.0,RT @donnabrazile: #spread the good news. #WomensMarch https://t.co/CaS59obb3l,1
wm_50,50,1.0,0.0,RT @bbtalkmiley: I adore her so much #WomensMarch https://t.co/UVBXLkmn1d,1
wm_51,51,0.0,0.0,"Even in chess, women dont play men except in some rare competitions. One of the reason I support #WomensMarch and #GenderEquality",1
wm_52,52,1.0,1.0,RT @jessewente: This right here. https://t.co/iA65O3CUrl,1
wm_53,53,1.0,0.0,RT @BruceBourgoine: Crowd starting to gather at Statehouse for #WomensMarchme! #p2 #TheResistance #WomensMarch #UniteBlue #mepolitics https…,1
wm_54,54,1.0,0.0,I'm so happy to see my tl is full of people supporting the #WomensMarch even they cant join it,1
wm_55,55,0.0,1.0,"RT @haileybranson: \He's always says everything is 'So great!' Well, I think he's so gross.\""- Heather Brooks of N. Carolina. #WomensMarch h…""",1
wm_56,56,0.0,1.0,RT @notmeraymond: then where were you during the election? https://t.co/sbSqtMCwEN,1
wm_57,57,0.0,1.0,haaaa you understand that women marching is literally the reason your dumb ass was even allowed to vote for trump??? ever think about that?? https://t.co/9gfNozXGvG,1
wm_58,58,1.0,0.0,Watching everything from the #WomensMarch warms my heart and gives me hope,1
wm_59,59,0.0,1.0,RT @NewsHour: 'We’re going to continue to fight for our rights' -- #WomensMarch organizer @msladyjustice1 https://t.co/e6hO4oXQoq,1
wm_60,60,0.0,0.0,"RT @ChristineEwing7: @JustinTrudeau Some of your citizens have been denied entry to the USA .\Canadians denied US entry\"" https://t.co/DtvwL…""",1
wm_61,61,1.0,0.0,All day and radio silence from @POTUS about the possibly 3 million #WomensMarch worldwide. Is he having a come-to-jesus moment?,1
wm_62,62,1.0,0.0,Best sign ever! #WomensMarch #NotMyPOTUS https://t.co/xRZNHAhp9y,1
wm_63,63,1.0,1.0,RT @Fotis_Filippou: We're ready. See you all tomorrow! @womensmarchlon #WomensMarch #LoveTrumpsHate #BlackLivesMatter https://t.co/bW8QL92…,1
wm_64,64,1.0,0.0,Oakland strong. #oaklandwomensmarch #oakland #womensmarch #nastywomen #imwithher #meow… https://t.co/t1Uf58Ftbo,1
wm_65,65,0.0,0.0,We are the granddaughters of the witches you weren't able to burn. #WomensMarch https://t.co/rBqRXtgzXH,1
wm_66,66,1.0,0.0,RT @jennwadsworth: Updated estimate: just heard from @SanJosePD on scene that San Jose #WomensMarch drew 40k.,1
wm_67,67,1.0,0.0,The rap legend @MeekMill inspiring politics . #MMG https://t.co/bYvLGa28XC,1
wm_68,68,1.0,0.0,"50,000 strong! #WomensMarch #WomensMarchAustin #TheResistance #FreedomNotFear https://t.co/0npy1V15qK",1
wm_69,69,1.0,0.0,RT @madyoreilly: St. Louis will not go quietly 👏🏻👏🏽👏🏿#WomensMarch https://t.co/9335efIiKN,1
