source_row,source_date,source_country,text,gt_attack_type
1,2017-01-02,Afghanistan,"01/02/2017: Assailants abducted eleven construction laborers building a school in Takhta Pul, Kandahar, Afghanistan. The hostages were released on January 20, 2017. No group claimed responsibility for the incident; however, sources attributed the kidnapping to the Taliban.",Hostage Taking (Kidnapping)
2,2017-01-03,Sudan,"01/03/2017: Assailants shot and killed two civilians in Fantaga, South Darfur, Sudan. No group claimed responsibility for the attack.",Armed Assault
3,2017-01-02,Pakistan,"01/02/2017: Assailants attempted to abduct Obedullah Kasi in Quetta, Balochistan, Pakistan. Kasi, the son of the former Federal Minister, was not harmed as there were no reported casualties in the attempted kidnapping. No group claimed responsibility for the attack.",Hostage Taking (Kidnapping)
4,2017-01-02,Pakistan,"01/02/2017: An explosive device detonated near a Frontier Corps (FC) vehicle in Western Bypass neighborhood, Quetta, Balochistan, Pakistan. At least six soldiers were injured in the blast. The Baloch Liberation Army (BLA) and the Tehrik-i-Taliban Pakistan (TTP) separately claimed responsibility for the attack.",Bombing/Explosion
5,2017-01-02,Somalia,"01/02/2017: A suicide bomber detonated an explosives-laden vehicle at a Somali Armed Forces (SAF) checkpoint outside the Halane Military Base in Mogadishu, Somalia. This was one of two suicide bombings in Hawal Wadag on the same day. In addition to the two assailants, at least nine people were killed and 21 other people were injured across both blasts; the victims included soldiers and civilians. Al-Shabaab claimed responsibility for the incidents.",Bombing/Explosion
6,2017-01-02,Somalia,"01/02/2017: A suicide bomber detonated an explosives-laden vehicle at the Peace Hotel in Mogadishu, Somalia. This was one of two suicide bombings in Hawal Wadag on the same day. In addition to the two assailants, at least nine people were killed and 21 other people were injured across both blasts; the victims included soldiers and civilians. Al-Shabaab claimed responsibility for the incidents. Al-Shabaab claimed responsibility for the incident and stated that the Peace Hotel was targeted because many African leaders previously met there to collaborate on the current situation in Somalia.",Bombing/Explosion
7,2017-01-02,Pakistan,"01/02/2017: An explosive device detonated near a passenger bus in Kanri, Chattar subdistrict, Balochistan, Pakistan. Following the blast, assailants then opened fire on the bus. At least three people were injured in the incident. This was one of two similar attacks Chattar on the same day. No group claimed responsibility for the incidents.",Bombing/Explosion
8,2017-01-02,Pakistan,"01/02/2017: An explosive device detonated near a tractor-trolley in Chattar subdistrict, Balochistan, Pakistan. At least five people were injured in the blast. This was one of two similar attacks Chattar on the same day. No group claimed responsibility for the incidents.",Bombing/Explosion
9,2017-01-02,Afghanistan,"01/02/2017: A roadside bomb detonated targeting a police vehicle between the Kandhario and Surkhab areas in Mohammad Agha, Logar, Afghanistan. A police officer was killed and four officers, including a district police commander, were injured in the blast. No group claimed responsibility for the incident.",Bombing/Explosion
10,2017-01-02,Myanmar,"01/02/2017: An explosive device detonated on Yangon-Sittway Highway in Ponnagyun, Rakhine, Myanmar. There were no reported casualties in the blast. No group claimed responsibility for the attack.",Bombing/Explosion
11,2017-01-02,Iraq,"01/02/2017: Security forces intercepted and killed 10 suicide bombers driving three explosives-laden vehicles in Yarmijah neighborhood, Mosul, Nineveh, Iraq. No group claimed responsibility for the attack.",Bombing/Explosion
12,2017-01-02,Iraq,"01/02/2017: Assailants fired mortars that landed and detonated in Shirqat, Saladin, Iraq. At least two children were killed in the incident. This was one of two coordinated attacks in Saladin on the same day. No group claimed responsibility; however, sources attributed the incidents to the Islamic State of Iraq and the Levant (ISIL).",Bombing/Explosion
