source_id,source_row,source_non_comp,source_threatmin,source_threatmin2,text,gt_threat_minimizing
covid_1,1,0.0,0.0,0.0,"Given his track record, no one can take Trump’s word alone on a COVID-19 vaccine. But with satisfactory answers to these questions, every American can have confidence in a safe and effective COVID-19 vaccine.",0
covid_2,2,0.0,0.0,0.0,"Why did he break quarantine? He is a super spreader. \Trump returns to the Oval Office six days after his COVID-19 diagnosis\""""",0
covid_3,3,0.0,0.0,0.0,👀 \n \nER nurse tests positive for COVID-19 eight days after receiving vaccine,0
covid_4,4,0.0,0.0,0.0,"When Trump was saying young people couldn’t get coronavirus, he knew they could. \n \nWhen Trump was saying it was the same as the flu, he knew it was deadlier. \n \nWhen Trump was purposely downplaying the severity, he knew it passed through the air. \n \nHe knew.",0
covid_5,5,0.0,0.0,0.0,"I'm an ER Nurse in Seattle. Last night @SeattlePD officers came to the ER to obtain a statement from an assault patient. One officer, Eric Whitehead, blatantly refused to put a mask on while standing in a high-traffic hallway. There were covid positive pts in nearby rooms. 1/",0
covid_6,6,0.0,0.0,0.0,"Trump knew in February. \nHe knew that COVID-19 passes through the air. \nHe knew it is deadlier than the flu. \nHe knew it is dangerous to more than just our elderly and vulnerable. \n \nHe purposely downplayed the pandemic. And now, 190,000 Americans are dead.",0
covid_7,7,0.0,0.0,0.0,Vox’s @teddyschleifer says the experts have told him that California lockdowns have been successful in combatting Covid 19. \n \nReally?,0
covid_8,8,0.0,0.0,0.0,Trump didn’t buy more covid vaccine from Pfizer because Jared Kushner hadn’t figured out a way to get a piece of the profits on the backend. Let’s be real about this. @realDonaldTrump,0
covid_9,9,1.0,1.0,1.0,"@AbbyJohnson @Lott4Trump Not just the churches, but all other businesses too...it is over 8 mos. already...stop taking away our freedoms. The deaths are less than 2%...no need for these extreme lockdowns...this is communism, not freedom.",1
covid_10,10,0.0,0.0,0.0,"new rule: if you called covid a hoax, you go straight the fuck to the end of the vaccine line. no exceptions",0
covid_11,11,0.0,0.0,0.0,@realDonaldTrump @FLOTUS So the wise guy here mocking Joe Biden at Tuesday's debate for wearing a mask tests positive for #COVID19. Great.,0
covid_12,12,1.0,0.0,0.0,It never ends. First masks don’t work. Then masks always work. First it cannot be spread via aerosol. Now it’s primarily spread by aerosol. First herd immunity includes getting infected. Now herd immunity only includes vaccinations. Our CDC is a fraud.,0
covid_13,13,0.0,0.0,0.0,"COVID-19 is surging across the country and today in North Carolina we have our highest daily case count at 3,885 new cases. We can slow the spread if we do what we know works — wear a mask and keep social distance.",0
covid_14,14,0.0,0.0,0.0,"It didn’t have to be this way. \n \nBut now we must live with the enormous and unimaginable loss. Americans will carry this collective grief for decades. \n \nIn honor of all the lives cut tragically, needlessly short: \n \nWear a mask. Social distance. Stay home and stay safe. \n \nAnd vote.",0
covid_15,15,0.0,0.0,0.0,"My daughter, 17, asked a customer at her work to wear a mask. He threatened her by showing her his gun and telling her he has a right to carry a gun and to choose if he wears a mask or not. @realDonaldTrump @JoeBiden @KamalaHarris",0
covid_16,16,0.0,0.0,0.0,"If 2,800 Americans were killed in terrorist attacks every day, I bet people would step and do everything asked of them to help. Because, patriotism. But ask them to wear a mask and stay home? Apparently that’s too hard. #COVIDー19 #STAYATHOME",0
covid_17,17,0.0,0.0,0.0,"The director of the CDC predicted that total deaths from Covid-19 could reach “close to 450,000” by February unless a large percentage of Americans follow precautions like mask-wearing.",0
covid_18,18,0.0,0.0,0.0,White House staff members are now reportedly stepping over one another to be some of first people in United States to get Covid-19 vaccine — ahead of many seniors and front-line health care workers. Daily Covid deaths are higher than ever. Thanks for everything.,0
covid_19,19,0.0,0.0,0.0,Very excited to get moving and get needles in arms. The #COVID19 vaccines are the way out of this pandemic.,0
covid_20,20,1.0,0.0,0.0,Is the media going to call out Biden for holding an event with no social distancing?,0
covid_21,21,0.0,0.0,0.0,"Rand Paul was the only person in the Senate chamber who did not applaud officer Eugene Goodman Fri, and the only person who did not wear a mask. CNN",0
covid_22,22,0.0,0.0,0.0,"Democratic Rep. Bonnie Watson Coleman, a 75-year-old cancer survivor, has tested positive for the coronavirus. She believes she contracted the virus after taking shelter in a room with lawmakers who refused to wear masks during the Capitol riot.",0
covid_23,23,1.0,1.0,1.0,"If there are more Coronavirus cases since we began instituting mask mandates and lockdowns, why are we still instituting mask mandates and lockdowns?",1
covid_24,24,0.0,0.0,0.0,"@realDonaldTrump The American people are focused on: \n \n✅ National Covid Plan with mask mandate \n✅ Retain ACA until Covid subsides \n✅ Immediate stimulus plan that only provides money to the people, no WH improvements, no defense money etc \nNothing else. Zero \n \nIt is your job to provide",0
covid_25,25,0.0,0.0,0.0,"DEAL ALERT: Everything on is 20% off between now and Tuesday, December 1. \n \nUse discount code ‘WEARAMASK’ and give your loved one the gift of scientific belief.",0
covid_26,26,0.0,0.0,0.0,VOTE 🇺🇸 VOTE 🇺🇸 VOTE 🇺🇸 ✅ \nVOTE BIDEN / HARRIS 💙🇺🇸✅ \nDEMOCRATIC NATIONWIDE ✅ \nPRAY TO GOD EVERY DAY 🇺🇸🙏🏻♥️ \nWEAR A MASK! 😷 \nWASH YOUR HANDS! 🤲🏻 \nSOCIAL DISTANCE! 👩🏻‍🤝‍👨🏼❌ 🇺🇸,0
covid_29,29,0.0,0.0,0.0,"\nTo clarify, you, as a licensed medical professional, believe people who don't wear a mask don't deserve medical treatment and should die?""",0
covid_30,30,0.0,0.0,0.0,"@MeidasTouch My parents, Floridians, bought into the nonsense that COVID was a “Dem hoax.” With no masks, no distancing, my father (pre-existing heart condition) was lost to the virus. \n \nI will stop at nothing to remove Trump from office, and I won’t be satisfied until he answers for this.",0
covid_31,31,1.0,1.0,1.0,"Lockdowns are the probably the worst method of containing a virus. \n \nOnce you open back up, it just starts to spread again. \n \nWe JUST saw this in Europe - why are they doing it AGAIN?",1
covid_32,32,0.0,0.0,0.0,"NEW: Speaker Pelosi implementing FINES for members who don't wear a mask on the House floor \n \n$500 fine for first offense. \n \n$2,500 for second office. \n \nFines will be deducted from Member pay (no use of campaign funds or MRA for fines).",0
covid_33,33,0.0,0.0,0.0,⚠️HOLY SMOKES. Sen Perdue’s broker bought Pfizer stock in Feb even when Pfizer warned of *bad outlook*. Then he bought more. Perdue basically traded OPPOSITE of Pfizer public warnings! \n \n➡️Then Pfizer announced #COVID19 vaccine plans soon after—coincidence?,0
covid_34,34,0.0,0.0,0.0,"Remember: the President of the United States is holding a rally in Minnesota today with no social distancing, no mask requirements and no contact tracing as cases skyrocket in our state. \n \nThe President is a threat to public health.",0
covid_35,35,0.0,0.0,0.0,"Pfizer says an early peek at its vaccine data suggests the shots may be 90% effective at preventing COVID-19. The interim analysis looked at 94 infections recorded so far in a study that has enrolled nearly 44,000 people.",0
covid_36,36,1.0,1.0,1.0,"NEW YORK: Orthodox Jews burn a pile of masks in protest against the continued lockdowns in the city \n \n2000 BC it was a burning bush, but in 2020 masks will have to suffice",1
covid_37,37,0.0,0.0,0.0,"Some people dont realize that one of the risks of encountering COVID is death, but they wont wear masks. \nOne of the risks of playing on the edge of a cliff is also death, but their ass wont play near the edge of a cliff every day will they?",0
covid_38,38,1.0,1.0,0.0,"And so it begins: early allergic reactions to covid vaccines, interminable lockdowns even with the vaccines being discussed in the UK and a new mutated strain emerging. All this to decrease the mortality rate from 1% to 0.5%. We have never seen a virus politicized like this",1
covid_39,39,0.0,0.0,1.0,Twitter Removes White House Adviser's Tweet Saying Masks Do Not Prevent COVID-19,0
covid_40,40,1.0,0.0,0.0,"@justin_hart You'd think after a year of pandemic there'd be loads of studies conducted, with thousands of subjects, showing exactly how protective masks are before putting forward oppressive ideas like this. Maybe science already has the answer (~zero), but power doesn't like that answer?",0
covid_41,41,0.0,1.0,1.0,Herman Cain's COVID timeline seems relevant: \n \n6/24: Attends Trump rally without a mask \n \n7/2: Tests positive for Covid-19 \n \n7/10: Says he’s improving \n \n7/15: Says his doctors seem happy \n \n7/27: Says he’s really getting better \n \n7/30: Dies \n \n7/31: Tweets that COVID is no big deal,1
covid_44,44,0.0,0.0,1.0,"\nWeeks later, that same person was still publicly saying covid was \""a flu,\"" \""like a flu,\"" \""like the regular flu that we have flu shots for.\""""",0
