source_id,source_split,source_row,source_dataset,source_target_mention,text,gt_stance_toward_trump
trump_train_1,train,1,Kawintiranon,0.0,everyone’s favorite candidate did great and their least favorite candidate totally blew it\n\n#democraticdebate,Neutral
trump_train_2,train,2,Kawintiranon,0.0,reading the headline about the #dnc2020 and it's already obvious that the democrats are falling into the same trap as last time.,Neutral
trump_train_3,train,3,Kawintiranon,1.0,@USER @USER @USER @USER i hope president trump follows through on his promise to sell the citizens of connecticut to the chinese as slaves who will probably work them to death in months!! #maga,Support
trump_train_4,train,4,Kawintiranon,1.0,"if donald trump was innocent regarding e. jean carroll, bill barr wouldn't need to step in. #evangelicalsfortrump and #maga are feverishly and blindly supporting a rapist. own those libs.",Oppose
trump_train_5,train,5,mtsd,1.0,My presidential vote goes to whoever provides the most in-depth and bulletproof critique of The Force Awakens. #Trump2016 #Hillary2016,Neutral
trump_train_6,train,6,Titling,1.0,Narcissistic loser Mitt Romney has slimed out once again to take cheap shots at President Donald Trump,Support
trump_train_7,train,7,mtsd,1.0,@GOP #Trump2016 Sorry but the last thing #Republicans need is someone like #Cruz2016 who is equally if not more divisive than @POTUS #Obama,Support
trump_train_8,train,8,Titling,1.0,@2017FNR @DJsmarty117 @SpecialHarmon @attn By supporting #Trump and the #fascist #GOP you are actually DISHONORING your great grand parents right now.,Oppose
trump_train_9,train,9,mtsd,1.0,"#DonaldTrump insulted #Hillary for a bathroom break on the #debate! \See my women are trained to go number 1 or 2 when I order them!\""""",Oppose
trump_train_10,train,10,Kawintiranon,0.0,joe biden saw what happened when we “pulled all troops out of the middle east?” nobody told me we did that! #demdebate,Neutral
trump_train_11,train,11,Kawintiranon,0.0,i’ve seen this stare before. this looks like he just gave his daughters a talking to. #rnc2020 HTTP,Neutral
trump_train_12,train,12,mtsd,1.0,The results of yesterdays Twitter poll: \nDonald Trump is just slightly more of a cunt than Ted Cruz. #cunt #DonaldTrump #TedCruz,Oppose
trump_train_13,train,13,Kawintiranon,0.0,".@USER fought to save the auto industry every step of the way from 2008 until we succeeded. \n\nunfortunately, that wasn't always the case with @USER. #democraticdebate HTTP",Neutral
trump_train_14,train,14,Kawintiranon,1.0,biggest takeaway from the debate is that he will not leave office after he loses and has called on his fascist militia to “stand by”. you can either prepare for what will happen or you can ignore it. your call america #2020debate #debate2020 #debates #trump2020 #bidenharris2020,Oppose
trump_train_15,train,15,Kawintiranon,1.0,"looking for #maga, #kag followers. i will follow back. would love to interact with my fellow patriots. please retweet. #trump2020",Support
trump_train_16,train,16,semeval,1.0,"We get all the bad #Mexicans...minus the ones whose labor built your empire, of course. #TrumpedFacts #Delusional #GTFOH",Oppose
trump_train_17,train,17,semeval,1.0,People: Donald Trump is a man who can lead this country into the future.,Support
trump_train_18,train,18,mtsd,1.0,@jamescdownie @NRO \n\nThese guys created Trump inside their Frankenstein Factory. \nWhat's the problem?\n\n#Trumpery #tcot #Trump2016 #Hillary,Oppose
trump_train_19,train,19,mtsd,1.0,Can't believe how many stupid people there are -- those who vote for a clown (#DonaldTrump ) or one who shuts down government (#TedCruz ),Oppose
trump_train_20,train,20,Kawintiranon,1.0,@USER someone wrote this tweet for you.\n\n#biden2020 #bidenharris2020 #jillbidenforflotus #trumpthreatensamerica #trumpkillsusps,Oppose
trump_train_21,train,21,Kawintiranon,1.0,"@USER as if we will ever forget...palestine is not only on our minds, its in our blood hart and soul, how are they going to erase that ?\n\n#fuckisrael \n#fucktrump \n#fuckicc",Oppose
trump_train_22,train,22,mtsd,1.0,Washington insiders who know @tedcruz all say the same thing: Nobody likes #TedCruz. Too difficult to work with. \n\n#Trump2016,Support
trump_train_23,train,23,Kawintiranon,0.0,@USER lol republicans at the beginning of the week. “ no evedrnce will be allowed.”\n\nthree days later. “well the dems aren’t showing us any evidence. “\n\n#votebluetosaveamerica #votebluetoendthisnightmare,Oppose
trump_train_24,train,24,constance,1.0,@realDonaldTrump facial expressions are hilarious. I had to quit watching the debate because all I did was laugh. &#128514;,Oppose
trump_train_25,train,25,mtsd,1.0,"#Hillary is an Obama clone! Debt and ISIS are killing us. The country is turning to #Trump! No more empty words, we need action! #Trump2016",Support
trump_train_26,train,26,mtsd,1.0,Ryan and McConnell gave Obama a Christmas gift of billions of $$ to resettle Muslims but no money to deport #BuildTheWall #Trump2016 #Cruz,Support
trump_train_27,train,27,Kawintiranon,1.0,@USER you are supposedly the president! you knew! pence knew! mcconnell knew! you killed americans!!! #trumptapes #trumpknew #mitchknew #penceknew #votebluetosaveamerica HTTP,Oppose
trump_train_28,train,28,mtsd,1.0,"@peddoc63 @SMolloyDVM Yeah, just right after he destroys America! #DonaldTrump is the only way to go, #TedCruz is just another puppet!",Neutral
trump_train_29,train,29,Kawintiranon,0.0,@USER strong the #stupid is with this one. #kag,Support
trump_train_30,train,30,semeval,1.0,"The moment you opened your mouth, that was the end of your candidate trip! @realDonaldTrump",Oppose
trump_train_31,train,31,mtsd,1.0,"Ohhhh I was mistaken only 30% Morons in the @GOP base wanna bomb #Agrabah , 41% of #TrumpTwerps have the desire\n#Hillary2016\n#Clinton/Castro",Oppose
trump_train_32,train,32,constance,1.0,Updated Electoral Map Count- @HilllaryClinton- 269 @realDonaldTrump -269,Support
trump_train_33,train,33,mtsd,1.0,"#TedCruz has a weak chin and looks like he just ended a crying jag, and he's from Canada and can't skate @realDonaldTrump #Trump2016 #Trump",Support
trump_train_34,train,34,Kawintiranon,1.0,#nobelpeaceprize has a chance to restore integrity here after giving the war monger obama the prize.\n\n“#donaldtrump nominated for nobel peace prize following israel-uae deal”\n\nHTTP,Support
trump_train_35,train,35,constance,1.0,RT @DrJillStein: Where is the defense of Wikileaks from all the pundits who've speculated that Trump would try to silence critical journalism? &#129300;,Support
trump_train_36,train,36,mtsd,1.0,"If it came down to a choice, I'd take #DonaldTrump over #TedCruz or #MarcoRubio. Conservatives legislate morality &amp; that's scary",Neutral
trump_train_37,train,37,Titling,1.0,@UnderArmour You're in a position to send a real message to President Trump. You should do so.,Oppose
trump_train_38,train,38,mtsd,1.0,And #DonaldTrump just candidly admitted he started worrying about #TedCruz right to serve as prez because of Cruz' improving poll numbers,Support
trump_train_39,train,39,mtsd,1.0,"POLITICAL TIP - Trump will not become president due to his \hidden agenda\"" deal with corporate america ?? #donaldtrump #hillaryclinton #usa""",Oppose
trump_train_40,train,40,Titling,1.0,"\Would You Even Care If He Was Guilty?\"" Asks Fox News; But Trump Is Mad At Fox All The Same""",Oppose
trump_train_41,train,41,Kawintiranon,0.0,@USER @USER exactly where garage belongs. #votebluetosaveamerica,Oppose
trump_train_42,train,42,Kawintiranon,1.0,@USER today biden showed himself too weak to be a world leader. trump was the fighter we need as a president. i'm more confident now more than ever in voting for trump,Support
trump_train_43,train,43,Titling,1.0,Democratic Congressman Rocks Trump's World With Bill To Force Him To Sell His Businesses via @politicususa YES!!!,Oppose
trump_train_44,train,44,mtsd,1.0,#DonaldTrump &amp; #TedCruz stopped their #GOPDebate attacks only when #JebBush’s iPhone went off &amp; his #MeghanTrainor ringtone filled the hall.,Neutral
trump_train_45,train,45,Kawintiranon,0.0,"@USER \and what about demon seed, madame speaker? why haven't you addressed alien dna?\"" i knew mccarthy was stupid but, surely, he must know how any comment regarding #covid19 by the #gop will be met with righteous derision! 🙄 HTTP""",Neutral
trump_train_46,train,46,mtsd,1.0,"#HillaryClinton vs. #DonaldTrump - It's the WarGames election of 2016: \A strange game. The only winning move is not to play.\""""",Neutral
trump_train_47,train,47,Titling,1.0,Sen.BLUMENTHAL (D) your party already broke the law no one but your Democrat I hope you get it( President TRUMP is the best),Support
trump_train_48,train,48,mtsd,1.0,It's going to take a level headed white woman to stop a angry white man. \n#TrumpTrain derailment\n\n#ImWithHer #Hillary2016 #HillYes #Vote2016,Oppose
trump_train_49,train,49,Kawintiranon,0.0,"@USER it continues to be shameful that @USER does not have his national priorities straight. it should be #peopleoverprofits, not the other way around. #humanrights #votebluetosaveamerica",Oppose
trump_train_50,train,50,Titling,1.0,"President Trump Gives Remarks on MS-13 to Federal, State, and Local Law ... via @YouTube",Neutral
