source_id,source_party,source_year,source_original_id,source_major_topic,source_subtopic,source_words,text,gt_policy_topic
cap_party_democratic_5.0,Democratic,1948.0,5.0,1,100.0,36.0,"Ours is the party which rebuilt a shattered economy, rescued our banking system, revived our agriculture, reinvigorated our industry, gave labor strength and security, and led the American people to the broadest prosperity in our history.",Macroeconomics
cap_party_democratic_6.0,Democratic,1948.0,6.0,5,501.0,37.0,"Ours is the party which introduced the spirit of humanity into our law, as we outlawed child labor and the sweatshop, insured bank deposits, protected millions of home-owners and farmers from foreclosure, and established national social security.",Labor and Immigration
cap_party_democratic_7.0,Democratic,1948.0,7.0,19,1901.0,27.0,Ours is the party under which this nation before Pearl Harbor gave aid and strength to those countries which were holding back the Nazi and Fascist tide.,International Affairs
cap_party_democratic_8.0,Democratic,1948.0,8.0,16,1619.0,18.0,Ours is the party which stood at the helm and led the nation to victory in the war.,Defense
cap_party_democratic_9.0,Democratic,1948.0,9.0,1,100.0,30.0,"Ours is the party which, during the war, prepared for peace so well that when peace came reconversion promptly led to the greatest production and employment in this nation's life.",Macroeconomics
cap_party_democratic_10.0,Democratic,1948.0,10.0,4,400.0,28.0,Ours is the party under whose leadership farm owners' income in this nation increased from less than $2.5 billions in 1933 to more than $18 billions in 1947;,Agriculture
cap_party_democratic_11.0,Democratic,1948.0,11.0,1,100.0,20.0,independent business and professional income increased from less than $3 billions in 1933 to more than $22 billions in 1947;,Macroeconomics
cap_party_democratic_12.0,Democratic,1948.0,12.0,1,100.0,15.0,employees' earnings increased from $29 billions in 1933 to more than 128 billions in 1947;,Macroeconomics
cap_party_democratic_13.0,Democratic,1948.0,13.0,1,103.0,18.0,and employment grew from 39 million jobs in 1933 to a record of 60 million jobs in 1947.,Macroeconomics
cap_party_democratic_14.0,Democratic,1948.0,14.0,19,1926.0,20.0,Ours is the party under which the framework of the world organization for peace and justice was formulated and created.,International Affairs
cap_party_democratic_15.0,Democratic,1948.0,15.0,19,1906.0,34.0,Ours is the party under which were conceived the instruments for resisting Communist aggression and for rebuilding the economic strength of the democratic countries of Europe and Asiaââ âÃthe Truman Doctrine and the Marshall Plan.,International Affairs
cap_party_democratic_16.0,Democratic,1948.0,16.0,19,1906.0,11.0,They are the materials with which we must build the peace.,International Affairs
cap_party_democratic_17.0,Democratic,1948.0,17.0,19,1900.0,28.0,Ours is the party which first proclaimed that the actions and policies of this nation in the foreign field are matters of national and not just party concern.,International Affairs
cap_party_democratic_18.0,Democratic,1948.0,18.0,19,1900.0,20.0,We shall go forward on the course charted by President Roosevelt and President Truman and the other leaders of Democracy.,International Affairs
cap_party_democratic_19.0,Democratic,1948.0,19.0,19,1900.0,25.0,"We reject the principleââ âÃwhich we have always rejected, but which the Republican 80th Congress enthusiastically acceptedââ âÃthat government exists for the benefit of the privileged few.",International Affairs
cap_party_democratic_20.0,Democratic,1948.0,20.0,19,1900.0,10.0,To serve the interests of all and not the few;,International Affairs
cap_party_democratic_21.0,Democratic,1948.0,21.0,19,1900.0,11.0,to assure a world in which peace and justice can prevail;,International Affairs
cap_party_democratic_22.0,Democratic,1948.0,22.0,19,1900.0,11.0,"to achieve security, full production, and full employmentââ âÃthis is our platform.",International Affairs
cap_party_democratic_23.0,Democratic,1948.0,23.0,19,1926.0,48.0,We declared in 1944 that the imperative duty of the United States was to wage the war to final triumph and to join with the other United Nations in the establishment of an international organization for the prevention of aggression and the maintenance of international peace and security.,International Affairs
cap_party_democratic_24.0,Democratic,1948.0,24.0,19,1926.0,8.0,"Under Democratic leadership, those pledges were gloriously redeemed.",International Affairs
cap_party_democratic_25.0,Democratic,1948.0,25.0,16,1619.0,41.0,"When the United States was treacherously and savagely attacked, our great Democratic President, Franklin D. Roosevelt, and a Democratic Congress preserved the nation's honor, and with high courage and with the invincible might of the American people, the challenge was accepted.",Defense
cap_party_democratic_26.0,Democratic,1948.0,26.0,16,1608.0,35.0,"Under his inspiring leadership, the nation created the greatest army that ever assembled under the flag, the mightiest air force, the most powerful navy on the globe, and the largest merchant marine in the world.",Defense
cap_party_democratic_27.0,Democratic,1948.0,27.0,16,1619.0,20.0,"The nation's gallant sons on land, on sea, and in the air, ended the war in complete and overwhelming triumph.",Defense
cap_party_democratic_28.0,Democratic,1948.0,28.0,16,1619.0,9.0,Armed aggression against peaceful peoples was resisted and crushed.,Defense
cap_party_democratic_29.0,Democratic,1948.0,29.0,16,1619.0,12.0,Arrogant and powerful war lords were vanquished and forced to unconditional surrender.,Defense
cap_party_democratic_30.0,Democratic,1948.0,30.0,19,1900.0,29.0,Before the end of the war the Democratic administration turned to the task of establishing measures for peace and the prevention of aggression and the threat of another war.,International Affairs
cap_party_democratic_31.0,Democratic,1948.0,31.0,19,1926.0,20.0,"Under the leadership of a Democratic President and his Secretary of State, the United Nations was organized at San Francisco.",International Affairs
cap_party_democratic_32.0,Democratic,1948.0,32.0,19,1926.0,11.0,The charter was ratified by an overwhelming vote of the Senate.,International Affairs
cap_party_democratic_33.0,Democratic,1948.0,33.0,19,1926.0,17.0,We support the United Nations fully and we pledge our whole-hearted aid toward its growth and development.,International Affairs
cap_party_democratic_34.0,Democratic,1948.0,34.0,19,1926.0,15.0,We will constitute to lead the way toward curtailment of the use of the veto.,International Affairs
cap_party_democratic_35.0,Democratic,1948.0,35.0,19,1926.0,14.0,We shall favor such amendments and modifications of the charter as experience may justify.,International Affairs
cap_party_democratic_36.0,Democratic,1948.0,36.0,19,1926.0,17.0,We will continue our efforts toward the establishment of an international armed force to aid its authority.,International Affairs
cap_party_democratic_37.0,Democratic,1948.0,37.0,19,1926.0,32.0,"We advocate the grant of a loan to the United Nations recommended by the President, but denied by the Republican Congress, for the construction of the United Nations headquarters in this country.",International Affairs
cap_party_democratic_38.0,Democratic,1948.0,38.0,19,1900.0,14.0,We pledge our best endeavors to conclude treaties of peace with our former enemies.,International Affairs
cap_party_democratic_39.0,Democratic,1948.0,39.0,19,1910.0,11.0,"Already treaties have been made with Italy, Hungary, Bulgaria and Rumania.",International Affairs
cap_party_democratic_40.0,Democratic,1948.0,40.0,19,1900.0,28.0,"We shall strive to conclude treaties with the remaining enemy states, based on justice and with guarantees against the revival of aggression, and for the preservation of peace.",International Affairs
cap_party_democratic_41.0,Democratic,1948.0,41.0,16,1604.0,25.0,"We advocate the maintenance of an adequate Army, Navy and Air Force to protect the nation's vital interests and to assure our security against aggression.",Defense
cap_party_democratic_42.0,Democratic,1948.0,42.0,16,1605.0,40.0,"We advocate the effective international control of weapons of mass destruction, including the atomic bomb, and we approve continued and vigorous efforts within the United Nations to bring about the successful consummation of the proposals which our Government has advanced.",Defense
cap_party_democratic_43.0,Democratic,1948.0,43.0,16,1605.0,40.0,The adoption of these proposals would be a vital and most important step toward safe and effective world disarmament and world peace under a strengthened United Nations which would then truly constitute a more effective parliament of the world's peoples.,Defense
cap_party_democratic_44.0,Democratic,1948.0,44.0,19,1901.0,26.0,"Under the leadership of a Democratic President, the United States has demonstrated its friendship for other peace-loving nations and its support of their freedom and independence.",International Affairs
cap_party_democratic_45.0,Democratic,1948.0,45.0,19,1901.0,16.0,"Under the Truman doctrine vital aid has been extended to China, to Greece, and to Turkey.",International Affairs
cap_party_democratic_46.0,Democratic,1948.0,46.0,19,1901.0,31.0,Under the Marshall Plan generous sums have been provided for the relief and rehabilitation of European nations striving to rebuild their economy and to secure and strengthen their safety and freedom.,International Affairs
