source_id,source_crisno,source_sentence_number,source_crisis_title_raw,crisis_title,text,source_type_string,gt_event_type
164_1,164,1,CRISNO 164 ABORTIVE COUP-INDONESIA,ABORTIVE COUP-INDONESIA,An internally generated international crisis for Indonesia took place from 21 February until 20 May 1958.,,No Event
164_2,164,2,CRISNO 164 ABORTIVE COUP-INDONESIA,ABORTIVE COUP-INDONESIA,and A series of bloodless army coups in regional districts of Indonesia served to undermine the power of the central government in Djakarta.,,No Event
164_3,164,3,CRISNO 164 ABORTIVE COUP-INDONESIA,ABORTIVE COUP-INDONESIA,Nationwide martial law was imposed in March 1957.,action,Action
164_4,164,4,CRISNO 164 ABORTIVE COUP-INDONESIA,ABORTIVE COUP-INDONESIA,The dispute between the Netherlands and Indonesia over West Irian had not been resolved in UN discussions.,,No Event
164_5,164,5,CRISNO 164 ABORTIVE COUP-INDONESIA,ABORTIVE COUP-INDONESIA,An abortive attempt on President Sukarno's life took place on 30 November 1956.,action,Action
164_6,164,6,CRISNO 164 ABORTIVE COUP-INDONESIA,ABORTIVE COUP-INDONESIA,On 3 December labor groups began seizing Dutch enterprises in Indonesia: within a fortnight virtually all were under military control.,action,Action
164_7,164,7,CRISNO 164 ABORTIVE COUP-INDONESIA,ABORTIVE COUP-INDONESIA,"That month 46,000 Dutch nationals were repatriated.",,No Event
164_8,164,8,CRISNO 164 ABORTIVE COUP-INDONESIA,ABORTIVE COUP-INDONESIA,Tension between the president and regional powers was high.,,No Event
164_9,164,9,CRISNO 164 ABORTIVE COUP-INDONESIA,ABORTIVE COUP-INDONESIA,By 10 February 1958 opposition in the outer islands had erupted.,action,Action
164_10,164,10,CRISNO 164 ABORTIVE COUP-INDONESIA,ABORTIVE COUP-INDONESIA,An ultimatum demanding central government changes was rejected by the Djakarta cabinet the following day.,speech,Speech
164_11,164,11,CRISNO 164 ABORTIVE COUP-INDONESIA,ABORTIVE COUP-INDONESIA,On the 15th a revolutionary state was proclaimed.,action,Action
164_12,164,12,CRISNO 164 ABORTIVE COUP-INDONESIA,ABORTIVE COUP-INDONESIA,"U.S. sympathies lay with the anti-communist secessionists, and there is evidence that U.S. military aid had arrived in West Sumatra before the ultimatum, along with the presence of U.S. intelligence officers.",thought,Thought
164_13,164,13,CRISNO 164 ABORTIVE COUP-INDONESIA,ABORTIVE COUP-INDONESIA,"Sukarno returned to Indonesia on 16 February and called for cabinet deliberations to consider the issue of civil war, compounded by an apparent threat of possible U.S. intervention.",,No Event
164_14,164,14,CRISNO 164 ABORTIVE COUP-INDONESIA,ABORTIVE COUP-INDONESIA,"The first indication of an Indonesian government perception of a threat of foreign involvement was Sukarno's rejection of rebel demands on 21 February 1958: in his call for measures against the rebels, he cited his conviction that the rebels were acting as instruments of a foreign power, clearly implying the U.S., which wished to force Indonesia to join the Western bloc.",speech,Speech
164_15,164,15,CRISNO 164 ABORTIVE COUP-INDONESIA,ABORTIVE COUP-INDONESIA,"Indonesia's major response was a military move against the rebels in central Sumatra on 22 February, with air force bombing and strafing.",action,Action
164_16,164,16,CRISNO 164 ABORTIVE COUP-INDONESIA,ABORTIVE COUP-INDONESIA,"During the course of the fighting, from 7 to 12 March, government paratroops occupied Pakanbahru, where U.S. personnel were located at oil fields.",action,Action
164_17,164,17,CRISNO 164 ABORTIVE COUP-INDONESIA,ABORTIVE COUP-INDONESIA,This step was taken partly out of fear that the U.S. might send in marines.,thought,Thought
164_18,164,18,CRISNO 164 ABORTIVE COUP-INDONESIA,ABORTIVE COUP-INDONESIA,"The Seventh Fleet, situated offshore, caused great anxiety in Djakarta, where anti-American sentiments were at a fever pitch.",thought,Thought
