text,gt_protest_type
"A caravan of cars, trucks, bikes and marchers traveled from the Mission to San Francisco City Hall late Monday to call for more resources for a Latinx community of essential frontline workers that has been devastated by the coronavirus.\n\nLatinx residents represent half of the city’s 11,195 cases, and yet only 9 percent of the tests the city has administered.\n\n“They’ve known that this has been a problem,” said Jon Jacobo, a member of the Latino Task Force. “The community has tried to play nice for a very long time, but the frustration reached a boiling point after our August testing where we saw again 11 percent [positive test rate] for Latinos.”\n\nThe caravan of essential workers met at 16th and Capp streets just before 4 p.m., where at least a dozen cars parked in single file.\n\nOrganizers expressed gratitude to Mayor London Breed for the $28.5 million she announced that would be dedicated to helping the Latinx community. But many asked why it took so long — and why only $28.5 million.\n\nExperts have also been confused by the city’s failure to test and spend more in the Latinx community and the southeast neighborhoods that are home to many people of color, including those who are essential workers — and have been disproportionately hit by the virus. The $28 million includes $3 million for testing, but that compares to a testing budget of some $62 million, according to the Department of Public Health.\n\n“It is just the frustrating reality that exists, that our community is neglected and not respected unless we put all of our efforts into organizing and demonstrating very publicly that we’re tired of it,” Jacobo said. “I have a daily call with the Department of Public Health, and every day we have to beat these issues up. There’s been weeks where we’ve told them, either tomorrow morning we’re either going to do tests, or we’re going to do a protest.”\n\nGuillermina Castellanos, founder of the Women’s Collective, also addressed the demonstrators before the caravan left for Civic Center and acknowledged the mayor’s announcement.\n\n“The losses we as a community have seen are not $28 million, it’s millions upon millions more,” Castellanos said.\n\nAfter a few chants of “Aquí estamos, y no nos vamos” (We’re here and we’re not going anywhere), and “El pueblo unido jamás será vencido” (the people, united, will never be defeated), the group set on its way.\n\nMany of the participants in the protest were immigrants who had lost their jobs because of the pandemic.\n\nDelfina Martinez used to clean offices until she lost her job in March, and has not worked since. Martinez said her landlord continues to demand rent, despite her lack of income.\n\nMartinez said her landlord even went so far as to call the police, lying to them that she had drugs and guns in her apartment. Police investigated, but found nothing.\n\n“Every time I leave the door, I don’t know if he’s going to be there to threaten me or insult me,” Martinez said.\n\nOscar Interian used to work two jobs in restaurants, totaling about 70 hours per week. However, he lost both jobs when restaurants shut down. He has now returned to work, but only works about 20 hours a week, nowhere near enough to support himself, he said.\n\nWhile Interian’s landlord has agreed to let him pay his missed rent back at a later date, the tenant said he has no idea how to pay it back without a significant boost in hours.\n\n“This pandemic left undocumented people with bills, without work, and we can’t receive federal help — but we pay taxes,” Interian said.\n\nEventually the protest of essential workers and others arrived in front of City Hall. More than a dozen cars stretched down Polk Street, from Grove Street nearly to McAllister Street. A crowd of about 70 gathered at Civic Center Plaza.\n\nProtesters held a moment of silence to honor those who had died of Covid-19.\n\nYsabel Duron, a board member for the Mission Economic Development Agency and founder of Latino Cancer Institute, called on participants to mourn the dead, but also celebrate their lives by taking action.\n\nDuron also called on the city to invest more resources in the communities with highest need, specifically to community-based organizations who “already have boots on the ground and know where it’s needed.”\n\nWe go to these demonstrations even if you can’t or won’t. Support our work: Keep local news alive.",CARAVAN
"It was a unique way of protesting but their message \Let Justice Roll\"" was heard loud and clear by those driving down Glenstone Avenue.\n\n\""This is a Covid safe event where people of faith can get out and show their support for the black community in Springfield.\"" said organizer Susan Schmalzbauer.\n\nChurches across the Ozarks came together at Evangel University for this event hosted by Faith Voices of Southwest Missouri, a multi-faith and multi-racial group.\n\nBefore they took off down Glenstone a few faith leaders like Pastor Russell Ewell spoke on what needs to change\n\n\""I'm originally from St. Louis was very involved in Ferguson. One of the complaints was the church wasn't involved. I didn't want to see that here in Springfield,\"" said Pitts Chapel United Methodist Church, Pastor Russell Ewell.\n\nThe message hit home for Renee Goodwin, the mother of Jalen Goodwin who passed away in 2016 in police custody.\n\n\""We just have issues with our police force treating whites and blacks differently. We need to hold them accountable when they harm people,\"" said Renee Goodwin.\n\nAnother important topic was voting. A handful of people were walking around with voter registration cards helping people register to vote and the importance of voting.\n\n\""Voter suppression is real,\"" said Tracey Wolff.\n\nLet Justice Roll to the Polls was Tracey Wolff message today after she said she was a victim of voter suppression in 2008.\n\n\""I'm voting for me but I'm also voting for those that cannot,\"" said Wolff.\n\nWhile the event covered everything from voting to police brutality Pastor T.J. Appleby wants everyone in attendance to walk away with this message.\n\n\""Love thy neighbor which are the words of Jesus. Love thy neighbor as thyself. Our neighbor is everybody of regardless of what they look like, where they come from, their zip code. it doesn't matter,\"" said Sanctuary of Praise Pastor, T.J. Appleby.""",CARAVAN
"IOSEPA, Utah — More than 150 people made a pilgrimage of sorts to a tiny ghost town in the Skull Valley Saturday evening, to stand with a days-long demonstration happening on one of the tallest mountains in Hawaii.\n\nPeople traveled from all over Utah, and even flew into the state to head out to Iosepa, north of Dugway.\n\nA bright blue sign with a palm tree sits on Highway 196, in the middle of nowhere.\n\nThe dirt road leads people to a spot that doesn't seem like much at first, until one learns the history and feels the connection. To Utah's Hawaiian and Polynesian community, it's a sacred and spiritual spot.\n\n\This land was given to our ancestral Hawaiian people,\"" said Ailani Costa. She said the Church of Jesus Christ of Latter Day saints gave the land to Hawaiians who moved to Utah in the late 1800s.\n\nThe history isn't entirely happy. Susan and Jay Serrao said that Jay's ancestors are buried in the cemetery-- one of the only remaining signs of the former town.\n\nThe couple lives in Hawaii, and they're visiting Utah. With the land in the middle of the desert, they said they feel sadness when visiting because their ancestors were \""put out so far away.\""\n\nBut today, they have all the reason to be in good spirits.\n\n\""We gotta go, we gotta go! We gotta support!\"" Susan said, of when she and Jay learned people would be gathering in Iosepa.\n\nDozens drove in, with flags waving off the back of their cars and trucks.\n\nFamilies walked along the cemetery, and took pictures. Eventually, the crowd gathered in a pavilion.\n\nThey support demonstrators in Hawaii, who have been peacefully protesting on the road to Mauna Kea in order to halt construction on a massive telescope.\n\n\""Right now our mountain Mauna Kea is being jeopardized. It's being up for sale,\"" Ailani said.\n\nScientists consider the Thirty Meter Telescope project crucial to future space discoveries.\n\nNative Hawaiians consider Mauna Kea to be a sacred place, and have said their ancestors are buried there.\n\nHawaiians in Utah feel the same about Iosepa.\n\nAcross desert and ocean, the group sent a message of love.\n\n\""Let those people, let our people know that we're here for them,\"" Ailani said.\n\nPeople held up signs with phrases like, \""Protect Mauna Kea,\"" and \""Preserve our culture, protect our Mauna.\""\n\nWhat the signs really said: Ohana. Which means, family.\n\n\""Times like these, you need to band together and just hold strong with ohana,\"" Susan said.\n\n\""It lets you know that oppression... oppression can unify people and it can be lifted by people,\"" Ailani said, getting choked up as she spoke. \""I don't know a lot of these people, but I am so grateful for their presence here.\""""",DEMONSTRATION
"It’s not every day that 20-somethings in pickup trucks scream obscenities at a handful of retirees holding signs. But, that’s exactly what happened Tuesday at the intersection of Highway 20 and Main Street in Coupeville.\n\nTwice.\n\nAs the first sped through the intersection screamed, “[expletive] you,” at the protesters, who held signs saying things like “Stop Trumpcare,” and “Healthcare is a human right.”\n\nThe second stopped at the traffic light and yelled, “Work for your [expletive] money,” repeatedly.\n\nOver the course of 24 hours, up to 50 members of the group Indivisible Whidbey held a vigil between WhidbeyHealth Medical Center and the intersection, protesting in two-hour shifts.\n\nLarry Behrendt, leader of Indivisible Whidbey, said the group organized the vigil to voice resistance the belabored American Health Care Act, which passed in the House of Representatives. The AHCA, an act meant to replace Obamacare, would dial back Medicaid subsidies by hundreds of billions of dollars.\n\nWhen the Senate received the legislation, it opted to develop its own replacement bill in secret, the first draft of which was released Thursday. The Senate’s bill retained sharp cuts to Medicaid, which the Affordable Care Act expanded under President Barack Obama.\n\nThose proposed cuts are what Behrendt and company oppose most stringently.\n\n“The Medicaid expansion in particular provided a new source of funding for the hospital,” Behrendt said. “The removal of that source of income could be devastating to our rural hospital.”\n\nRon Wallin, president of the WhidbeyHealth Board of Commissioners, was aware of the protesters and sympathized with their concerns, but expressed hope that lawmakers could figure out a way to watch out for the little guy.\n\n“You would hope and think our politicians could work together to find a workable solution,” Wallin said. “I feel that the (AHCA) needs work as most new things do, but to put so many people and rural hospitals in jeopardy is wrong.”\n\n“They all need to work for the better good of the people and not politics,” he added. “As a small rural hospital, the actions of D.C. scare me; with all the uncertainties, they need to get it right.”\n\nEach year, WhidbeyHealth has to eat millions of dollars in uncompensated care. Just last year, the organization was left with $1.9 million unpaid dollars, a figure measured in part by clients’ “bad debt” and part by “charity care given,” according to Ronald Telles, chief financial officer of WhidbeyHealth.\n\nIn 2016, the health system absorbed $869,000 in the bad debt category and $965,000 in charity.\n\nBehrendt argues that without the Medicaid expansion, WhidbeyHealth’s unpaid dollars would skyrocket. As it stands, hospital personnel are doing everything they can to enroll patients in Medicaid for just that reason.\n\nTelles said 20 percent of WhidbeyHealth’s patients are on Medicaid. And according to Patricia Duff, community relations and marketing coordinator for WhidbeyHealth, 1,426 of those patients enrolled since 2014.\n\nUltimately, Behrendt said he fears for the hospital’s future.\n\n“I’m concerned that the only hospital on Whidbey Island would have to shut down or scale back do to Medicaid cuts,” he said, adding that he doesn’t want to think about what that could mean for some people.\n\nBehrendt’s fears aren’t without basis — 79 rural hospitals have closed since 2010 alone, according to the North Carolina Rural Health Research Program, a policy and analysis center in Chapel Hill, N.C.The hospitals shut down due to a variety of reasons, but Behrendt said the protesters didn’t want the hospital to become one of those statistics because of Medicaid cuts.\n\nCommissioner Richard M. Hannold, chair of the Board of Island County Commissioners, said he appreciated the level of respect the protesters showed the community. However, he said they were demonstrating against legislation that is incomplete and thus unknown.\n\n“How it will or will not affect our business is a total unknown, therefore I will be pleased when the discussions and debates at the federal level are done and a decision is made,” Hannold said. “The hardest matter to deal with in any agency is knowing that something is certain to change, but the unknown is difficult to deal with or prepare for.”\n\nClinton Resident Malcolm Cumming, an active member of Indivisible Whidbey, said the Indivisible Whidbey is working in concert with 500 like-organizations in every congressional district in the country.\n\nCumming also happened to receive a liver transplant in 2012, thanks to the Affordable Care Act.\n\n“The goal of Indivisible is to hold our members of Congress’ feet to the fire,” Cumming said. “If they are supportive, we try to support them.”\n\nOtherwise, it’s to the streets.",DEMONSTRATION
"This is an archived article and the information in the article may be outdated. Please look at the time stamp on the story to see when it was last updated.\n\nPlease enable Javascript to watch this video\n\nVISTA, Calif. – Hundreds of demonstrators held a \die-in\"" outside the Vista office of Rep. Darrell Issa Tuesday morning to protest Republican efforts to repeal and replace the Affordable Care Act.\n\nThe demonstration was organized by local Democratic Party groups, including MoveOn.org.\n\n\""Well we’re just here trying to stand up for the American people and affordable healthcare,\"" said protester Sandy Dildine. \""The Republican plan is gonna make it worse. Improve the ACA or go to a single payer medicare for all systems like all other Western Nations.\""\n\n\n\nThe demonstrators held hand-made signs and tombstones with messages like \""RIP Affordable Health Care,\"" \""RIP GOP 'CARE' 24 Million Uninsured\"" and \""RIP Planned Parenthood Funding.\""\n\n\""We’re the No. 1 country in the world. Why, America, don’t we have universal healthcare coverage? This shouldn’t even be an issue anymore,\"" said two-time cancer patient Barbara Main.\n\nMain says the new plan will force people like her to pay more for health services and medications they desperately need.\n\n“The ACA has problems, there’s no question. But the bottom line is let’s take it and improve on it, let’s cover people. Health shouldn’t be a right. Right? It should just be a given,\"" said Main. \""Now I question whether or not I’ll be able to get the medications under the new plan that I need right now to help overcome the difficulties of overcoming cancer.\""\n\nEllen Montanari is the parent of two children with special needs. She says their healthcare costs under the ACA are already through the roof. The new Trump Care plan will make care for her children unaffordable.\n\n\""I can certainly speak about my own daughter who is disabled, and if this plan goes through her coverage, she’s on Medical, her coverage over time will be cut. How are we going to afford that? I have two kids with special needs,\"" said Montanari. \""You know I don’t think there’s anyone here who thinks that the Affordable Care Act is perfect. But fix it. Don’t make it worse.\""\n\nOrganizers estimated that more than 300 people took part in the protest.\n\nA \""Call to the Conscience of Congress\""candlelight vigil is planned in Hillcrest at 6 p.m. at the First Unitarian Universalist Church, 4910 Front Street, San Diego.""",DEMONSTRATION
"NEW YORK (CBSNewYork/AP) — A group of cheeky protesters marched through the center of Manhattan’s busiest tourist destination on Saturday – all in an effort to combat what they say is an increasingly divisive society.\n\nDozens of people stripped naked and got their bodies painted from head to toe in New York’s Times Square. It was part of what was billed as a protest against “divisiveness.”\n\nThe event Saturday was organized by body artist Andy Golub. He has staged similar nude Times Square protests in years past.\n\nGolub said the world we’re living in “is very divisive.” He said people have “much more in common” than they are different.\n\nSamantha Walsh traveled from Toronto to take part. Walsh, who uses a wheelchair, said body painting disrupts the way people think about “whose bodies are valuable.”\n\nPeople wearing nothing but their birthday suits is not a new trend in the crowded tourist area.\n\nMORE: 4 Topless ‘Desnudas’ Accused Of Taking Advantage Of Tourists In Times Square\n\nNew York City officials and the NYPD have been in a long-running controversy over the policy to allow topless, body-painted, and costumed characters parade around the area – most of them there to charge people for photos.\n\nUnfortunately, if you’re headed to Times Square, there’s a lot of uncomfortable sights you’ll have to “bare” with.\n\n(© Copyright 2019 CBS Broadcasting Inc. All Rights Reserved. The Associated Press contributed to this report.)",DEMONSTRATION
"Protesters fanned out across Manassas on Monday afternoon in the latest in a series of protests in the Manassas area in the past three days, following the death of 46-year-old George Floyd, in Minneapolis.\n\nFloyd was killed during an arrest attempt on May 25. Former police officer Derek Chauvin is charged in his death.\n\nAs of 4:30 p.m., a group of about 100 marchers is paying a second visit to the Prince William County Courthouse, where, minutes earlier, Sheriff Glen Hill and his deputies kneeled before protestors in a show of solidarity. The move brought cheers from the crowd.\n\n“Kudos for sheriff Glen Hill taking a knee with everyone. He had all of his deputies stand down and take a knee with everyone in a moment of solidarity. I know Mr. Hill quite closely, I know it wasn’t an easy thing for him to prescribe to…” said Prince Willaim County Occoqaun District Supervisor Kenny Boddye on a Facebook Live video.\n\nBoddye was present at the rally, he said and urged others to come to Manassas to participate.\n\n“We’re putting in the work right now to bring the change we want to see, but when your system is built over centuries to oppress people, it takes more than just one generation… so I just want to make sure everyone knows what these young folks are standing for,” he added.\n\nThe protestors gathered at 1 p.m. at the Manassas train station in the city’s downtown and then marched a half-mile over to the courthouse. The protests have been peaceful.\n\nThe cops here in PRINCE WILLIAM COUNTY MANASSAS, VA kneeled with us. #BlackLivesMatter. pic.twitter.com/btzbflz9fe All Cobs Aren’t Bastards Please do better. — Biotrin (@biotrin89) June 1, 2020\n\nMeanwhile, a second group of protestors is marching down Liberia Avenue, just south of Route 28, according to initial police reports.\n\nThese matches come after city police about 11:30 p.m. Sunday declared an unlawful assembly during a protest that occurred at a WaWa gas station, near the insertion of Signal Hill Road. That protest began six hours earlier as a peaceful event but escalated.\n\nMeanwhile, in Fredericksburg, the city — the site of riots in the streets last night — closed city government offices at 2 p.m. today in preparation for another night of protests.",DEMONSTRATION
"National Harbor, Md. — A group of about 20 demon­strators stood outside the Con­ser­v­ative Political Action Con­ference to protest Pres­ident Donald Trump and his policies Friday.\n\nThe group came from Prince George’s County Democrats, said the group’s leader, Jessica Semachko, 33, from Mitchel­lville, Maryland. They crit­i­cized Trump’s immi­gration policy and his attempts to reduce the enforcement of the Affordable Care Act, also known as Oba­macare.\n\n“We heard on Tuesday that Pres­ident Trump was going to be speaking at the CPAC con­ference, and we felt it was important that people from the com­munity shine a light on the real Trump agenda of mil­i­ta­rized immi­gration raids, repeal of healthcare — the impact that will have on our com­munity,” Semachko said. “The ACA could derail our hos­pital in Prince George’s County meaning that thou­sands of res­i­dents could go without ambu­latory care.”\n\nSemachko added that no one had paid the demon­strators.\n\nThe group held signs that said “resist the Trump agenda”; “I march so my children won’t have to”; “no ban, no wall”; “immi­grants made America great”; and “love thy neighbor.”\n\nThe demon­strators also chanted “no wall, no ban, let us keep our healthcare plan”; “no plan, no repeal”; “we need a leader, not a creepy tweeter”; “we will not go away, welcome to your everyday”; and “no hate, no KKK, immi­grants are here to stay.”\n\nSemachko and other pro­testers said they were united against the repeal of the Affordable Care Act, the border wall, and Trump’s exec­utive order that banned immi­gration from seven Middle Eastern coun­tries.\n\n“We really believe that immi­grants are an important part of our society,” Semachko said. “They are an important part of our economy, and we need to make sure we protect them and remove them from the shadows. We have to decide what our values are in this country. I think that on Election Day, more Amer­icans, by raw count, said that they believed in an inclusive America where we can all prosper and reach our full potential as indi­viduals.”\n\nJen­nifer Zucker, 38, from Brookeville, Maryland, crit­i­cized attempts to repeal Oba­macare without knowing what will replace it.\n\n“I’m here to let Pres­ident Trump know that I support the Affordable Care Act,” she said. “It’s helped mil­lions of people get healthcare that didn’t have it before, and sure it has some issues, but it should be repaired and not com­pletely repealed — espe­cially without a new plan to replace it.”\n\nLauri Roadich, 64, also from Brookeville, Maryland, agreed: “I’m appalled by the repeal of the ACA without a replacement, the lack of tax returns, the splitting up of fam­ilies under the guise of immi­gration reform. What I’ve noticed is that people are fighting for the ACA. People who hated it are now saying, ‘Don’t take away ACA.’”\n\nShe said Steve Bannon, assistant to the Pres­ident and White House chief strategist, is leading Trump’s pres­i­dency. Trump is “being upstaged by under­lings,” she said.\n\n“I despise CPAC more than I despise Trump,” Roadich said. “But I’m really so dis­mayed at the agenda that’s going forward under the Bannon admin­is­tration.”\n\nBev Iglesias, 66, another Prince George’s County res­ident, said she is worried, like the other pro­testers, that repeal of the Affordable Care Act will harm the county’s hos­pital.\n\n“For almost seven years, Con­gress has tried to repeal Oba­macare,” Iglesias said. “You would think that all those seven years, they would’ve made a plan. It’s all about getting rid of it but not pro­viding any­thing to replace it.”\n\nRoadich said she has never protested a pres­ident before, although she has rallied against policies and wars.\n\n“I’ve never felt so dis­dained by a spe­cific pres­ident,” Roadich said.",DEMONSTRATION
"A woman whose friends call her Miss B stood in front of the Statehouse steps Saturday afternoon and yelled at a cardboard cutout of Sen. Todd Young, R-Indiana.\n\n“I would just ask you to grow a pair,” she said.\n\nMiss B, otherwise known as Melissa Biddinger, came from Bloomington on Saturday to join about 200 protesters in Indianapolis. The rally was organized by Our Revolution Indy, a coalition that sprang from Sen. Bernie Sanders’, I-Vermont, campaign for president. Attendees came to protest the repeal of former President Barack Obama’s health care act, held up signs, and endured the snow and harsh wind.\n\nRex Riddle, an event coordinator, said he invited Young to attend the rally and hear his constituents’ concerns, but the congressman was a no-show. Instead, protesters got the chance to vent their frustrations at his cardboard cutout after speakers riled them up.\n\n“He was invited,” Riddle said. “I want that on the record. We think that’ll send a message to him that he should hold himself accountable.”\n\nSeveral speakers and attendees alluded to the fact that Young never seems to be available to hear his constituents’ concerns.\n\n“Has anyone seen Todd?” one protester yelled.\n\n“Todd Young, here I come. Why have you been AWOL?” someone responded.\n\nAs Congress moves through a bill that will repeal “Obamacare,” news outlets and concerned constituents speculate how many people will lose insurance and even die as a result. They worry Republicans don’t have an adequate replacement plan ready to go.\n\nBloomberg Businessweek reports that according to a presentation given to state governors during the weekend the repeal would cause tens of thousands of people to lose coverage due to not being able to afford it. A Washington Post headline says repealing “Obamacare” will kill more than 43,000 people every year.\n\n“People will die,” said Cheryl Laux of Organizing for Action, a nonprofit that pushes Obama’s agenda. “This is not funny. People will die.”\n\nThe crowd was rowdy and interactive as they broke out in chants, yelled and booed.\n\nOne protester’s sign said “GOP plan = get sick die early.” Another read, “American workers deserve affordable health care.”\n\nHaley Holdaway, 35, and her 8-year-old daughter, Riley, both came with signs. Riley’s said “Save the ACA.” She made it herself.\n\nHaley said they watch the news a lot in their household, and Riley was curious why so many people were protesting. The Indianapolis resident told her daughter she was going to the rally with grandpa and asked if Riley wanted to come.\n\n“We’re very frustrated with what’s happening,” said Haley, who held a “Repeal and replace Trump” sign.\n\nEmcee Rosie Bryant started the speeches off with a chant to the crowd.\n\n“Are you guys ready?” she yelled. “Tell me what democracy looks like.”\n\n“This is what democracy looks like,” the crowd chanted back.\n\n“We are here to resist, and we will not stop until we are heard,” Bryant said.\n\nThe first speaker was Sue Spicer, a local activist who worked on the Sanders campaign. She addressed a bag on the Statehouse steps as if it were Young.\n\nShe asked the bag how they could trust him and his team to replace the ACA and why the senator wasn’t doing six years ago what he’s doing now.\n\nNext up was Laux from OFA, who began her speech by mentioning Young has been eluding her for years.\n\n“I am glad to finally have the opportunity today to talk to Todd Yo — oh, wait,” she said with mock surprise. “Where is he?”\n\nListeners also heard emotional testimony from people like Doris Jones, a home health care aid and a custodian at Eli Lilly and Company, a pharmaceutical company with headquarters in downtown Indianapolis.\n\nIt’s imperative for children like her daughter to have Medicaid, Jones said.\n\n“I’m not just terrified,” Jones said. “I’m mad as hell. I’m mad because I know that this is a matter of life and death for me and my daughter. I’m mad because people like Todd Young want to trap my daughter into a life of struggle and poverty.”\n\nAfter the people at the rally heard everyone speak, they finally had the chance to yell at cardboard Young.\n\nMalissa and Diyo Muyumba, a couple from Terre Haute, Indiana, came up to ask Todd Young why Diyo may or may not have deserved to have the heart transplant that saved his life.\n\nThey held signs with pictures of their kids on them that said “The ACA helped save our Dad” and “Because of the ACA our Daddy has a new heart.”\n\n“We talk about standing up,” Malissa said first. “But I’m here because of the people who could not stand up.”\n\nDiyo said before he was able to receive a heart transplant, he was told by his doctors that his options to receive the health care he needed were to try to get on his wife’s health care, to divorce his wife and receive additional funding or to go home with what he was given.\n\nHe got lucky, he said.\n\n“By all means, I should not be here,” Diyo said.\n\n“I’m glad you are,” someone from the crowd yelled out.\n\n“I’m glad I’m here too,” he said. “Thank you.”\n\n“That’s what we’re here to do,” Diyo continued a few moments later. “We’re supposed to take care of each other.”\n\nLike what you're reading? Support independent, award-winning college journalism on this site. Donate here.",DEMONSTRATION
"Share Email 70 Shares\n\nBRATTLEBORO — More than 50 homeless people and supporters took advantage Monday of the Amtrak Vermonter train that stops Main Street traffic here at 5 p.m. to greet idling vehicles with signs calling for more attention to their struggles.\n\nHomeless resident James Douglas, who was among those gathered in downtown’s Plaza Park, aimed to do more than just alert residents about their shared problem.\n\nGet all of VTDigger's daily news. You'll never miss a story with our daily headlines in your inbox.\n\n“There is a solution,” his protest sign read, a sentiment shared by local leaders who are working on several new building projects.\n\nDouglas organized the demonstration after he was arrested July 11 for unlawful trespass when he slept on a bench in the municipally owned park. “We want people to see what’s going on,” he said Monday.\n\n“We in the homeless community,” participants wrote in a statement, “feel that the police enforce and threaten to enforce the trespassing ordinances randomly — not consistently — and on public property, which, for the homeless, is like being terrorized; you never know when they will show up.”\n\nProtesters said they wanted three things: in the long term, housing, and, in the short term, dignity, respect and more of a say in decision making.\n\n“It wasn’t my intent to do this,” Douglas said, “but then I got arrested.”\n\nIn response to the problem, local leaders are outlining several fixes. The town Selectboard has allocated $150,000 for a new $3 million shelter and support office to be built adjacent to the Groundworks Collaborative’s current drop-in center on South Main Street.\n\nVTDigger is underwritten by:\n\nThe nonprofit organization has quietly sought initial paperwork and public money (it just received a $400,000 state and federal community development grant) in hopes of officially announcing the project and a community fundraising campaign later this year.\n\n“The price tag is definitely more than we anticipated, but we feel this is the answer,” said Groundworks executive director Josh Davis.\n\nGroundworks operates a 30-bed year-round shelter near the park and seasonal overflow space from November to April at leased locations. But the shelter consistently has a waiting list and the overflow space has said lacked a permanent address.\n\nUnder the plan drawn up by Duncan Wisniewski Architecture of Burlington, crews would start constructing a new wood-framed building later this year and finish in the fall of 2020. It would house both a day and seasonal night shelter as well as support services.\n\nIn the meantime, Groundworks will gain some space by moving its food shelf this summer from the drop-in-center on South Main Street to a larger former pizza parlor on nearby Canal Street.\n\nMunicipal government, in addition to helping with the new shelter, is spending $1,000 a month for portable restrooms at three downtown locations after residents complained about people using park trees.\n\n“Town employees and others who are maintaining these spaces have found, particularly this summer, significant amounts of human waste,” Town Manager Peter Elwell told the Selectboard at its most recent meeting.\n\n“We view this as an urgent community need, not just as a matter of human dignity but as a matter of public health.”\n\nLocal leaders also have allocated $65,000 for a three-month pilot jobs program developed by Groundworks and Youth Services to hire people “with significant barriers to employment,” be it homelessness, substance use or mental health issues, to do temporary work for $15 an hour.\n\nAnd the Windham and Windsor Housing Trust is finishing a new $7 million building on Flat Street that will add nearly two dozen affordable apartments to downtown.\n\nCollectively, local leaders hope the developments will address the homeless situation.\n\n“This is a really interesting time,” Davis said. “We still have people who are camping out, but I’m starting to feel the community is embracing the issue.”",DEMONSTRATION
