text,gt_protest_type
"MILWAUKEE — Youth organizers kicked off a 65-mile march from Milwaukee to Madison in support of Black women and members of the Black LGBTQ community Tuesday.\n\nRoughly 25 people congregated outside the Milwaukee City Hall to hear organizers speak prior to stepping off on a march that is scheduled to reach the Governor’s Mansion on Saturday afternoon.\n\nThe march is scheduled to span five days and is expected to grow with each day. It will culminate with a Fourth of July rally in Madison demanding an end to racial inequality in the state.\n\n“We’ll go 50 miles, we’ll go 65 miles, we’ll go 100 miles, we’ll go 500 miles if needed,” Tatiana Washington, 19, executive director of the direct-action group 50 Miles More. “This march has been organized by Black women and Black queer people whose voices are often left out of the conversation, even though we’re the most impacted by these issues in the movement and the fight for Black lives.”\n\nOrganizers of the march want Gov. Tony Evers to condemn the use of tear gas, saying its use during a pandemic exacerbates risks to the respiratory system, and sponge rounds used by police after recent protests in Madison following the police killing of George Floyd turned violent.",PROTEST
"Event honoring Holocaust survivors also a rally against hate\n\nTemple Beth Sholom\n\nAbout 130 people, some of them Holocaust survivors, gathered inside Temple Beth Sholom in Las Vegas on Sunday to pay their respects and hear the stories of those who survived Kristallnacht.\n\nKristallnacht, or the night of broken glass, is commonly regarded as the beginning of the Holocaust. For 48 hours starting Nov. 9, 1938, Nazis destroyed and burned synagogues and homes in Germany, murdering 91 Jews and arresting 30,000 others.\n\nThe event marked a stark change in the statewide treatment of the Jews in Germany. Prior to Kristallnacht, the oppression of the Jews had occurred through governmental policies, not violence.\n\nEsther Finder, president of the Holocaust Survivors Group and Generations of the Shoah Nevada, compared Kristallnacht and the current political climate and increase in hate crimes in the U.S., specifically the Pittsburgh synagogue shooting on Oct. 27.\n\n“On that night, persecution of the Jews went from political, legislative, economic and social to the physical,” Finder said. “Until this horrible night in 1938, Jews in Germany thought maybe Hitler and the Nazis might be a passing thing … and if they remained calm and kept their heads down, this would run its course … but there was something different this time.”\n\nFinder then played three video interviews from eye-witnesses present during Kristallnacht, which were compiled by the USC Shoah Foundation and chosen for viewing by Generations of the Shoah Nevada.\n\nAfter hearing the accounts of survivors — then-children who watched the Nazis break into and destroy their homes — Rabbi Felipe Goodman talked about the Pittsburgh shooting and what people can do in Las Vegas to fight hatred so history doesn’t repeat itself.\n\n“There were 2,000 people here Thursday [to honor those lost in Pittsburgh] — and a lot of the people here weren’t Jewish,” Goodman said. “And that’s very important because it means that beyond ourselves and our little sphere, people actually cared about what happened in Pittsburgh. They were alarmed. They were in shock … [but] for us to think that this kind of thing doesn’t happen here is kind of innocent and naïve, because ever since that moment in Kristallnacht, it keeps repeating itself in different ways all over the world.\n\n“The Jews in Germany didn’t believe it could happen to them, just like we believe it can’t happen to us here,” he continued. “They were confident this was a passing thing, they lived in the most enlightened society of their time. They had fought in their wars. People went into the gas chambers wearing medals that they were granted by the German army.”\n\nGoodman, who was born in Mexico, recalled growing up in fear, never taking his shoes off and sleeping with his passport at his bedside in case he ever needed to flee.\n\n“Last week in Pittsburgh really shattered our innocence,” Goodman said. “We thought we were white. We thought we were above and beyond the reach of hate. And the answer is, no one is above and beyond.”\n\nGoodman ended his remarks on a note of encouragement, to stand up to hatred of all kinds. “People showed up for us,” he said. “They didn’t wait until it was their turn to confront hate. It’s about the rhetoric, and if we don’t stop it — if it’s not us, it’s going to be somebody else.”",RALLY
"ELIZABETHTON, Tenn. (WJHL) — Following the nationwide uproar surrounding child sex trafficking, locals decided to take it to the streets with signs in-hand to raise awareness.\n\nOne of the first Tri-Cities Save the Children Marches ensued Saturday afternoon on Broad Street, where a handful of protesters held signs that read “Real men don’t buy children” and “Break the silence.”\n\nNews Channel 11 spoke with rally member Bridgett Gray, who said many have remained silent in regard to the issue for long enough.\n\n“We’re tired of being silenced by social media,” Gray said. “We’re not going to be quiet anymore. We want to stand up for the voiceless; they can’t stand up for themselves, but we can stand up for them.”\n\nThese rallies have broken out on a national level following the temporary block Facebook placed on the hashtag #SaveTheChildren due to it being connected to a conspiracy theory that claims President Donald Trump is battling a war against pedophile celebrities and people within the government.\n\nCelebrities accused by QAnon of being “satanist pedophiles” include Ellen DeGeneres, Chrissy Teigen, Tom Hanks and others.\n\nAccording to CBS News, social media platforms Twitter, YouTube and TikTok have also taken action to restrict QAnon posts on their sites.\n\nQAnon also believes that the President is also secretly hunting down cannibals.\n\nSex trafficking information\n\nChild sex trafficking refers to the recruitment, harboring, transportation, provision, obtaining, patronizing, or soliciting of a minor for the purpose of a commercial sex act. Offenders of this crime who are commonly referred to as traffickers, or pimps, target vulnerable children and gain control over them using a variety of manipulative methods. The United States Department of Justice\n\nSEE ALSO: The United States Department of Justice\n\nAccording to the Tennessee Bureau of Investigation, every two minutes, a child is bought or sold for sex in the United States, and the average age of children sold for sex is 13 years old.\n\nThe TBI lists human trafficking as the second-fastest growing criminal industry.\n\nFor more information, CLICK HERE.",RALLY
"Dozens of voices denouncing the recent Supreme Court decision to allow enforcement of the Trump administration’s travel ban echoed inside the Minnesota State Capitol rotunda Tuesday evening.\n\n“No ban, no wall, sanctuary for all,” they yelled from the first floor.\n\nThe rally, organized by the Minnesota chapter of the Council on American-Islamic Relations (CAIR), was a reminder to all that “Minnesotans will not stop challenging this policy,” said executive director of CAIR-MN Jaylani Hussein.\n\nThe high court’s recent decision to allow the administration to enforce a ban on travel to the United States by residents of seven mostly Muslim countries “confirms the fears of so many in the community,” Hussein said.\n\n“This country historically is made of immigrants,” he added. “This threatens the fabric of who we are.”\n\nMonday’s decision is not a final ruling on the travel ban. Challenges to the policy are expected in federal courts, and justices may have to rule on its legality.\n\nIn Minnesota, Hussein made a call to action: “We’ll do whatever it takes ... We’re going to fight continuously in the court, fight in the streets and fight by reminding Americans who believe this is the right policy, that they’ve benefited from immigrants.”\n\nKhalid Mohamed, a student at Hamline University, said he was “sad and disappointed.”\n\n“In 2017, it breaks my heart to see my community, my faith and my religion being targeted because of who we are,” he said. “Lets make it clear. This is a Muslim ban.”\n\nAsma Mohammed, with‎Reviving the Islamic Sisterhood for Empowerment, said the new court ruling is “terrifying for all of us.”\n\n“This ban will refuse entry to people escaping war-torn countries. This ban will refuse entry to people who are escaping famine. And perhaps most disgusting of all, this ban will refuse entry to people trying to escape the slave trade in Libya,” Mohammed said.\n\nAbout 20 people stood behind Hussein, Mohammed and other speakers Tuesday evening holding signs of the Statue of Liberty. Among them were politicians, Muslim allies, and union representatives who said immigrants are the foundation of this country.",PROTEST
"Share the Scene:\n\n\n\n\n\n\n\n\n\nMilton Neighbors protest peacefully, share resources on Black Lives Matter movement\n\nOn Monday, June 1, a group of over 100 residents protested peacefully in East Milton Square:\n\nThis slideshow requires JavaScript.\n\nResources:\n\nNeponset Neighbors Together Fund\n\nThe Neponset Neighbors Together Fund (“NNTF”) is a collaboration among United Way, the Town of Milton, and the Boston neighborhoods of Mattapan, Dorchester and Hyde Park through Boston City Councilors Andrea Campbell and Ricardo Arroyo, the Milton Interfaith Clergy Association, and Courageous Conversations Toward Racial Justice Milton-Mattapan, to establish a COVID-19 Fund to support neighbors of Milton, Mattapan, Hyde Park and Dorchester, who are adversely impacted by the current health crisis.\n\nAlly resource guide:\n\nView the guide.\n\nBlack Economic Council of Massachusetts (BECMA) list of Certified Black Owned Businesses\n\nThis list of Certified Black Owned Businesses that are doing business in Massachusetts is provided by the Black Economic Council of Massachusetts (BECMA) to assist in identifying Black owned businesses. It is a work in progress, will be continuously\n\nupdated, and may have inaccuracies.\n\nPetitions, places to donate, resources compendium\n\nhttps://www.ally.wiki\n\nPetition to Diversify Education in Milton\n\nThis is a Petition in order to diversify the english and history programs at Milton High School. This includes subjects such as the history and struggles of both oppressed and minority groups, that are not currently a part of the curriculum at MHS. All names and answers will be shared fully and entirely with the Milton Publics Schools Board of Education\n\nView petition.\n\nEvents:\n\nMilton Standout Against Racism, June 4, 2020, 6:00 p.m.\n\nShared Articles & Videos:\n\nFor our White Friends Desiring to Be Allies\n\nTIM WISE – White Privilege, Racism, White Denial & The Cost of Inequality\n\nInstitutionalized Racism: A Syllabus – How can we help students understand George Floyd’s death in the context of institutionalized racism?\n\nA black man was afraid to walk in his gentrified community. So 75 neighbors walked with him.\n\nPositive depictions of the protest in Boston on May 31, 2020.\n\nCNN and ‘Sesame Street’ to host a town hall addressing racism\n\nYard Signs:\n\nGet your We Love Our Milton Neighbors yard sign here. 100% of profits go to the Neponset Neighbors Together Fund.",PROTEST
"Email Share 636 Shares\n\nCollege Park Mayor Patrick Wojahn takes part in a protest in College Park, Md., on June 3, 2020. (Photo by Patrick Wojahn)\n\nCollege Park Mayor Patrick Wojahn on Wednesday joined residents in a protest largely supported by 5 o’clock commuters and Prince George’s County police.\n\nWojahn was one of many LGBTQ Marylanders who took to the streets this week to support protests against police brutality and racial violence.\n\nBoth peaceful protests and violent riots were triggered by the death of George Floyd on May 25 when then-Minneapolis police officer Derek Chauvin kneeled on his neck, asphyxiating him, according to a recent autopsy report. CNN also reported protesters in the city cheered when charges were announced against all four ex-officers involved in Floyd’s death, with Chauvin facing an additional second-degree murder charge.\n\nHowever, Maryland LGBTQ protestors interviewed by the Washington Blade pointed out that the issues underlying the protests extend beyond Floyd’s death and include oppression that continues to impact the lives of both trans and cisgender African Americans.\n\n“I think when people talk about Black Lives Matter, it should resonate and go to the lives of all people who are systematically disadvantaged and oppressed,” Wojahn said. “It’s the whole idea that until there is justice for every person, there will not truly be justice for any person. The tragic case with George Floyd should also raise the point of systematic oppression for other people as well, including the transgender community.”\n\nWojahn stood with what he estimated were 40-50 College Park residents along Baltimore Avenue between a Target store and the University of Maryland campus. They waved signs calling for an end to racial violence and police brutality while drivers honked their support and both campus and county police monitored the situation from a distance, though a few gave protestors the thumbs up.\n\n“I think that we’re all in this together,” said Nicola Netto-White, a cisgender-heterosexual Marylander and College Park protest co-organizer. She’s also an Indian American who was born in New York. “And the best way to make changes is if we all take action. We’ve all had different experiences and we can use these experiences to make change, whether by protesting or voting or writing letters to public officials. We need change now, and we all can play a part in that.”\n\nBut Kaniya Walker, a black transgender woman who lives and works in Prince George’s County did not agree that the protests or the Black Lives Movement was trans-inclusive.\n\n“I’m not too positive about the Black Lives Matter movement protests because they seem to apply only to heterosexual black people,” said Walker who helped organize a Transgender Day of Remembrance event last year to honor Ashanti Carmen and Zoe Spears, two black trans women who were murdered in Fairmount Heights last year. “It doesn’t seem like an equal movement … I just want the same energy when a trans person is murdered.”\n\nFive years ago Baltimore rioted following the death of 25-year-old Freddie Gray after his arrest and transport in a police van. According to the Washington Post, though the Floyd protests were more peaceful, issues of poverty, violent crime and corruption remain.\n\n“Trans Maryland backs all of our siblings in the streets speaking out against police brutality and white supremacy,” said the organization’s Executive Director Lee Blinder in a statement to the Blade.\n\nHowever, like Walker, Blinder felt it was important to include the losses endured by black trans women before this time of national reflection inevitably passes.\n\n“We’re hoping allies and co-conspirators join in for this Friday’s Black Trans Lives Matter protest at 2 p.m.,” Blinder added. “Organized by Iya Dammons, Executive Director of Baltimore Safe Haven.”\n\nSafe Haven is a nonprofit organization providing services for “transgender people in Baltimore City living in survival mode,” according to its website.\n\nPrince George’s County Police Chief Hank Stawinski earlier on Wednesday suspended three of his officers after a video on social media showed them kicking a black man who was handcuffed. One of the people who recorded the footage can be heard saying, “This is the [stuff] we’re protesting.”\n\nThe Blade reached out to Prince George’s County and the University of Maryland police departments, but all were unable to comment prior to publication.",PROTEST
"For Cisco Van Derhoff and Bay White, a recent school project involved rallying dozens of people and taking aim at a global issue.\n\nThe two Gustavus third-graders organized a march Friday to join forces with children around the country who marched out of school March 15 to demand action on climate change. In a phone interview Friday, Van Derhoff said he heard about the marches from his friend Greg and wanted to try and organize a similar event in Gustavus.\n\nA week later, Van Derhoff and White led more than 80 people through the streets of Gustavus holding signs demanding action. The community’s population is 440, according to the 2017 census, meaning that the march’s turnout was just under 20 percent of the town.\n\nVan Derhoff said putting the march together was more work than he originally thought.\n\n“There are so many little steps, all those little steps led up to this big big event,” Cisco said, “and it was really worth it.”\n\n[Juneau turns out for March for Science]\n\nBay White speaks into a megaphone alongside Cisco Van Derhoff, right, at their climate action march on Friday in Gustavus. (Courtesy photo | Iris White)\n\nThe two 9-year-olds, who are in homeschool, both said they’ve seen winters get warmer in recent years and have watched as snow turns to rain. Sybil Van Derhoff, Cisco’s mother and their homeschool teacher, said the boys were originally going to end their current science unit with a different final project.\n\nThe original final project was putting together a brochure about climate change in Alaska to hand out to cruise passengers, but when Cisco heard about the marches around the country, he and White started pushing to change their final project.\n\n“They were so fired up that they talked me into changing the final project and doing this instead,” Sybil said. “It’s been really sweet to watch and very humbling to see two little kids that are fired up about an issue can really rally a lot of support in this town.”\n\nThe boys said they hope more students around Southeast take action and express that they care about the environment’s future. They’ve been spreading the word already. The night before the march, they talked on the phone with Sen. Jesse Kiehl, D-Juneau. A few hours after the march, they spoke over the phone with Rep. Sara Hannan, D-Juneau. The boys said it was exciting to talk with people who were in such high positions in the state.\n\n[Dunleavy dissolves climate action team]\n\nThe event also featured Zach Brown, executive director of the Inian Islands Institute, who gave a speech to the youngsters about how they can make a difference. The Inian Islands Institute is a nonprofit that seeks to educate children in Southeast and beyond about taking care of the environment. The boys said Brown’s speech focused on the fact that the future is “not the grownups’ future, it’s mainly the kids’ future.”\n\nIris White, 13, who took photos and helped with the event, said the Earth’s future belongs to more than just this generation of children.\n\n“I think it’s really important because it’s all our futures and this is our future we’re fighting for, and our kids and grandkids,” Iris said. “It’s really important that we have a good world to grow up in.”\n\nGustavus students demand action on climate change by marching out of school on Friday. (Courtesy photo | Iris White)\n\n• Contact reporter Alex McCarthy at [EMAIL]. Follow him on Twitter at @akmccarthy.",MARCH
"CLOSE The rally in support of DACA and DACA recipients drew over 700 people in Iowa City Thursday night.\n\nBuy Photo Community members gather at the Pentacrest for a rally in support of the Deferred Action for Childhood Arrivals (DACA) program on Thursday, Sept. 7, 2017. (Photo: David Scrivner/Iowa City Press-Citizen)Buy Photo\n\nA crowd of over 700 people stood in front of the Iowa City Old Capitol building Thursday night united in their support of immigration policy targeted by President Donald Trump.\n\nThe rally, organized by University of Iowa student Emiliano Martinez, took place on the Old Capitol's footsteps in the heart of UI's campus in hopes of making it clear to Iowa's elected officials that many of its citizens do not support ending the Deferred Action for Childhood Arrivals program, as Trump called for earlier this week.\n\nThe rally, which featured roughly 18 speakers, was filled with UI students and other community members reading letters from DACA recipients and undocumented citizens to hundreds of gathered supporters who held signs that read \Deport Hate\"" and \""Silence Is Violence. Defend DACA.\""\n\nBuy Photo Emiliano Martinez, president of Hawkeyes for Dream Iowa, speaks to a large group at the Pentacrest for a rally in support of the Deferred Action for Childhood Arrivals (DACA) program on Thursday, Sept. 7, 2017. (Photo: David Scrivner/Iowa City Press-Citizen)\n\n\""It makes me proud to see that this many people believe in the process. They believe we can lobby our federally elected officials and bring our voices to Washington,\"" Martinez said before the rally started.\n\nDACA is a policy enacted by President Barack Obama that provided protection from deportation for undocumented immigrants who were brought to the country as children. USA TODAY has reported about 800,000 people receive protection from DACA in the country today.\n\nMartinez said he started planning the rally when he created the Facebook event for it at 9 p.m. Tuesday. Quickly, hundreds had shared the event and agreed to come via the social media platform.\n\nThe main goal of the rally was to garner 2,000 signatures for a petition of support for DACA recipients that would be sent to 2nd District U.S. Rep. Dave Lobesack, U.S. Sen. Joni Ernst and U.S. Sen. Chuck Grassley. Martinez also hoped that passers-by would also listen to the stories of those protected by the program.\n\n\""I think people should listen to these stories. It's not about partisanship, it's not about the pessimistic rhetoric that comes out of political conversations. This is about issue efficacy, it's about people getting what they want done.\""\n\nDaisy Corona, a junior at UI, was one of the many people holding signs during the rally. Her sign, bright green with black lettering, read \""No Human Is Illegal.\""\n\n\""I may be safe from deportation, but family members and friends of mine aren't. That's why I'm here,\"" Corona said.\n\nCorona said she was taken aback in recent days by what people thought DACA was and how misinformed many people are on DACA and undocumented immigrants in the country.\n\nBuy Photo University of Iowa junior Isabela Flores speaks to a large group at the Pentacrest for a rally in support of the Deferred Action for Childhood Arrivals (DACA) program on Thursday, Sept. 7, 2017. (Photo: David Scrivner/Iowa City Press-Citizen)\n\n\""I hope people learn about what good is coming from DACA,\"" Corona said. \""It's not here to harm people, it's here to help a lot of people.\""\n\nThe event featured a plethora of local politicians and government officials in the crowd. state Sen. Nate Boulton, state Rep. Dave Jacoby and former U.S. Rep. Jim Leach were all in attendance.\n\nJohnson County Board of Supervisors Janelle Rettig and Rod Sullivan also attended. Rettig read to the crowd the board's letter to Iowa congressional leadership that urges them to support the DREAM Act 2017. The act, a bipartisan bill introduced by U.S. Sen. Lindsey Graham (R-S.C.), and U.S. Sen. Dick Durbin (D-Ill.), would provide a path to citizenship for undocumented citizens and DACA recipients who have graduated from high school and attended college, entered the workforce or enlisted in the military.\n\nGraduate students from the University of Iowa Legal Clinic informed the crowd of the rights DACA recipients have. They added that if anyone needed any legal advice or services when it comes to DACA, the clinic's doors are always open and their services always free.\n\nBuy Photo Community members gather at the Pentacrest for a rally in support of the Deferred Action for Childhood Arrivals (DACA) program on Thursday, Sept. 7, 2017. (Photo: David Scrivner/Iowa City Press-Citizen)\n\nLeaders from a long list of organizations that support immigrants — UI's Association of Latinos Moving Ahead, the League of Latino American Citizens, the Eastern Iowa Community Bond Project — also addressed the crowd at the rally.\n\nBut it was the personal stories that elicited the loudest cheers from the crowd. UI student Issac Medina addressed the crowd with a fiery speech that drew perhaps the loudest reaction from the crowd. He spoke about how his parents being undocumented and his cousin being a DACA recipient.\n\n\""They are just as American as I will ever be,\"" Medina said. \""There is no difference in loyalties for this country between them and others.\""\n\n\""Many (immigrants) are proud to give their lives for a country that has seemingly turned their backs on them. Will we turn our backs on them?\"" Medina asked the crowd. The crowd yelled back \""No!\""\n\n\""Then we need our politicians to do the right thing, to do the human thing.\""\n\nReach Zach Berg at 319-887-5412, [EMAIL] or follow him on Twitter at @ZacharyBerg.\n\nRead or Share this story: https://www.press-citizen.com/story/news/2017/09/07/iowa-city-daca-rally-draws-over-700-people/644386001/""",PROTEST
"LANSING, Mich. (WLNS) — Protesters gathered on the front steps of the State Capitol, calling for men and women to get equal pay for equal work.\n\nIt was all part of Equal Pay Day, a day organizers say symbolizes how far women need to work into the year to make what men earned the year before. Approximately 100 people attended the rally in Michigan.\n\nThe message from the supporters and lawmakers in attendance, was “Equal pay makes cents.”\n\n“As a state representative, as a woman, as an employer, I know the best way for me to grow my business and for us in Michigan to grow our economy is to pay people what they’re worth,” Democratic State Representative Donna Lasinski, who represents Michigan’s 52nd House District, said.3\n\n“We’re working just as hard as our male counterparts, and we deserve to be paid just as much as our male counterparts,” Dolores Porte said.\n\nNumbers released by the michigan league for public policy show how wide the gap is in some areas. According to American Community Survey numbers taken between 2012 to 2015, the median wage for men in Michigan is about $50,000, while for women, it’s around $38,000.\n\nThe gap is not as wide in Lansing, but Bloomfield hills near Detroit, the report finds men make nearly $100,000 more than women.\n\nIn every city listed in the report, men make more than women.\n\nFor Irma Glaser, the fight is personal. She said the company she worked for limited women’s hours–under the guise of keeping them safe. And she said while progress has been made, more needs to be done. It’s a fight she hope people will not give up.\n\n“This has been going on for a long time. And, although we’ve made some end-roads, it’s not enough,” she said. “And I have to say coming here every year on equal pay day, the listening becomes less.”",RALLY
"QUINCY — Standing in front of a 115-year-old bus depot on Hancock Street in Quincy on Sunday morning were dozens of MBTA union members with a message for the transit authority: No more privatization.\n\nThe union workers, members of the International Association of Machinists and the Boston Carmen's Union, expressed outrage at the MBTA's exploration of using an outside vendor instead of MBTA employees to maintain and operate 60 new proposed buses. Union leaders and U.S. Rep. Joe Kennedy III joined workers who called the prospect of the MBTA privatizing work \corporate greed.\""\n\nWant news like this sent straight to your inbox? Head over to PatriotLedger.com to sign up for alerts and make sure you never miss a thing. You pick the news you want, we deliver.\n\n\""Privatization does not work at the MBTA or any public transportation, period,\"" said Jim Evers, president of the Boston Carmen's Union. \""If the MBTA decides to go this route, we're going to fight and we consider this an attack on labor. The riding public does not deserve that.\""\n\nEvers' union represents more than 4,100 MBTA employees.\n\nJoe Pesaturo, an MBTA spokesman, said in an email Sunday that the agency has a responsibility to find the most efficient way to serve riders.\n\n\""The MBTA has an obligation to identify and implement the most effective methods for providing its bus riders with safe and reliable service on a consistent basis,\"" Pesaturo said.\n\nThe MBTA Fiscal and Management Control Board floated the possibility of working with an outside vendor to operate and maintain new buses in January, sparking opposition from union leaders and elected officials.\n\n\""The MBTA negotiated a labor agreement with several of our labor unions that allows us to consider flexible contracting with the expansion of service,\"" MBTA General Manager Steve Poftak told reporters last week. \""We are currently in the process of procuring 60 buses. We are analyzing both in-house and outsourced proposals to operate those buses. That evaluation continues.\""\n\nPoftak said that because the 60 new buses will be added to supplement existing service, no operators will lose their jobs if the MBTA agrees to a private contract.\n\nOther aspects of MBTA already rely on private entities; Keolis, a private company, runs the commuter rail system. One agreement allows the MBTA to use outside carriers such as Yankee Bus to provide service during rail shutdowns, which Poftak praised.\n\n\n\n\""That has given us the flexibility to do a lot more diversions and taken off some of the pressure to try to find people in-house to work overtime given the size and scale of the diversions we're doing,\"" Poftak said.\n\nEvers said Sunday that he fears if the MBTA privatizes another aspect of its operation, the agency's privatization effort could continue to creep into other areas of its service.\n\nIn February 2018, the MBTA and its bus mechanics union reached agreed on a contract that called for unions to continue maintaining the existing fleet while allowing the MBTA to explore cost-reduction options for maintenance on new buses. Michael Vartabedian, directing business representative of Machinists Union Local 264, said Sunday that the MBTA has already broken promises in that agreement.\n\nKennedy, a Democrat, is on the campaign trail, running to unseat U.S. Sen. Ed Markey, a fellow Democrat. Kennedy toured the facility with union leaders just before noon Sunday and said working conditions at the depot were poor and that state leadership should not be trying to privatize a public utility.\n\n\""The way that privatization works, off a system that wasn't actually designed to make a profit, is you have to either cut from workers, or cut it from services, and one way or the other, people are going to lose,\"" Kennedy said.\n\nKennedy also called for expanded services on the Red Line and long-term urban planning to help ease congestion for South Shore residents traveling back and forth to Boston.\n\nMBTA officials and state legislators disagree over whether partial bus privatization would need approval from the state auditor's office. A 1993 law requires state agencies to prove they will save money by privatizing services, and for the state auditor to vet any proposals.\n\nMarkey, along with U.S. Sen. Elizabeth Warren, a Democratic presidential hopeful, sent a letter to Poftak last month expressing opposition to privatization, calling it a \""misguided and short-sighted idea.\""\n\nThe MBTA is already in talks to replace the Hancock Street depot, eyeing the site of a former Lowe’s home improvement store on Burgin Parkway. Quincy is first in an MBTA plan to update bus facilities because the Hancock Street location can only handle the T’s older diesel buses, which will approach obsolescence in about four years. The MBTA is planning to convert to hybrid-diesel buses, which can't fit in the Quincy facility.\n\nThe bus depot, at 954 Hancock St., was opened about 1904 as a street car depot and was converted to service buses in 1930. It houses 84 buses. MBTA officials said that they plan to use union labor at its potential new depot, which would be expanded to handle 120 buses.\n\nMaterial from State House News Service was used in this report. Reporter Joe Difazio can be reached at [EMAIL].""",PROTEST
