text,gt_event_type
"at least 50 people including an Afghan militant commander of Tehrik-i-Taliban, Sangeen, were killed in a series of suspected US missile attacks. The drones also targeted the vehilces in which militants were fleeing. Militants and tribesmen fired at the drones flying overhead. earlier an unmanned plane fired missiles at a bunker in Bekh Mary Langara, a predominantly Mehsud area. The attack left 6, including a commander Wali dead, while 7 others were injured.",DRONE_ASSASSINATION
"Clashes between security forces and militants left 21 militants dead and 2 injured. 1 soldier was also killed while 5 were injured. Following the clashes, helicopter gunships attacked suspected militant positions. ",CONVENTIONAL_ATTACK_ON_GOV_FORCES
"A young man was gunned down when armd persons attacked him near Hussain hazara Goth, killing him on the spot. ",ASSASSINATION
11-year-old Muhammad Tariq was killed in a landmine blast. Tariq was returning home from a trip when the landmine blasted on the roadside.,TERRORISM
"During a search operation, Niaz Ali who was a 9th class student of Bagram Model School was shot and killed by security forces when he tried to resist arrest. Two of his brothers who were arrested were later released. ",GOV_ATTACK_ON_CIVILIANS
Body of an unidentified woman was found in the Badami Bagh aea.,OTHER
Two picnickers were killed and one was injured by 3 personnel of Malakand Levies after an exchange of hot words which led to a quarrel. The levies personnel managed to escape after the incident. ,ASSASSINATION
"In reaction to the demolition of Babri Mosque in Ayodhya, protesters attacked the property of a Hindu and burnt his car in Sargodha on Tuesday. Mob also burnt tyres and effigies of Indian leaders. Due fired tear gas to disperse them and hence 2 policemen and 3 protesters were injured.",VIOLENT_POLITICAL_DEMONSTRATION
"Militants fired several mortar shells at an FC camp, injuring 2 security personnel. In retaliation, helicpoter gunships were used to target militant hideouts in Safi tehsil. ",GUERILLA_ATTACK_ON_GOV_FORCES
"Pervaiz Mahmoodul Hasan, a resident of Nazimabad area in Karachi, was held at the airport for carrying a pistol in his handbag. He could neither produce a licence for the firearm, nor could he justify its posession. ",THREAT_OF_VIOLENCE
Three persons were injured by Rangers' firing for violating the curfew set in the area.,GOV_ATTACK_ON_CIVILIANS
an army captain and a soldier suffered injuries when their vehicle was hit by a landmine in the Shakai Valley.,GUERILLA_ATTACK_ON_GOV_FORCES
"An army man, Bacha Khan Khattak,  was shot and killed by two unknown assailants on a motorcycle in the main bazaar. According to Political Agent Mohammad Azam Khan, the victim-who was posted in the army canteen in Azam Warsak- was in plain clothes at the time. The authorities have started investigating the reason for the attack and for the assailants themselves. Last year, an official of ISI-Sher Nawaz- was also shot dead by unknown assailants in Wana Bazaar. Follow up: According to local admistration, the Yargul Khel and Ahmedzai tribes were responsible for the attack.",ASSASSINATION
"A bomb blast near a market killed 4 people and injured 25, among them 8 children playing near the site of the blast. Police reports claim that it was a time-bomb placed outside a music store but an FC convoy had passed through the area moments before the blast. ",TERRORISM
2 people were injured in a landmine explosion in Dera Allahyar area of Jaffarabad district.,TERRORISM
A man was wounded in a shooting incident in the Preedy area.,TERRORISM
One Abdul Waheed was shot and wounded by unknown men on Fida Mohammad Sheikha Road in Kaalri police station area.,ASSASSINATION
Haqiqat Gul and Samin were injured when troops opened fire after the former failed to stop at a checkpost. ,GOV_ATTACK_ON_CIVILIANS
2 people were killed and 6 were injured when unidentified men hurled a hand grenade at a shop at the Ghass Mandi Chowk. All shops were closed after the attack.,TERRORISM
"The army and police launched a joint operation after receiving information that Bakht Farzand, a wanted militant leader of TTP, was in the area. The operation led to Bakht Farzand and 4 other militans getting killed, while 3 others were injured. ",GOV_ATTACK_ON_NONSTATE_COMBATANTS
"a fresh wave of ethnic violence erupted across Karachi claimimg the lives of 25 people.  At least 40 others were also injured. Police say the trouble began when armed men who had taken position in the hills os of North Karachi, fired bullets upon Zarina Colony, resulting in the death of an MQM worker who came under fire. the police and Rangers returned gunfire forcing the gunmen to retreat. a Rangers' man was wounded. Vehichles were torched in Malir, North Karachi, Landhi and Al-Fallah.",TERRORISM
The third day of the fresh wave of violence in Karachi.  Two men were killed in the main commercial area of PIB Colony as armed men on motorbikes opened indiscriminate fire in the market area.,TERRORISM
Ummed Ali and his accomplice shot dead Ghulam Qadir. The cause could not be ascertained.,ASSASSINATION
Unidentified youth intercepted a minibus and set it on fire in North Nazimabad. ,VIOLENT_POLITICAL_DEMONSTRATION
"In Mastung, a man was killed when some armed men opened fire on a van.",ASSASSINATION
"The founder president of SPSF working committee (Mir Murtaza Bhutto group) and the recently expelled Sindh council member of PPP (SB), Ghulam Mustafa Korai, alleged that Mir Murtaza Bhutto opened fire on a crowd of 150 protesters. It was said that he did so on a crowd of people who were protesting against Majeed Sial, who was responsible for expelling Ghulam Mustafa Korai, Ejaz Molai and Liaquat Nizamani from the party. The incident itself was not reported in the newspaper. Information about the incident is gathered from a news article of a news conference held at Hyderabad Press Club by Ghulam Mustafa Korai, in which Korai is accusing Murtaza Bhutto  of certain charges.",VIOLENT_POLITICAL_DEMONSTRATION
Unidentified group shot dead a doctor when he reached Hasan Clinic in Malir. The police termed it a sectarian killing.,ASSASSINATION
"Abdul Aziz, a Haveldar of Rangers, was killed and his driver was injured wen their vehicle came under attack. ",VIOLENT_POLITICAL_DEMONSTRATION
there was an explosion at the railway tracks.,TERRORISM
"Baitullah Mehsud threatened to start killing soldiers that had been kidnapped weeks ago, if the military did not stop its operations in Tank. He also threatened to intensify attacks on security personnel in South Waziristan.",THREAT_OF_VIOLENCE
"Dozens of Islami Jamiat Talaba students reportedly arrived at the PU campus and started thrashing students. According to faculty members, they attacked teachers upon intervention as well and threatened of dire consequences before fleeing upon intervention by the security guards. According to the IJT spokesman, the students did not belong to the IJT and claimed that the brawl was between the students of the Institute over some issue. ",TERRORISM
