source_fid,source_event_id,source_claim,source_claim_raw,text,gt_protest_claim
SZ-20200123-SLDRU-966,SZ-20200123-SLDRU-966_2,101.0,repression,Mittwochmorgen begann dann der Großeinsatz der Polizei,Repression
LEIPZ_20200607_AATDQ_185,LEIPZ_20200607_AATDQ_185_1,101.0,repression,Polizeigewalt,Repression
LEIPZV_20110413_DGRBL,LEIPZV_20110413_DGRBL_1,101.0,repression,Anlass war eine landesweite Razzia in der linksextremen Szene gestern früh,Repression
LEIPZV_20130213_PVVF,LEIPZV_20130213_PVVF_1,101.0,repression,"gegen den Versuch des Konzerns protestiert, die Presse- und Meinungsfreiheit zu unterdrücken",Repression
LEIPZV_20130213_PVVF,LEIPZV_20130213_PVVF_1,101.0,repression,"Das Aktionsbündnis will damit auf den Prozess aufmerksam machen, den Veolia gegen die Macher des Films \""Water Makes Money\"" angestrengt hat und der morgen in Paris beginnt",Repression
LEIPZV_20130417_VDIV,LEIPZV_20130417_VDIV_1,101.0,repression,die umstrittene Zwangsräumung einer Berliner Rentnerin am 9. April geht. Der schwerbehinderten Rosemarie F. (67) war wegen Mietrückständen und unsachgemäßen Verhaltens im Haus gekündigt worden,Repression
LEIPZV_20130729_RWIAM,LEIPZV_20130729_RWIAM_1,101.0,repression,"Wir wollen mit der Demonstration zeigen, dass die Überwachung im Internet für viele Bürger ein wichtiges Thema ist\"", sagte der Mitorganisator und Rechtsanwalt Jürgen Kasek. \""Viele Menschen sind unzufrieden mit dem Vorgehen der Bundesregierung. Wie wir bei der Aufklärung hingehalten werden\"", so der Grünen-Politiker.",Repression
WESKU00020110109e7190000y_SUN,WESKU00020110109e7190000y_SUN_1,101.0,repression,gegen das Gefangenenlager Guantanamo,Repression
WESKU00020120226e82q0000v_SUN,WESKU00020120226e82q0000v_SUN_1,101.0,repression,Die Gegner sehen dadurch die Freiheit der Netzgemeinde bedroht,Repression
WESKU00020121121e8bm0001c,WESKU00020121121e8bm0001c_1,101.0,repression,fordern weltweiten Hinrichtungsstopp,Repression
WESKU00020121121e8bm0001c,WESKU00020121121e8bm0001c_1,101.0,repression,für die internationale Abschaffung der Todesstrafe,Repression
WESKU00020140208ea2900017_SUN,WESKU00020140208ea2900017_SUN_1,101.0,repression,"\""Freiheit statt Kontrolle für die Menschen in Russland\",Repression
WESKU00020140516ea5h0001l,WESKU00020140516ea5h0001l_1,101.0,repression,und die durch den Militärputsch an die Macht gekommene Übergangsregierung,Repression
WESKU00020200508eg2n0006y_SUN,WESKU00020200508eg2n0006y_SUN_1,101.0,repression,gegen Willkür und Repression,Repression
WESKU00020200703eg730001v,WESKU00020200703eg730001v_1,101.0,repression,"Das Bündnis sieht den Tod des 51-jährigen Marokkaners im \""Kontext der rassistischen und diskriminierenden Struktur der Polizei\",Repression
WESKU00020200816eg8g00018,WESKU00020200816eg8g00018_1,101.0,repression,"Sie forderten eine lückenlose Aufklärung des eskalierten Polizeieinsatzes in Gröpelingen im Juni, bei dem ein Marokkaner durch Schüsse eines Polizisten starb.",Repression
SZ-20190128-GSSVGP-293,SZ-20190128-GSSVGP-293_1,101.0,repression,Überwachungsmaßnahmen ausgeweitet,Repression
SZ-20190304-DFZZP-366,SZ-20190304-DFZZP-366_1,101.0,repression,Der Staat dreht die Repressionsschraube immer weiter zu,Repression
SZ-20190304-DFZZP-366,SZ-20190304-DFZZP-366_3,101.0,repression,inszenierten sich Mitglieder der Gruppe vor dem Landtag als Stasi-Mitarbeiter,Repression
LEIPZO0020180403ee43008vh,LEIPZO0020180403ee43008vh_1,101.0,repression,"forderten Deutschland auf, die katalanischen politischen Gefangenen freizulassen.",Repression
LEIPZO0020190116ef1g00jg1,LEIPZO0020190116ef1g00jg1_1,101.0,repression,gegen die Räumung des linken Kulturzentrums „Black Triangle“ am Vortag protestiert,Repression
LEIPZO0020190116ef1g00jg1,LEIPZO0020190116ef1g00jg1_1,101.0,repression,Bleiberecht in besetzten Häusern,Repression
LEIPZO0020190124ef1n004s9,LEIPZO0020190124ef1n004s9_1,101.0,repression,Racheakt für die Räumung des „Black Triangle“,Repression
StZ_20140930_EADSD_338,StZ_20140930_EADSD_338_1,101.0,repression,Polizeieinsatz am 30. September 2010,Repression
STUGTR0020150608eb6800043,STUGTR0020150608eb6800043_1,101.0,repression,"machten sie auf einen Mitstreiter aufmerksam, der während",Repression
STUGTR0020151001eba10003o,STUGTR0020151001eba10003o_1,101.0,repression,erinnern Tausende an die Vorfälle im Park,Repression
STUGTR0020151001eba10003o,STUGTR0020151001eba10003o_1,101.0,repression,Auch,Repression
STUGTR0020151001eba10003o,STUGTR0020151001eba10003o_1,101.0,repression,Polizeieinsatz zur Räumung,Repression
STUGTR0020151001eba10003o,STUGTR0020151001eba10003o_1,101.0,repression,Ministerpräsident Winfried Kretschmann,Repression
STUGTR0020151001eba10003o,STUGTR0020151001eba10003o_1,101.0,repression,"Den \""schwarzen",Repression
STUGTR0020151001eba10003o,STUGTR0020151001eba10003o_1,101.0,repression,Er hat den ehemaligen Stuttgarter,Repression
STUGTR0020160105ec15000al,STUGTR0020160105ec15000al_1,101.0,repression,"\""Solidarität",Repression
STUGTR0020160725ec7p0005t,STUGTR0020160725ec7p0005t_1,101.0,repression,"forderten sie die Freilassung von Abdullah Öcalan, dem",Repression
STUGTR0020170215ed2f00067,STUGTR0020170215ed2f00067_1,101.0,repression,die Räumung des Schlossgartens vor fünf Jahren,Repression
STUGTR0020170215ed2f00067,STUGTR0020170215ed2f00067_1,101.0,repression,die,Repression
STUGTR0020200602eg6200025,STUGTR0020200602eg6200025_1,101.0,repression,„DGB hat mitgeschossen“ – und rückte damit die unter dem Deutschen Gewerkschaftsbund,Repression
LEIPZO0020161218ecci002xl,LEIPZO0020161218ecci002xl_1,101.0,repression,Freilassung der letzten noch in Haft verbliebenen Sympathisantin,Repression
LEIPZO0020180113eba60041d,LEIPZO0020180113eba60041d_1,101.0,repression,Überwachungsstaat,Repression
