source_an,source_form_codebook,source_form_numeric,source_form_raw,text,gt_protest_form
WESKU00020090104e51400008_SUN,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",protestieren,Demonstration / Assembly
WESKU00020090110e51a000an,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",offenen Brief,Leaflet / Resolution / Open Letter
WESKU00020090110e51a000an,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event","Meer von Menschen, die unter weißen Leichentüchern verborgen auf dem Marktplatz liegen.",Non-verbal Protest / Cultural Event
WESKU00020090118e51i00016_SUN,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter","Aufschriften auf Transparenten, die vor dem Haus der Bürgerschaft am Markt entrollt worden waren",Leaflet / Resolution / Open Letter
WESKU00020090118e51i00016_SUN,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",versammelt,Demonstration / Assembly
WESKU00020090118e51i00016_SUN,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event","Um dies zu unterstreichen, wurden an die Teilnehmer Kerzen und Lampen ausgegeben.",Non-verbal Protest / Cultural Event
WESKU00020090203e523000b1,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",versammelten sich,Demonstration / Assembly
WESKU00020090204e524000bf,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstriert,Demonstration / Assembly
WESKU00020090211e52b000d2,10 Streik,10.0,strike,Warnstreiks,Strike
WESKU00020090214e52e000dc,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstriert,Demonstration / Assembly
WESKU00020090228e52s000ds,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Korso,Demonstration / Assembly
WESKU00020090305e535000ju,"14 Unterschriftensammlung, Petition",14.0,petition,Unterschriftenaktionen,Petition
WESKU00020090312e53c000cj,10 Streik,10.0,strike,Die meisten der rund 60 orthopädischen Praxen im Land Bremen blieben gestern zu,Strike
WESKU00020090312e53c000cu,"14 Unterschriftensammlung, Petition",14.0,petition,Unterschriften,Petition
WESKU00020090314e53e000eh,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Protestmarsch,Demonstration / Assembly
WESKU00020090315e53f00013_SUN,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstriert,Demonstration / Assembly
WESKU00020090315e53f00013_SUN,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demo,Demonstration / Assembly
WESKU00020090321e53l000db,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Kundgebung,Demonstration / Assembly
WESKU00020090321e53l000db,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event",Mit roten Luftballons und roten Taschen machten die Initiatoren des „Equal Pay Day“ die Passanten in Bremens guter Stube auf ungleiche Bezahlung aufmerksam.,Non-verbal Protest / Cultural Event
WESKU00020090327e53r000c6,"14 Unterschriftensammlung, Petition",14.0,petition,Unterschriftensammlung,Petition
WESKU00020090327e53r000cc,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",„betrauerten“ in Form einer Traueransprache,Demonstration / Assembly
WESKU00020090327e53r000d7,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Kundgebungsteilnehmer,Demonstration / Assembly
WESKU00020090331e53v000as,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstriert,Demonstration / Assembly
WESKU00020090331e53v000as,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter","Vor dem Rathaus schmückten die Demonstranten Ostersträucher mit bunten Eiern, auf die sie ihre Forderungen geschrieben hatten.",Leaflet / Resolution / Open Letter
WESKU00020090409e549000b8,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstration,Demonstration / Assembly
WESKU00020090417e54h000cb,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",Sie trugen Transparente mit dem Bild einer Windanlage: „Sie macht uns krank.“,Leaflet / Resolution / Open Letter
WESKU00020090422e54m000ba,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Kundgebung,Demonstration / Assembly
WESKU00020090422e54m000bn,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Protestkundgebung,Demonstration / Assembly
WESKU00020090422e54m000bn,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event",eine rote Laterne überreicht,Non-verbal Protest / Cultural Event
WESKU00020090502e552000dc,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Mai-Kundgebung,Demonstration / Assembly
WESKU00020090513e55d000ay,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",versammelt,Demonstration / Assembly
WESKU00020090513e55d000ay,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",offenen Brief,Leaflet / Resolution / Open Letter
WESKU00020090516e55g000bs,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",versammelten sich,Demonstration / Assembly
WESKU00020090517e55h00018_SUN,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event","und dazu, an diesem Tag keine Tickets im Nahverkehr von Bus und Bahn zu lösen",Non-verbal Protest / Cultural Event
WESKU00020090522e55m000bl,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",Mit Plakaten,Leaflet / Resolution / Open Letter
WESKU00020090522e55m000bl,"14 Unterschriftensammlung, Petition",14.0,petition,gesammelten Unterschriftenlisten,Petition
WESKU00020090522e55m000bo,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstration,Demonstration / Assembly
WESKU00020090523e55n000ax,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Menschenkette,Demonstration / Assembly
WESKU00020090523e55n000ax,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event","Bei der Protestaktion wurden 2000 blaue Luftballons verteilt, die mit einer Postkarte unter dem Motto „Tut dem Klima gut“ in die Höhe geschickt werden sollten.",Non-verbal Protest / Cultural Event
WESKU00020090527e55r0002v,10 Streik,10.0,strike,Kita-Streik,Strike
WESKU00020090611e56b000bo,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly","Sie ziehen – wie gestern – mit Plakaten, Trillerpfeifen und gelben Westen durch die Bremer Innenstadt",Demonstration / Assembly
WESKU00020090612e56c000bt,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Kundgebung,Demonstration / Assembly
WESKU00020090613e56d000db,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",auf die Straße gingen,Demonstration / Assembly
WESKU00020090616e56g000ag,10 Streik,10.0,strike,Arbeitskampf,Strike
WESKU00020090627e56r000ab,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",offenen Brief,Leaflet / Resolution / Open Letter
WESKU00020090629e56t0008c,"14 Unterschriftensammlung, Petition",14.0,petition,Unterschriftensammlung,Petition
WESKU00020090723e57n00089,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event",Spendenaktion,Non-verbal Protest / Cultural Event
WESKU00020090912e59c000bx,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Wahlkampftour,Demonstration / Assembly
WESKU00020090916e59g00094,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event",Rede gehalten hatte,Non-verbal Protest / Cultural Event
