item_id,text,gt_issue
109_22,covid,Coronavirus
146_22,Economic Loss due to Brexit,europe
540_23,Cost of living,living costs
694_23,Environment/climate change,environment
696_23,Climate change,environment
765_22,Economy,economy-general
891_22,Immigration,immigration
982_23,Economy,economy-general
986_23,War in Ukraine,war
1059_23,economy,economy-general
1123_23,Inflation,inflation
1225_22,Coping with Brexit,europe
1333_22,Impact of Covid,Coronavirus
1486_22,illegal immigration,immigration
1551_22,Relationship with the EU,europe
1696_23,Inflation,inflation
1781_22,The economy,economy-general
1802_22,Prioritising concerns such as health care and climate change over private enterprise and profit,health
1811_23,Cost of living,living costs
2032_21,Coronavirus,Coronavirus
2186_22,THE POOR QUALITY OF GOVERNMENT,pol-neg
2551_23,Inflation,inflation
2655_21,Covid,Coronavirus
2686_22,Covid,Coronavirus
2737_23,Boats crossing channel,immigration
2764_21,Nhs,health
2835_21,corruption,pol-neg
2870_23,Cost of living rise,living costs
2875_22,The continuing negative effects from brexit,europe
2894_23,Food and heating,living costs
2958_22,Covid 19,Coronavirus
2967_23,The failed government,pol-neg
3148_22,SLEEZE,pol-neg
3215_22,Economy,economy-general
3315_23,Cost of living,living costs
3386_23,Putin,foreign affairs
3500_23,Immigration,immigration
3609_23,Housing,housing
3623_21,Economic recovery,economy-general
3699_21,Covid,Coronavirus
3899_23,Illegal immigrants,immigration
3994_22,Immigration,immigration
4289_23,inflation,inflation
4352_21,coronavirus,Coronavirus
4537_23,the economy,economy-general
4744_23,cost of living crisis,living costs
4785_22,Covid,Coronavirus
4817_23,Cost of living,living costs
4885_21,COVID,Coronavirus
4955_22,Cv19,Coronavirus
5002_22,Covid 19,Coronavirus
5042_22,Covid,Coronavirus
5072_23,costs of living,living costs
5208_22,COVID-19,Coronavirus
5240_23,Household bills,living costs
5269_21,economy,economy-general
5523_21,Coronavirus,Coronavirus
5574_23,Cost of living,living costs
5589_23,Cost Of Livinf Crisis and inflation,living costs
5948_22,Knife crime,crime
6032_23,Poverty,poverty
6285_23,Covid,Coronavirus
6297_23,Boris Johnson,partisan-neg
6388_22,Covid 19,Coronavirus
6413_23,The cost of living crisis,living costs
6422_22,The Economy,economy-general
6505_21,covid,Coronavirus
6597_23,cost of living,living costs
6700_21,Economy,economy-general
6766_23,economy,economy-general
6913_23,The economy,economy-general
7022_22,Covid,Coronavirus
7090_23,Cost of living crisis,living costs
7503_23,Environment,environment
7511_21,Incompetence of the current government,pol-neg
7601_23,Energy costs,living costs
7686_22,Coronavirus,Coronavirus
7729_23,Economy,economy-general
7747_21,covid,Coronavirus
7789_23,collapse of ethical/moral standards in public life,pol-neg
7796_23,western defence,defence
7958_22,Covid,Coronavirus
7965_22,COVID,Coronavirus
7984_21,The economy,economy-general
8426_21,recovering from covid,Coronavirus
8712_22,Underfunded public services,austerity
8804_21,Coronavirus,Coronavirus
8817_23,Russia,foreign affairs
9233_22,COVID,Coronavirus
9305_22,Collapse of the NHS,health
9427_22,Covid,Coronavirus
9464_22,Housing,housing
9642_22,Covid 19,Coronavirus
9792_23,economy,economy-general
9995_23,Inflation regarding ability to survive,inflation
10041_23,Cost of living,living costs
10239_23,cost of living,living costs
10536_22,Covid 19 Omicron variant,Coronavirus
10664_21,Covid,Coronavirus
10702_21,Recovering from the virus,Coronavirus
10937_22,Covid,Coronavirus
11001_23,Cost of Energy,living costs
11008_23,price of energy,living costs
11168_23,Economy,economy-general
11168_21,Covid-19,Coronavirus
11186_23,Economy,economy-general
11187_22,Boris Johnson,partisan-neg
11472_21,Covid,Coronavirus
11517_22,The useless government,pol-neg
11553_23,Cost of living,living costs
11675_22,COVID,Coronavirus
11781_21,Coronavirus,Coronavirus
11783_23,Effects of the war in Ukraine,war
11826_23,Cost of living crisis,living costs
12319_21,Covid,Coronavirus
12456_23,Cost of living,living costs
12718_22,Brexit,europe
12773_23,An untrustworthy government,partisan-neg
12828_22,Covid,Coronavirus
13283_21,Pandemic,Coronavirus
13558_23,Climate chnage,environment
13603_22,Covid,Coronavirus
13701_21,NHS,health
13727_22,Peak Oil / Energy crisis,environment
13845_23,Affordability,living costs
13849_21,covid,Coronavirus
13940_22,COVID,Coronavirus
14120_21,Covid-19,Coronavirus
14252_23,Economy,economy-general
14252_21,Control of the pandemic,Coronavirus
14373_21,recovery of the economy after covid,COVID-economy
14455_22,Covid,Coronavirus
14564_21,covid,Coronavirus
14614_21,Climate change,environment
14742_21,Immigrants,immigration
15154_23,The economy,economy-general
15319_21,COVID-19,Coronavirus
15438_23,Inequality,inequality
15467_22,Pensions,pensions/ageing
15473_21,covid 19,Coronavirus
15483_23,Inept Government,pol-neg
15594_23,Cost of libing,living costs
15611_23,Economy,economy-general
15812_22,Appalling level of old age pension and treatment of pensioners.,pensions/ageing
15831_22,Immigration,immigration
15907_23,the economy,economy-general
15913_22,Coronovirus,Coronavirus
15990_23,illegal migrants,immigration
16080_21,Covid 19,Coronavirus
16087_22,Climate change,environment
16327_22,The econoomy post-COVID and post-Brexit,economy-general
16556_23,Cost of living,living costs
16674_22,This lying cheating dishonest government,pol-neg
16701_23,War in Ukraine,war
16773_23,Peace,war
16896_22,Border Control,immigration
16989_21,covid,Coronavirus
17117_21,COVID-19,Coronavirus
17196_22,Covid pandemic,Coronavirus
17236_21,crime,crime
17250_21,Covid 19,Coronavirus
17269_21,COVID,Coronavirus
17291_22,Covid 19 and the variants,Coronavirus
17311_21,social care,pensions/ageing
17338_21,women's rights and losing ladies loos and safe spaces,pol value-auth
17518_21,Pandemic,Coronavirus
17639_23,Economic state of the country,economy-general
17803_23,rising prices/cost of living,living costs
17819_21,COVID,Coronavirus
17920_22,covid 19,Coronavirus
17951_22,immigration,immigration
17994_22,brexit,europe
18007_23,Immigration,immigration
18368_23,Cost of living.,living costs
18852_21,"Keeping covid at bay,unlocking the country",Coronavirus
19214_22,Immigration,immigration
19245_22,Migrants,immigration
19355_22,coved19,Coronavirus
19374_21,Multiculturalism,"nat ident, goals-loss"
19826_23,Russia invading Ukraine,war
19984_22,Covid,Coronavirus
20649_21,the virus,Coronavirus
20827_22,Covid,Coronavirus
21043_23,Russias aggressive stance with the uk,foreign affairs
21196_22,Covid,Coronavirus
21199_22,Covid,Coronavirus
21682_22,THE ECONOMY,economy-general
21886_21,uk government corruption,pol-neg
21963_22,immigration,immigration
22086_21,underlying health probems that have not been dealt with during the pandemic,health
22263_22,Economy,economy-general
22328_21,co vid,Coronavirus
22374_21,Immigration,immigration
22488_21,Covid,Coronavirus
22499_21,covid,Coronavirus
22527_23,"Russian threats, physical and to food supplies",foreign affairs
22740_22,underfunded nhs,health
22851_22,Government leadership,pol-neg
22994_23,Terrorist,terrorism
22996_21,COVID,Coronavirus
23115_22,coronavirus,Coronavirus
23135_23,inflation,inflation
23179_23,cost of living,living costs
23709_22,Brexit,europe
23863_21,Recovery from covid,Coronavirus
23968_23,Corruption in parliament,pol-neg
23982_23,Climate crisis,environment
24074_22,Covid,Coronavirus
24156_22,climate change,environment
24172_23,finanaces,economy-personal
24183_23,Cost of living,living costs
24414_23,imigration,immigration
25110_23,Energy costs,living costs
25360_22,dealing with the pandemic,Coronavirus
25451_22,immigration,immigration
25451_23,cost of living energy prices,living costs
25632_21,Covid,Coronavirus
26087_23,Controlling inflation,Coronavirus
26179_22,Covid control,Coronavirus
26277_22,immigration,immigration
26431_23,Living costs,living costs
26447_22,Covid,Coronavirus
26620_22,the economy,economy-general
26789_21,Polical Correctness gone crazy,pol value-auth
26803_22,COVID 19,Coronavirus
26812_23,Financial situations,economy-general
27072_21,Crime,crime
27224_21,Covid,Coronavirus
27446_22,Pandemic,Coronavirus
27694_21,covid,Coronavirus
27782_23,rejoining the eu,europe
28253_23,Economy,economy-general
28318_23,Economy,economy-general
28460_22,Civid,Coronavirus
28568_21,Covid,Coronavirus
29177_22,covid,Coronavirus
29356_22,Illegal immigration,immigration
29388_23,Cost of Living,living costs
29624_21,the Covid vaccinations,Coronavirus
29908_21,Covid19,Coronavirus
30771_22,Health Service,health
30825_21,COVID-19,Coronavirus
30928_22,Covid,Coronavirus
31140_21,Covid affecting the economy,COVID-economy
31268_21,The pandemic,Coronavirus
31289_23,The economy,economy-general
31454_22,covid,Coronavirus
31494_23,consequences of brexit/Russian aggression,europe
31642_21,covid,Coronavirus
31720_23,Cost of Living,living costs
31797_23,cost of living,living costs
32342_21,Recovery from pandemic,Coronavirus
32552_21,Economy,economy-general
32707_21,Covid19,Coronavirus
32833_23,Rising costs,living costs
32958_23,Inflation,inflation
33139_22,COVID pandemic,Coronavirus
33261_21,state of the Union,scot-ind
33998_22,climate change,environment
34225_22,Rise in living costs,living costs
34369_23,Division,societal divides
34381_22,Brexit & Covid,europe
34734_23,N.Ireland Protocol,europe
34792_22,Covid,Coronavirus
34956_23,Cost of Living,living costs
34958_23,Cost of living/inflation,living costs
35531_23,world instability initiated by Russia,foreign affairs
35647_23,Inequality,inequality
36172_21,Covid,Coronavirus
36438_22,The economy,economy-general
36598_21,Covid,Coronavirus
36803_21,brexit,europe
36859_21,Covid,Coronavirus
