source_row_id,text,source_topic_8,source_topic_44,gt_policy_domain
1,"In the light of Mr Kelly's statements to the media yesterday that one-third of the Housing New Zealand properties in some streets in Porirua were overcrowded, what steps has the Minister taken?",welfare.and.quality.of.life,welfare.state.expansion,Welfare and Quality of Life
2,Will New Zealand send further assistance to Fiji to help with the clean-up?,external.relations,internationalism,External Relations
3,"There are many programmes out there, and there are endeavours to give them skills.",welfare.and.quality.of.life,education,Welfare and Quality of Life
4,"I shall continue where I left off at the adjournment. Clause deals with compensation for injury, and in particular for owners of adjoining land that may suffer any loss or injury by reason of the construction. Clause deals with individuals' rights, which will be preserved under the legislation. Clause deals with application of other Acts, and notes that: ``Except as expressly provided in this Act, nothing in this Act shall be construed as limiting the application of the Public Works Act , the Reserves Act , the Harbours Act , and the Town and Country Planning Act .'' Clause deals with the cost of the road, and the cost of constructing, maintaining, and operating the road. It makes provision for the local authority to raise loans or special loans for the purpose of any of the works to be undertaken. Clause () makes provision for the city council to collect tolls for the use of the road---an extension of the Tauranga Harbour Bridge, which at present has toll gates. If required, the toll will be used as a way of repaying moneys raised for the construction of the expressway. The current cost of construction for stage will be $. million. It makes exclusions for people such as the Governor-General or any person in his attendance, together with members of the armed forces, constables on duty, prisoners in the custody of constables and traffic officers, and any Minister or officer or servant of the Crown when passing through the toll-gate. In addition, tolls will not be payable by fire-engines and ambulances. Clause deals with by-laws, and will allow the city council from time to time to make by-laws that are not inconsistent with the legislation. It will provide for the protection of property belonging to the city council, the conservation of public health, safety, and convenience, and take into account the prevention and abatement of nuisances on the road. It will prevent the carriage of noxious or dangerous substances that may cause pollution to the Tauranga Harbour. It will regulate the speed of traffic and the weights of vehicles. It will prevent the passage of loose animals, and will generally provide for the efficient control and management of the road. Clause makes provision for surplus land that has been acquired for the construction of the road to be sold, leased, or disposed of. The first schedule describes the land that is to be reclaimed along the eastern side of the Waikareao estuary. The second schedule sets out all of those pieces of land in the south Auckland land district that are in reserve, are wildlife refuges, or are used for local purpose. Tauranga City is now a major provincial centre. The census figures showed that the population of the city, in round figures, was . In that figure had reached . The population census for the western Bay of Plenty in was ; in , ; in , ; and, in , . Those figures show that the population has almost doubled in that period. The main artery at present is Cameron Road, which is also a residential and commercial area. There is urgent need for an alternative route, as that thoroughfare is already heavily congested. As it will be some years before construction is completed, I hope that the Bill will have a simple passage through the select committee. It was pleasing that no objections were raised when the Bill was open to public scrutiny both at the offices of the city council and at the Tauranga courthouse. The expressway is to be a four-lane limited-access highway, with provision for two future lanes on either side of the carriageway. It will be constructed metre above the high-tide mark, and when completed will enhance the present foreshore with the construction of a man-made beach overlying the rock bund. A major environmental impact report was undertaken by Beca Carter Hollings and Ferner Ltd, and presented to the council in May . The environmental impact assessment had as its objective to investigate options for dealing with traffic flows on the Tauranga peninsula in the vicinity of Cameron Road, and to ensure that before irrevocable decisions were made on the preferred option full consideration was given to all of the options, together with the potential environmental effects of the favoured option, and the views of those who may be affected by it and the means by which any impact could be compensated for. A full and balanced account was taken of the intrinsic value of the ecosystems and values that are placed by individuals and groups on the quality of the environment. The role of the environmental impact assessment was, first, to explain the nature of the project, its implications, the manner in which it will be implemented, and the measures to be put in place to mitigate any adverse impact. Second, it was to provide the basis and justification for various statutory approvals that will be required as a consequence of the project. A route P steering group was established to provide an overview of all activities leading to the preparation and review of the environmental impact assessment, and an overview of the public participation associated with the assessment process by including all relevant agencies and organisations in the committee. Membership of the steering group consisted of the Tauranga City Council, the Ministry of Transport, the Department of Conservation, the former Ministry of Works and Development on behalf of the National Roads Board, the Bay of Plenty Harbour Board, the Bay of Plenty Catchment Board, and the Tauranga District Maori Council. The Ministry for the Environment was a corresponding member. The acquisition of more than hectares of land requires approval by Act of Parliament. If the plan does not go ahead there will be unacceptable levels of congestion and environmental degradation on city arterial streets. I support the assessment in the Bill to provide for an additional road. There must be sensible traffic corridors for the type of peninsula structure that Tauranga has. Both Tauranga and Mount Maunganui are built on long, narrow, elongated peninsulas. The options have been well considered, and recommendations have been made that I hope the House will support. Traffic will increase as additional wharves are built on the Tauranga side of the harbour. The new wharves are to provide loading facilities for logs and steel. There is no doubt that over the coming years there will be an increase in traffic to the port, which is probably the most efficient in the country. That increase will cause congestion on the roads in that area. In my opinion, planning of transportation in its broadest sense will be most important to the western Bay of Plenty in the years to come. I hope that the Bill has a successful passage through the select committee. Motion agreed to. Bill introduced and read a first time, and referred to the Internal Affairs and Local Government Committee.",economy,technology.and.infrastructure,Economy
5,"Can the Minister confirm that of the $. million to be spent by the Animal Disease Board, the Government's contribution this year has decreased to percent?",social.groups,agriculture.and.farmers,Social Groups
6,"the indebtedness of the kiwifruit industry was $ million, which was an average of $, for each grower. More than half of all kiwifruit growers had less than percent equity in their businesses. Only to percent of kiwifruit growers seemed likely to make a profit in that year. Their net income had been declining. Would kiwifruit growers have to receive $. to $. a tray to break even, even though the present estimate of return was $. to $.? Did about percent of all farmers have less than a percent equity in their business and pay percent of their incomes in interest? The overwhelming burden of debt was preventing the recovery of the primary industry. It was disappointing that funding for the farm cadet training scheme had been reduced. Funding for the scheme should be a grant, not an expenditure item that could be reduced. Where were future farmers to come from? The Department of Education, not the Ministry of Agriculture and Fisheries, should be responsible for agricultural training.",social.groups,agriculture.and.farmers,Social Groups
7,"It is being conducted under the general powers of the committee. As I have said to the member, I have spoken to the Minister. I think that we should have some more debate about the matter to try to make it quite clear where we stand. I am sure that it is the intention of both sides of the House that the two inquiries that are being carried out---there is another matter being investigated that could have an implication for the Coal Corporation---should in fact be able to continue in the normal manner.",freedom.and.democracy,democracy,Freedom and Democracy
8,"I have two points that I want to take up from the speech made by the member for Auckland Central. One point was the facsimile and I ask him to table it. If what he says is true, it is a very serious matter that must be dealt with and addressed by the Government. Secondly, and personally, I have no difficulty with the Regulations Review Committee looking at the regulations and making some comment. We are validating regulations at this time of the year rather than later because of the very serious situation that the industry is in, and the need to put some security before the growers. There is no doubt at all that there are serious divisions within the industry, and they will not be resolved next week or next year. There will always be people who will strongly support the board and the single-market concept. There will also be those people who will continue to support the free-market style of individual exporters involved in the industry, as they were prior to . In the middle is a large group of growers who are not too sure, and who in recent weeks have backed both options because of their serious concern for their future outcome. It was important that the Government clarify the exact position by introducing this Bill to ensure that everybody knows where the Government stands so that the industry can go forward into the selling season. It is important because picking and packing are about to start. We are less than a month away from starting. There is no way that out of the blue we could suddenly decide that there would be a different method of dealing with the marketing of kiwifruit for the coming season. As the Minister said prior to Christmas, the Government said that the board would be in place for this season because there was no proper indication from the growers that they wanted to remove the kiwifruit board. It has been Government policy, and will continue to be Government policy, that if a substantial majority of producers come to the Government and say that they do not want their board any more and give reasons, and the Government determines that it is in the national interest to remove that board then after properly consulting the industry it would remove it. I have no doubt that the Government would do that should that course of action be taken. When the Kiwifruit Marketing Board was first set up the views of growers were asked for, and growers expressed their opinions, so it would be only proper, therefore, that a properly conducted referendum of growers should be undertaken before a change was made. The last season was close to being a disaster for many people. It has had very serious repercussions on families, and I doubt and would be most surprised whether anybody in the industry made a profit.",social.groups,agriculture.and.farmers,Social Groups
9,"Does it mean that the member for Mangere was out of step with his former colleagues the Rt. Hon. Sir Wallace Rowling, the Rt. Hon. Bob Tizard, and the Hon. Russell Marshall?",political.system,political.authority,Political System
10,"At that stage, I was not convinced that everything was as it ought to be. As has been explained by the member for Auckland Central, a certain amount of time has been put into an inquiry by the Transport Committee, which used to be the Communications and Road Safety Committee. I had worded an amendment that would go at the end of paragraph of this motion to say: ``provided that such examinations into the policy, administration, or expenditure that select committees have already commenced shall be able to be concluded and reported to the House;''. I then took the amendment to the Minister, and I said: ``Unless you can convince me otherwise, I intend to put this amendment in the House this evening to make sure that the operations of the Transport Committee can continue.''. The Minister assured me that the committee would continue with its work; it was neither the intention nor the letter of the motion to say that the committee could not. Earlier in the debate the member for Auckland Central mentioned that the committee was carrying out an inquiry into the Airways Corporation of New Zealand Ltd. If the member does not mind, I just have to correct that statement in fairness to the corporation. The committee is not inquiring into the Airways Corporation, but it is inquiring into a contract that was let by that corporation. I just wanted to put the record straight on that particular matter. Airways Corporation staff, themselves, along with a number of other people, are witnesses for that inquiry. The Minister has assured me---and his comments will be recorded in Hansard---",political.system,governmental.and.administrative.efficiency,Political System
