text,target,gt_stance,target_short
#mtp @meetthepress How is deleting emails -part of the government record -different from erasing parts of a tape? #nixon #p2,Hillary Clinton,AGAINST,Clinton
@JDSon78 @AndrewBroering AndrewWhyDoYouCareAboutWhatIThink? I DidNotRealizeThatIWasThisImportant. SirTweet AndrewIsAPaidTroll,Hillary Clinton,AGAINST,Clinton
The white male vote is solidly GOP. The black vote is solidly DEM.  That leaves white females and brown ppl. #FeelTheBern,Hillary Clinton,AGAINST,Clinton
"@nyinvesting big banker buds need to ratchet up their ""Hillary cares about the little people"" propaganda",Hillary Clinton,AGAINST,Clinton
@GOP Why should I believe you on this? The GOP leaders in congress won't fight Obama now!!! #tcot,Hillary Clinton,AGAINST,Clinton
"@RushetteNY @TwitchyTeam Hillary to press: ""Curtsy while you're thinking what to say, it saves time"" #throughthelookingglass",Hillary Clinton,AGAINST,Clinton
@GovtsTheProblem This is what I see: Make way 4 ur queen peasants! Don'ttouch or talk 2 her U filth! #NoHillary2016 #Benghazi,Hillary Clinton,AGAINST,Clinton
@CNNSotu @jaketapper - Can we get back to the issues? That's what #Bernie2016 wants to talk about. Not about,Hillary Clinton,AGAINST,Clinton
@nytimes But throws a rope around reporters and free speech.  #HillaryInNH,Hillary Clinton,AGAINST,Clinton
"#IfIhadAdollarFor wondering, was I that stupid when I was a #Democrats? #Obama #2A #NoAmnesty #WakeUpAmerica",Hillary Clinton,AGAINST,Clinton
@BeladonnaRogers @Chairmnoomowmow The compliant media allowed themeselves to b herded by a couple of strands of rope? Good sheep!,Hillary Clinton,AGAINST,Clinton
The #HillaryCampaignSong Top 20 will be revealed (and voting will resume) Monday morning at 10am PT!,Hillary Clinton,AGAINST,Clinton
@HillaryforNH will u rope off the people too Hillary swine?  #uppers #uniteblue,Hillary Clinton,AGAINST,Clinton
.@mite72 @PatVPeters NEITHER ONE!!!! Just making a funny!,Hillary Clinton,AGAINST,Clinton
