source_row_id,text,rating1,rating2,rating3,n_offensive_ratings,unanimous,gt_offensive
1,stop.,0,0,0,0,1,0
2,grand haven [NAME].,0,0,0,0,1,0
3,([number blanked]/[number blanked]) remove me from your text. you should demand that law enforcement and the fbi to do their job. if you are going to demand gun safety you need to demand,0,0,1,1,0,0
4,i\'m sorry but i think you have the wrong number.,0,0,0,0,1,0
5,you texted the wrong person.,0,0,0,0,1,0
6,no fucking way.,1,1,1,3,1,1
7,i am working festival of talent ( which was scheduled before the tragedy that triggered tha march. but my son is going to the la march and my husband to the ventura one and my heart will be with you.,0,0,0,0,1,0
8,.,0,0,0,0,1,0
9,is this in my hometown of wilmington?,0,0,0,0,1,0
10,remove me from this list. do not call this number.,0,0,0,0,1,0
11,wrong e-mail address.,0,0,0,0,1,0
12,if there\'s a local one absolutely! thank you!,0,0,0,0,1,0
13,stay away from the [number blanked]nd amendment gun control only benefits the criminal element.,1,1,0,2,0,1
14,planning on the one in longmont co.,0,0,0,0,1,0
15,hahaha yes making a sign with a friend right now! count me and her in!,0,0,0,0,1,0
16,please remove me from these messages,0,0,0,0,1,0
17,yes.,0,0,0,0,1,0
18,no.,0,0,0,0,1,0
19,yes. i will be there.,0,0,0,0,1,0
20,only dum people want guns gone,1,1,1,3,1,1
21,unfortunately i have a day-long representative town meeting in brattleboro so i can\'t join. i hope it\'s a great turnout everywhere!,0,0,0,0,1,0
22,i\'m not [NAME].,0,0,0,0,1,0
23,new phone who dis?,0,0,0,0,1,0
24,sorry ... we can\'t make it. thanks for all you\'re doing!,0,0,0,0,1,0
25,hello i\'m out of town but if i\'m back in time i plan on attending. thank you.,0,0,0,0,1,0
26,i can\'t make a march but i have pledged a donation.,0,0,0,0,1,0
27,hi [NAME] young people need to study history some more and learn that much of this violence is perpetrated by those who wish to control us. \n\nbut with guns people are more difficult to control. the world is a much more complex place than anyone talking gun control is aware of.,0,1,1,2,0,1
28,sorry i believe in keeping the proletariat armed.,0,0,0,0,1,0
29,huh.,0,0,0,0,1,0
30,not [NAME],0,0,0,0,1,0
31,not [NAME].,0,0,0,0,1,0
32,yes. i have been trying to get a lyft ride but they have not [NAME]t me a code. can u help?,0,0,0,0,1,0
33,wrong numbet.,0,0,0,0,1,0
34,wrong number.,0,0,0,0,1,0
35,hello [NAME] i can say that you can\'t count on me to join you in a march for more gun control. i am a veteran and a family man i support the [number blanked]nd amendment and i would only march for less gun control. i hope you and your organization can see where the problem really is. i wish you the best and god\'s speed,0,0,0,0,1,0
36,yes!,0,0,0,0,1,0
37,no. only because i an in sarasota florida. my heart is with you. good to hear from you. i hope i can help you actively when the midterm election heats up.,0,0,0,0,1,0
38,fuck off marching won\'t do shit except waste time.,1,1,1,3,1,1
39,please remove me from your contact list.,0,0,0,0,1,0
40,yes...,0,0,0,0,1,0
41,not interested. something i don\'t believe in.,0,0,0,0,1,0
42,wrong number,0,0,0,0,1,0
43,hey [NAME] are you familiar with the mass shooting that was stopped short by an armed teacher in maryland this week? super cool! i won\'t be at your rally.,1,0,1,2,0,1
44,stop texting my phone please.,0,0,0,0,1,0
45,[NAME] i will not attend.,0,0,0,0,1,0
46,that will be a nope!!,0,0,1,1,0,0
47,out of curiosity how did you get my information?,0,0,0,0,1,0
48,you have wrong person. i live in hollsopple and a female. good luck.,0,0,0,0,1,0
