model,agoraspeech_criticism_agenda,ballard_incivility,bestvater_kavanaugh_stance,bestvater_wm_stance,brandt_gtd_attack_type,brandt_political_relevance,burnham_covid_threat_minimization,burnham_polnli_entailment,burnham_polnli_event_entailment,burnham_trump_stance,cap_crs_policy_topic,cap_party_platform_policy_topic,chae_semeval_stance,dicocco_manifesto_populism,douglass_icbe_sentence_event_type,erlich_ati_topics,gilardi_relevance,gilardi_stance,halterman_ccc_protest,halterman_keith_bfrs,halterman_keith_cmp,haunss_papea_claims,haunss_papea_fgz_forms,mellon_bes_mii_2024,muller_fujimura_campaign_policy_area,ornstein_scotus_sentiment,osnabruegge_cross_domain_topic,plover_cameo_event,politicause_causal_relation,rheault_line_of_fire_incivility,theocharis_dynamics_incivility,toxicity_protests_es,twitcivility_impoliteness,wesleyan_creative_ads_2022
claude-sonnet-4-6,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release
deepseek-v4-pro,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release
gemma4:26b,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release
gemma4:31b-it-q4_K_M,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release
gpt-5.4-nano,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release
gpt-5.5,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release
mistral-small:24b-instruct-2501-q4_K_M,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release
qwen3:14b-q4_K_M,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release
qwen3:30b-a3b-q4_K_M,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release
qwen3.5:35b-a3b-q4_K_M,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release,public-release
