model,n,median_latency_s,p90_latency_s,mean_latency_s,median_output_tokens,items_per_minute_sequential,errors
jev-1.13.0,99,0.2740268329944229,0.3503460832027485,0.28625141960631045,41.0,218.95665962472057,0
gemini-3.1-flash-lite,99,0.5406159999838565,0.7499264082172887,0.5805119263426274,9.0,110.98450656619798,0
gpt-5.6-terra,99,0.8065300000016578,1.318689666397404,0.881196380534675,12.0,74.39276902269808,0
claude-sonnet-5,99,0.995459916011896,1.417307491405518,1.1130682373734841,16.0,60.27364742156327,0
gpt-5.6-luna,99,1.031751374990563,1.5575450831966007,1.1040608262004699,35.0,58.153544986115286,0
gpt-5.6-sol,99,1.094396208995022,2.186177766197943,1.2722000483633078,13.0,54.82475131661655,0
gemini-3.8-flash,99,1.166778249986237,1.864731641206891,1.450174427203801,11.0,51.42365312406856,0
deepseek-v4-flash,99,1.221916374997818,1.9533118663937787,1.3068187848674815,103.0,49.10319660795703,0
claude-opus-5,99,1.400409417008632,2.0984843746031405,1.6015256906161672,19.0,42.844613347548034,0
gpt-6-astra,99,1.4794055000093067,2.3943497497937645,1.6171859477871837,12.0,40.556831781159765,0
deepseek-v4-pro,98,2.2738821455059224,4.524668345609098,2.809944792061881,88.5,26.386591811094252,1
