model,category,tasks,mean_task_f1,item_ci_low,item_ci_high,task_ci_low,task_ci_high
claude-opus-5,Claims and relations,7,0.762363896974,0.688311698804,0.791278117547,0.656493997882,0.87827848299
claude-opus-5,Events and protest,6,0.676660325633,0.596644637823,0.692681041393,0.545159452002,0.804433427829
claude-opus-5,Policy and topics,6,0.675006925068,0.586964385224,0.675810294328,0.580617660955,0.763851554958
claude-opus-5,Relevance and tone,8,0.690623328053,0.630081550773,0.738521395581,0.592663950394,0.791901363211
claude-opus-5,Stance and sentiment,6,0.767175930243,0.730033040992,0.796884068916,0.638241274358,0.888283423325
claude-sonnet-5,Claims and relations,7,0.760714536851,0.690385895085,0.792143812976,0.651799762596,0.883877188493
claude-sonnet-5,Events and protest,6,0.626653733872,0.56289657069,0.646111029969,0.491784970075,0.780451755459
claude-sonnet-5,Policy and topics,6,0.644633360578,0.563244377065,0.646289604944,0.543525880793,0.744856261483
claude-sonnet-5,Relevance and tone,8,0.697654302608,0.63737855212,0.744548541678,0.614989938674,0.794283440051
claude-sonnet-5,Stance and sentiment,6,0.74411455951,0.707179554571,0.77487505496,0.623312484578,0.85898109987
deepseek-v4-flash,Claims and relations,7,0.650014821674,0.575935182466,0.6961494487,0.50726968848,0.807644506956
deepseek-v4-flash,Events and protest,6,0.607130622848,0.534631160402,0.627223962691,0.458031006109,0.751857178193
deepseek-v4-flash,Policy and topics,6,0.644221078218,0.563280455414,0.647307640697,0.524663019271,0.761822586345
deepseek-v4-flash,Relevance and tone,8,0.689122025857,0.615301652906,0.743949619994,0.58540430444,0.784443703927
deepseek-v4-flash,Stance and sentiment,6,0.729480622503,0.695401831566,0.758842253638,0.599034238384,0.856110672153
deepseek-v4-pro,Claims and relations,7,0.669249741075,0.593157537953,0.709108464757,0.493476087836,0.838241663627
deepseek-v4-pro,Events and protest,6,0.616195672772,0.549116247167,0.635128291845,0.495524889773,0.748178876953
deepseek-v4-pro,Policy and topics,6,0.61907587793,0.542810580101,0.626042012727,0.518290722226,0.718819957081
deepseek-v4-pro,Relevance and tone,8,0.673429105213,0.605172857538,0.726304249086,0.586951654906,0.759995561993
