model,n,tasks,mean_task_f1,item_ci_low,item_ci_high,task_ci_low,task_ci_high,malformed,malformed_rate,truncated,input_tokens,output_tokens,cost_usd_upper,uncertain_attempt_cost_upper,returned_models,documented_versions,run_submitted_dates,observed_completion_dates,access,hardware_tier,settings,cost_note,revision,quantization,hardware,run_dates,model_id,compatibility_group,throughput_note,prediction_sha256,throughput_keyset_sha256,throughput_settings_sha256,throughput_items,throughput_hardware,gpu_hours_historical,gpu_hours_backfill,gpu_hours_note,sacct_attempts_sha256,generation_tokens_per_second,generation_items_per_second,gpu_hours,provider,gpu_hours_preinference,gpu_hours_pilot,gpu_hours_remainder,preinference_failed_attempt_ids
claude-opus-5,3300,33,0.714381605724,0.673369902327,0.717980160328,0.664130574403,0.768111994613,0,0,0,4669651,142640,13.4571275,0,"[""claude-opus-5""]","[""claude-opus-5""]","[""2026-09-10"", ""2026-09-12""]",[],api,api,"{""max_tokens"": 256, ""model"": ""claude-opus-5"", ""structured_output"": ""tool_use"", ""thinking"": {""type"": ""disabled""}}","Usage-based conservative estimate, not an invoice. Raw provider results and failed attempts retained.",,,,,,,,,,,,,,,,,,,,,,,,
claude-sonnet-5,3300,33,0.696928669775,0.660296226392,0.701902111983,0.642449228496,0.752948382507,1,0.00030303030303,0,4900887,142590,5.613837,0,"[""claude-sonnet-5""]","[""claude-sonnet-5""]","[""2026-09-10"", ""2026-09-12""]",[],api,api,"{""max_tokens"": 256, ""model"": ""claude-sonnet-5"", ""structured_output"": ""tool_use"", ""thinking"": {""type"": ""disabled""}}","Usage-based conservative estimate, not an invoice. Raw provider results and failed attempts retained.",,,,,,,,,,,,,,,,,,,,,,,,
deepseek-v4-flash,3300,33,0.665093148484,0.625041589579,0.671253845677,0.608164116574,0.726928908152,0,0,0,1742864,32998,0.82714896,0.01673144,"[""deepseek-flash""]","[""DeepSeek-V4.1-Flash""]","[""2026-09-10"", ""2026-09-12""]","[""2026-09-10"", ""2026-09-12"", ""2026-09-13"", ""2026-09-14""]",api,api,"{""max_tokens"": 256, ""model"": ""deepseek-v4-flash"", ""structured_output"": ""json_object"", ""temperature"": 0.1, ""thinking"": {""type"": ""disabled""}}","Usage-based conservative estimate, not an invoice. Raw provider results and failed attempts retained.",,,,,,,,,,,,,,,,,,,,,,,,
deepseek-v4-pro,3300,33,0.662608508697,0.623260674244,0.669988528563,0.603632359752,0.725496905963,1,0.00030303030303,0,1732664,33997,2.4217446,0,"[""deepseek-v4-pro""]","[""DeepSeek-V4-Pro-0813""]","[""2026-09-10"", ""2026-09-14""]","[""2026-09-10"", ""2026-09-14""]",api,api,"{""max_tokens"": 256, ""model"": ""deepseek-v4-pro"", ""structured_output"": ""json_object"", ""temperature"": 0.1, ""thinking"": {""type"": ""disabled""}}","Usage-based conservative estimate, not an invoice. Raw provider results and failed attempts retained.",,,,,,,,,,,,,,,,,,,,,,,,
deepseek_r1_distill_qwen_32b_bf16,3300,33,0.633681629732,0.59677163489,0.641288076967,0.570256963459,0.699517149701,0,0,,,,,,,,,,open,single-gpu,"{""cuda_component_versions"": {""nvidia-cuda-cccl"": ""13.0.85"", ""nvidia-cuda-crt"": ""13.0.88"", ""nvidia-cuda-nvcc"": ""13.0.88"", ""nvidia-cuda-nvrtc"": ""13.0.88"", ""nvidia-cuda-runtime"": ""13.0.96"", ""nvidia-nvvm"": ""13.0.88""}, ""cuda_toolkit_meta_version"": ""13.0.2"", ""enable_thinking"": false, ""gpu_memory_utilization"": 0.9, ""max_model_len"": 8192, ""max_num_seqs"": 16, ""max_tokens"": 256, ""prompt_margin_tokens"": 128, ""python_version"": ""3.12"", ""runtime_lock_sha256"": ""4f46101fa493e38b312af034b8d740c612bd0001bab4cb0f624f4a9e1c49f5b3"", ""seed"": 20260820, ""structured_output"": ""json_schema"", ""temperature"": 0.0, ""tensor_parallel_size"": 1, ""tokenizer_revision"": ""ca24ee48c0532a014ddea4c32437a6f4be981ab2"", ""vllm_version"": ""0.26.0""}",,ca24ee48c0532a014ddea4c32437a6f4be981ab2,BF16,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,"[""2026-08-20"", ""2026-08-21"", ""2026-09-15""]",deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,983a3a6176da2e1baf5764bfbe41749686f7e93d82f2c8e41ca6782d88127320,"Generation rate covers only the frozen missing-item remainder on Hive; model load, historical reused rows and queue time are excluded. Compare rates only for the same keyset, generation/runtime and batch concurrency settings, and GPU hardware.",794661189fbe053e9414afcf67d4bddd512db180ec34ac5236e499eb829dba7a,9489627a519a6198036445f8c0701367acee177c26e0a85019daf48918113ba4,e4f2e4fee4ea86c0b88871ade9e6539f6429df5388846e4aaf72a21c1e83533c,2142,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.234444444444,0.116666666667,"Allocated GPU time includes full historical source jobs and all recorded backfill attempts, including failed attempts. Historical jobs processed more than the frozen comparison panel; GPU time is not a matched speed or an economic cost estimate.",ef0556615273058599656c9c567f8293861a0c309a642483a51cc8789d495385,156.984629541,14.3695173915,0.351111111111,,,,,
gemini-3.1-flash-lite,3300,33,0.681246848771,0.642321482753,0.687505087941,0.626515852418,0.739493993672,1,0.00030303030303,,1700231,32775,0.47422025,,"[""models/gemini-3.1-flash-lite""]","[""gemini-3.1-flash-lite""]",,,api,api,"{""max_tokens"": 256, ""model"": ""models/gemini-3.1-flash-lite"", ""native_interface"": ""Gemini OpenAI-compatible chat completions"", ""reasoning_effort"": ""none"", ""structured_output"": ""json_object""}",,gemini-3.1-flash-lite,,,"[""2026-09-20""]",models/gemini-3.1-flash-lite,,,0f041def9f2faa5bb8547b80c88a3f1d1c51920ced0a9560254170500f63fd50,,,,,,,,,,,,google,,,,
gemini-3.8-flash,3300,33,0.687110582835,0.647957168876,0.693883049671,0.627007015908,0.74883466157,36,0.0109090909091,,1700231,140784,1.80311325,,"[""models/gemini-3.8-flash""]","[""gemini-3.8-flash""]",,,api,api,"{""max_tokens"": 256, ""model"": ""models/gemini-3.8-flash"", ""native_interface"": ""Gemini OpenAI-compatible chat completions"", ""reasoning_effort"": ""none"", ""structured_output"": ""json_object""}",,gemini-3.8-flash,,,"[""2026-09-20"", ""2026-09-21""]",models/gemini-3.8-flash,,,829bfc5ceab493839e179a93ca6714851af29a8cf18ac7bdb5288030db10e90b,,,,,,,,,,,,google,,,,
gemma3_27b_it_fp8_dynamic,3300,33,0.659834500737,0.623911845792,0.666941673596,0.604732433457,0.717731517409,0,0,,,,,,,,,,open,single-gpu,"{""cuda_component_versions"": {""nvidia-cuda-cccl"": ""13.0.85"", ""nvidia-cuda-crt"": ""13.0.88"", ""nvidia-cuda-nvcc"": ""13.0.88"", ""nvidia-cuda-nvrtc"": ""13.0.88"", ""nvidia-cuda-runtime"": ""13.0.96"", ""nvidia-nvvm"": ""13.0.88""}, ""cuda_toolkit_meta_version"": ""13.0.2"", ""enable_thinking"": false, ""gpu_memory_utilization"": 0.9, ""max_model_len"": 8192, ""max_num_seqs"": 16, ""max_tokens"": 256, ""prompt_margin_tokens"": 128, ""python_version"": ""3.12"", ""runtime_lock_sha256"": ""4f46101fa493e38b312af034b8d740c612bd0001bab4cb0f624f4a9e1c49f5b3"", ""seed"": 20260820, ""structured_output"": ""json_schema"", ""temperature"": 0.0, ""tensor_parallel_size"": 1, ""tokenizer_revision"": ""306078afe860ef87821018f28078ecf762f31455"", ""vllm_version"": ""0.26.0""}",,306078afe860ef87821018f28078ecf762f31455,FP8 dynamic,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,"[""2026-08-20"", ""2026-08-21"", ""2026-09-15""]",RedHatAI/gemma-3-27b-it-FP8-dynamic,9c66535f570cd55f61955b87dc37e7eae73c45077d5a200192064d2489f4aabe,"Generation rate covers only the frozen missing-item remainder on Hive; model load, historical reused rows and queue time are excluded. Compare rates only for the same keyset, generation/runtime and batch concurrency settings, and GPU hardware.",650e03d0ee3662a5f7d727c2d874f84a19f1752b110c91fb58d6722a574189a9,9489627a519a6198036445f8c0701367acee177c26e0a85019daf48918113ba4,e4f2e4fee4ea86c0b88871ade9e6539f6429df5388846e4aaf72a21c1e83533c,2142,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.169722222222,0.116111111111,"Allocated GPU time includes full historical source jobs and all recorded backfill attempts, including failed attempts. Historical jobs processed more than the frozen comparison panel; GPU time is not a matched speed or an economic cost estimate.",ed2d1eaf22e2e3add99293ccf7ea53fec3045f7615533ee2c2020e87f3d4eaee,275.505840583,28.565444142,0.285833333333,,,,,
gemma4_31b_it_qat_w4a16,3300,33,0.663660587246,0.627564207937,0.670524337376,0.601741443725,0.729586417162,0,0,,,,,,,,,,open,single-gpu,"{""enable_thinking"": false, ""gpu_memory_utilization"": 0.9, ""max_model_len"": 8192, ""max_tokens"": 256, ""prompt_margin_tokens"": 128, ""python_version"": ""3.12"", ""seed"": 20260804, ""structured_output"": ""json_schema"", ""temperature"": 0.0, ""vllm_version"": ""0.26.0""}",,52f3f65bc7a02d555763bc923bd1d9094898219d,W4A16,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,"[""2026-08-04""]",google/gemma-4-31B-it-qat-w4a16-ct,b47823da50202624b5fa609a63177d73d19be7fdb6c6e593fff0bc5d21044ada,Historical generation timings cover a different batch/sample size; no matched-sample speed estimate is exported.,2eedce316f2c3b5cd560ea6bb55214faa21fe79d5c94dbeb31ba06710da2bf9c,,,,,,,,,,,,,,,,
glm4_7_flash,3300,33,0.601737859116,0.563321529149,0.610267094007,0.532242652745,0.67240831289,0,0,,,,,,,,,,open,single-gpu,"{""cuda_component_versions"": {""nvidia-cuda-cccl"": ""13.0.85"", ""nvidia-cuda-crt"": ""13.0.88"", ""nvidia-cuda-nvcc"": ""13.0.88"", ""nvidia-cuda-nvrtc"": ""13.0.88"", ""nvidia-cuda-runtime"": ""13.0.96"", ""nvidia-nvvm"": ""13.0.88""}, ""cuda_toolkit_meta_version"": ""13.0.2"", ""enable_thinking"": false, ""gpu_memory_utilization"": 0.9, ""max_model_len"": 8192, ""max_tokens"": 256, ""prompt_margin_tokens"": 128, ""python_version"": ""3.12"", ""runtime_lock_sha256"": ""4f46101fa493e38b312af034b8d740c612bd0001bab4cb0f624f4a9e1c49f5b3"", ""seed"": 20260804, ""structured_output"": ""json_schema"", ""temperature"": 0.0, ""vllm_version"": ""0.26.0""}",,7dd20894a642a0aa287e9827cb1a1f7f91386b67,not documented,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,"[""2026-08-05""]",zai-org/GLM-4.7-Flash,8e7e56d2fa3888bfd24f408b75edb796036935163de2fbcba9544d28070c99a2,Historical generation timings cover a different batch/sample size; no matched-sample speed estimate is exported.,5bc622541f1b3ad740d05eb9c3832d22e3e2846452ac81c6bab9032b112af2b5,,,,,,,,,,,,,,,,
