model,reference,difference,item_ci_low,item_ci_high,task_ci_low,task_ci_high
claude-opus-5,claude-sonnet-5,0.0174529359492,0.00124638502729,0.0269062409059,0.00166568560612,0.0340992136127
claude-opus-5,deepseek-v4-flash,0.04928845724,0.026932633406,0.0672847601619,0.0255095458363,0.0725285434552
claude-opus-5,deepseek-v4-pro,0.0517730970272,0.0300500834364,0.0661925789328,0.0231377350844,0.0834109667248
claude-opus-5,gpt-5.6-luna,0.0444436755763,0.0236596676081,0.0550507221409,0.0210061961226,0.0682882500779
claude-opus-5,gpt-5.6-sol,0.0219814436307,0.00406177130499,0.0327571053247,0.00514117689132,0.0391933173144
claude-opus-5,gpt-5.6-terra,0.0316739827811,0.0115784483002,0.0451468594933,0.00560379205593,0.0585714151259
claude-opus-5,gpt-6-astra,0.0357933119369,0.017745918459,0.0504645314351,0.00431669085946,0.0756465418149
claude-opus-5,jev-1.13.0,0.053731138624,0.0320784329469,0.0689486501794,0.0305709221458,0.0803321631116
claude-sonnet-5,claude-opus-5,-0.0174529359492,-0.0269062409059,-0.00124638502729,-0.0340992136127,-0.00166568560612
claude-sonnet-5,deepseek-v4-flash,0.0318355212908,0.0144808636681,0.0525951856081,0.00941825715048,0.0536967468631
claude-sonnet-5,deepseek-v4-pro,0.034320161078,0.0172345856794,0.0509388646417,0.0118768957516,0.0636580246619
claude-sonnet-5,gpt-5.6-luna,0.026990739627,0.0102461167532,0.0401195210549,0.0107761865736,0.044275709354
claude-sonnet-5,gpt-5.6-sol,0.00452850768145,-0.00992666963708,0.0188591812765,-0.0127873483206,0.0202452026907
claude-sonnet-5,gpt-5.6-terra,0.0142210468318,-0.00175307064675,0.0303811783043,-0.00646292908759,0.0391400514118
claude-sonnet-5,gpt-6-astra,0.0183403759877,0.00349939732792,0.0374631005327,-0.0157261785713,0.0583206113946
claude-sonnet-5,jev-1.13.0,0.0362782026747,0.0207135640314,0.0534022129199,0.0164758668528,0.0594835648726
