task,model,batch_size,n,parse_ok,parse_err_rate,mean_latency_s,median_latency_s,median_batch_latency_s,f1_criticism,f1_political agenda,f1_uncivil,f1_pro_kavanaugh,f1_pro_womens_march,f1_Assassination,f1_Armed Assault,f1_Bombing/Explosion,f1_Facility/Infrastructure Attack,f1_Hijacking,f1_Hostage Taking (Barricade Incident),f1_Hostage Taking (Kidnapping),f1_Unarmed Assault,f1_Unknown,f1_relevant,f1_threat_minimizing,f1_entails,f1_Oppose,f1_Neutral,f1_Support,f1_Macroeconomics,f1_Civil Rights,f1_Health,f1_Agriculture,f1_Labor and Immigration,f1_Education,f1_Environment,f1_Energy,f1_Immigration,f1_Transportation,f1_Law and Crime,f1_Social Welfare,f1_Housing,f1_Domestic Commerce,f1_Defense,f1_Technology,f1_Foreign Trade,f1_International Affairs,f1_Government Operations,f1_Public Lands,f1_Culture,f1_FAVOR,f1_AGAINST,f1_NONE,f1_populist,f1_No Event,f1_Action,f1_Speech,f1_Thought,f1_Mixed,f1_Activities,f1_Budget,f1_Evaluation,f1_External Contracts,f1_Institutional Structure,f1_Other,f1_Regulatory,f1_pro,f1_neutral,f1_contra,f1_PROTEST,f1_RALLY,f1_DEMONSTRATION,f1_MARCH,f1_ASSASSINATION,f1_DRONE_ASSASSINATION,f1_ATTACK_ON_STATE,f1_CONVENTIONAL_ATTACK_ON_GOV_FORCES,f1_GUERILLA_ATTACK_ON_GOV_FORCES,f1_GOV_ATTACK_ON_NONSTATE_COMBATANTS,f1_GOV_ATTACK_ON_CIVILIANS,f1_RIOT,f1_TERRORISM,f1_THREAT_OF_VIOLENCE,f1_VIOLENT_POLITICAL_DEMONSTRATION,f1_OTHER,f1_External Relations,f1_Freedom and Democracy,f1_Political System,f1_Economy,f1_Welfare and Quality of Life,f1_Fabric of Society,f1_Social Groups,f1_Anti-Far-Right,f1_Anticapitalist,f1_Church,f1_COVID,f1_Democracy,f1_Far Right,f1_Foreign Rights,f1_Gender,f1_Infrastructure,f1_International,f1_Labour,f1_Media,f1_Migration,f1_Nuclear Power,f1_Peace,f1_Peasants,f1_Repression,f1_Religion,f1_Rights,f1_Social,f1_Solidarity,f1_Tolerance,f1_Unclear,f1_Demonstration / Assembly,f1_Petition,f1_Strike,f1_Non-verbal Protest / Cultural Event,f1_Leaflet / Resolution / Open Letter,f1_Attack with Damage to Property,f1_Blockade / Sit-in,f1_Referendum unspecified,f1_Coronavirus,f1_COVID-economy,f1_BLM and responses,f1_health,f1_education,f1_election outcome,f1_pol-neg,f1_partisan-neg,f1_societal divides,f1_morals,"f1_nat ident, goals-loss",f1_racism/discrimination,f1_welfare,f1_terrorism,f1_immigration,f1_asylum,f1_crime,f1_europe,f1_constitutional,f1_international trade,f1_devolution,f1_scot-ind,f1_constitution,f1_foreign affairs,f1_war,f1_defence,f1_foreign emergency,f1_domestic emergency,f1_economy-general,f1_economy-personal,f1_unemployment,f1_taxation,f1_debt/deficit,f1_inflation,f1_living costs,f1_poverty,f1_austerity,f1_inequality,f1_housing,f1_social care,f1_pensions/ageing,f1_transport/infrastructure,f1_environment,f1_pol value-auth,f1_pol values-liberal,f1_pol values-right,f1_pol values-left,f1_other,f1_uncoded,"f1_Agriculture, Forestry, and Fisheries",f1_Committees on Cabinet,"f1_Economy, Trade and Industry","f1_Education, Culture, Sports, Science, and Technology",f1_Financial Affairs,f1_Foreign Affairs,"f1_Health, Labour, and Welfare",f1_Internal Affairs and Communications,"f1_Land, Infrastructure, Transport, and Tourism",f1_No Policy Area,f1_Security,f1_Positive,f1_Negative,f1_No Topic,f1_AGREE,f1_AID,f1_ASSAULT,f1_COERCE,f1_CONCEDE,f1_CONSULT,f1_COOPERATE,f1_DEMAND,f1_DISAPPROVE,f1_FIGHT,f1_INVESTIGATE,f1_MOBILIZE,f1_REJECT,f1_RETREAT,f1_SANCTION,f1_SUPPORT,f1_THREATEN,f1_causal_relation,f1_toxic,f1_impolite,f1_promote,f1_attack,f1_unclear,avg_f1,accuracy,headline_f1,agreement_vs_b1
agoraspeech_criticism_agenda,claude-sonnet-4-6,1,500,500,0.0,,,,0.8730512249443207,0.896551724137931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8848014745411259,0.886,0.8848014745411259,1.0
agoraspeech_criticism_agenda,deepseek-v4-pro,1,500,500,0.0,1.5455153255731566,1.534332812501816,1.534332812501816,0.9027777777777778,0.926056338028169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9144170579029732,0.916,0.9144170579029732,1.0
agoraspeech_criticism_agenda,gemma4:26b,1,500,500,0.0,1.158382043003454,1.0991893539903683,1.0991893539903683,0.8868778280542986,0.910394265232975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8986360466436367,0.9,0.8986360466436367,1.0
agoraspeech_criticism_agenda,gemma4:26b,10,500,500,0.0,0.9702031069959048,0.940537252096692,9.40537252096692,0.8590909090909091,0.8892857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8741883116883117,0.876,0.8741883116883117,0.944
agoraspeech_criticism_agenda,gemma4:31b-it-q4_K_M,1,500,500,0.0,5.797709690904536,5.4256448125088355,5.4256448125088355,0.8828828828828829,0.9064748201438848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8946788515133839,0.896,0.8946788515133839,1.0
agoraspeech_criticism_agenda,gemma4:31b-it-q4_K_M,10,500,500,0.0,5.62739773858292,5.450843143748353,54.50843143748352,0.875,0.9049295774647887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8899647887323944,0.892,0.8899647887323944,0.948
agoraspeech_criticism_agenda,gpt-5.4-nano,1,500,500,0.0,0.9573870927356766,0.8270329579972895,0.8270329579972895,0.8740740740740741,0.9142857142857144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8941798941798942,0.898,0.8941798941798942,1.0
agoraspeech_criticism_agenda,gpt-5.5,1,500,500,0.0,,,,0.8940092165898618,0.9187279151943464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.906368565892104,0.908,0.906368565892104,1.0
agoraspeech_criticism_agenda,mistral-small:24b-instruct-2501-q4_K_M,1,500,500,0.0,3.6570632036548343,3.3514606459939387,3.3514606459939387,0.9082125603864736,0.9351535836177476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9216830720021104,0.924,0.9216830720021104,1.0
agoraspeech_criticism_agenda,mistral-small:24b-instruct-2501-q4_K_M,10,500,498,0.004,3.6424049199176953,3.564797762501985,35.64797762501985,0.854586129753915,0.8816029143897997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8680945220718573,0.8694779116465864,0.8680945220718573,0.8815261044176707
