task,method,n_train,seed,headline_f1,accuracy,n_train_actual,note
gilardi_relevance,e5,50,0.0,0.7789934354485777,0.798,50.0,
gilardi_relevance,e5,50,1.0,0.8169014084507042,0.844,50.0,
gilardi_relevance,e5,50,2.0,0.7949260042283298,0.806,50.0,
gilardi_relevance,e5,50,3.0,0.7024128686327078,0.778,50.0,
gilardi_relevance,e5,50,4.0,0.8164251207729468,0.848,50.0,
gilardi_relevance,e5,100,0.0,0.872651356993737,0.878,100.0,
gilardi_relevance,e5,100,1.0,0.8519269776876268,0.854,100.0,
gilardi_relevance,e5,100,2.0,0.85,0.856,100.0,
gilardi_relevance,e5,100,3.0,0.8368794326241135,0.862,100.0,
gilardi_relevance,e5,100,4.0,0.8309859154929577,0.856,100.0,
gilardi_relevance,e5,250,0.0,0.8922413793103449,0.9,250.0,
gilardi_relevance,e5,250,1.0,0.8912579957356077,0.898,250.0,
gilardi_relevance,e5,250,2.0,0.8948545861297539,0.906,250.0,
gilardi_relevance,e5,250,3.0,0.8782608695652174,0.888,250.0,
gilardi_relevance,e5,250,4.0,0.8791208791208791,0.89,250.0,
gilardi_relevance,e5,500,0.0,0.9013452914798207,0.912,500.0,
gilardi_relevance,e5,500,1.0,0.8874172185430463,0.898,500.0,
gilardi_relevance,e5,500,2.0,0.8956521739130435,0.904,500.0,
gilardi_relevance,e5,500,3.0,0.898876404494382,0.91,500.0,
gilardi_relevance,e5,500,4.0,0.8908296943231441,0.9,500.0,
gilardi_relevance,e5,1000,0.0,0.8971553610503282,0.906,1000.0,
gilardi_relevance,e5,1000,1.0,0.8986784140969163,0.908,1000.0,
gilardi_relevance,e5,1000,2.0,0.8991228070175439,0.908,1000.0,
gilardi_relevance,e5,1000,3.0,0.9046563192904656,0.914,1000.0,
gilardi_relevance,e5,1000,4.0,0.8991228070175439,0.908,1000.0,
gilardi_relevance,e5,2000,,,,,remainder smaller than requested size
ballard_incivility,e5,50,0.0,0.0,0.87,50.0,
