task,method,n_train,seed,headline_f1,accuracy,n_train_actual,note
gilardi_relevance,qwen3,50,0.0,0.7816593886462883,0.8,50.0,
gilardi_relevance,qwen3,50,1.0,0.8412017167381974,0.852,50.0,
gilardi_relevance,qwen3,50,2.0,0.8340248962655602,0.84,50.0,
gilardi_relevance,qwen3,50,3.0,0.8028169014084507,0.832,50.0,
gilardi_relevance,qwen3,50,4.0,0.8306997742663657,0.85,50.0,
gilardi_relevance,qwen3,100,0.0,0.8647540983606558,0.868,100.0,
gilardi_relevance,qwen3,100,1.0,0.8839103869653768,0.886,100.0,
gilardi_relevance,qwen3,100,2.0,0.8739837398373984,0.876,100.0,
gilardi_relevance,qwen3,100,3.0,0.869757174392936,0.882,100.0,
gilardi_relevance,qwen3,100,4.0,0.8641425389755011,0.878,100.0,
gilardi_relevance,qwen3,250,0.0,0.8938053097345132,0.904,250.0,
gilardi_relevance,qwen3,250,1.0,0.8922413793103449,0.9,250.0,
gilardi_relevance,qwen3,250,2.0,0.8997772828507795,0.91,250.0,
gilardi_relevance,qwen3,250,3.0,0.8969957081545065,0.904,250.0,
gilardi_relevance,qwen3,250,4.0,0.8946236559139785,0.902,250.0,
gilardi_relevance,qwen3,500,0.0,0.898876404494382,0.91,500.0,
gilardi_relevance,qwen3,500,1.0,0.911504424778761,0.92,500.0,
gilardi_relevance,qwen3,500,2.0,0.9114470842332614,0.918,500.0,
gilardi_relevance,qwen3,500,3.0,0.9090909090909091,0.918,500.0,
gilardi_relevance,qwen3,500,4.0,0.8850325379609545,0.894,500.0,
gilardi_relevance,qwen3,1000,0.0,0.9173913043478261,0.924,1000.0,
gilardi_relevance,qwen3,1000,1.0,0.9078947368421053,0.916,1000.0,
gilardi_relevance,qwen3,1000,2.0,0.9146608315098468,0.922,1000.0,
gilardi_relevance,qwen3,1000,3.0,0.9026548672566371,0.912,1000.0,
gilardi_relevance,qwen3,1000,4.0,0.9,0.908,1000.0,
gilardi_relevance,qwen3,2000,,,,,remainder smaller than requested size
ballard_incivility,qwen3,50,0.0,0.13513513513513514,0.872,50.0,
ballard_incivility,qwen3,50,1.0,0.18556701030927836,0.842,50.0,
ballard_incivility,qwen3,50,2.0,0.06060606060606061,0.876,50.0,
ballard_incivility,qwen3,50,3.0,0.08571428571428572,0.872,50.0,
ballard_incivility,qwen3,50,4.0,0.14634146341463414,0.86,50.0,
ballard_incivility,qwen3,100,0.0,0.16296296296296298,0.774,100.0,
ballard_incivility,qwen3,100,1.0,0.21359223300970873,0.838,100.0,
ballard_incivility,qwen3,100,2.0,0.14285714285714285,0.88,100.0,
ballard_incivility,qwen3,100,3.0,0.30409356725146197,0.762,100.0,
ballard_incivility,qwen3,100,4.0,0.22413793103448276,0.82,100.0,
ballard_incivility,qwen3,250,0.0,0.39759036144578314,0.8,250.0,
ballard_incivility,qwen3,250,1.0,0.37073170731707317,0.742,250.0,
ballard_incivility,qwen3,250,2.0,0.272108843537415,0.786,250.0,
ballard_incivility,qwen3,250,3.0,0.40625,0.848,250.0,
ballard_incivility,qwen3,250,4.0,0.30357142857142855,0.844,250.0,
ballard_incivility,qwen3,500,0.0,0.4489795918367347,0.838,500.0,
ballard_incivility,qwen3,500,1.0,0.358974358974359,0.8,500.0,
ballard_incivility,qwen3,500,2.0,0.425,0.816,500.0,
ballard_incivility,qwen3,500,3.0,0.4148148148148148,0.842,500.0,
ballard_incivility,qwen3,500,4.0,0.4046242774566474,0.794,500.0,
ballard_incivility,qwen3,1000,0.0,0.38926174496644295,0.818,1000.0,
ballard_incivility,qwen3,1000,1.0,0.4583333333333333,0.844,1000.0,
ballard_incivility,qwen3,1000,2.0,0.4675324675324675,0.836,1000.0,
ballard_incivility,qwen3,1000,3.0,0.42105263157894735,0.824,1000.0,
ballard_incivility,qwen3,1000,4.0,0.4117647058823529,0.8,1000.0,
ballard_incivility,qwen3,2000,0.0,0.4966442953020134,0.85,2000.0,
ballard_incivility,qwen3,2000,1.0,0.4840764331210191,0.838,2000.0,
