task,method,crosses_local,crosses_api,best_f1,best_local_llm,best_api_llm
agoraspeech_criticism_agenda,e5,NA,NA,0.8996689092796707,0.9216830720021104,0.9144170579029732
agoraspeech_criticism_agenda,tfidf,NA,NA,0.8729670674907107,0.9216830720021104,0.9144170579029732
ballard_incivility,e5,NA,NA,0.5101184581764031,0.5222929936305732,0.5632183908045977
ballard_incivility,tfidf,NA,NA,0.3162645142957428,0.5222929936305732,0.5632183908045977
bestvater_kavanaugh_stance,e5,NA,NA,0.9093118642232795,0.9318181818181818,0.9543726235741444
bestvater_kavanaugh_stance,tfidf,2000,2000,0.9571150523166649,0.9318181818181818,0.9543726235741444
bestvater_wm_stance,e5,50,50,0.9179452868188565,0.8891752577319587,0.90537084398977
bestvater_wm_stance,tfidf,50,50,0.9235339720273531,0.8891752577319587,0.90537084398977
brandt_gtd_attack_type,e5,1000,2000,0.6515896960936794,0.5875052028588512,0.6166733347077308
brandt_gtd_attack_type,tfidf,NA,NA,0.533709977538326,0.5875052028588512,0.6166733347077308
burnham_polnli_entailment,e5,NA,NA,0.6844176858094706,0.8900523560209425,0.9081632653061223
burnham_polnli_entailment,tfidf,NA,NA,0.6007209783449179,0.8900523560209425,0.9081632653061223
burnham_polnli_event_entailment,e5,NA,NA,0.8957741265685655,0.974074074074074,0.9730769230769232
burnham_polnli_event_entailment,tfidf,NA,NA,0.8159146470303295,0.974074074074074,0.9730769230769232
burnham_trump_stance,e5,NA,NA,0.6079235595885343,0.7683974832569618,0.8035347193357035
burnham_trump_stance,tfidf,NA,NA,0.5951031827115202,0.7683974832569618,0.8035347193357035
cap_crs_policy_topic,e5,NA,NA,0.7219979391628072,0.7240412525427258,0.7687893334896417
cap_crs_policy_topic,tfidf,NA,NA,0.6805228077445831,0.7240412525427258,0.7687893334896417
cap_party_platform_policy_topic,e5,2000,NA,0.6616064197697201,0.6487675562444446,0.7313208025863664
cap_party_platform_policy_topic,tfidf,NA,NA,0.45338781934330774,0.6487675562444446,0.7313208025863664
chae_semeval_stance,e5,NA,NA,0.6675279234742729,0.7724432212061942,0.7728660973490605
chae_semeval_stance,tfidf,NA,NA,0.5740561130906406,0.7724432212061942,0.7728660973490605
dicocco_manifesto_populism,e5,1000,500,0.47223662134763095,0.4545454545454546,0.3606557377049181
dicocco_manifesto_populism,tfidf,NA,NA,0.34802706650864085,0.4545454545454546,0.3606557377049181
douglass_icbe_sentence_event_type,e5,2000,500,0.5379667610386184,0.5296694213046859,0.5055795347230292
douglass_icbe_sentence_event_type,tfidf,NA,NA,0.46928378424968337,0.5296694213046859,0.5055795347230292
erlich_ati_topics,e5,250,500,0.5627986097788493,0.4767635368949859,0.5016109474071208
erlich_ati_topics,tfidf,2000,2000,0.5056548716938225,0.4767635368949859,0.5016109474071208
gilardi_relevance,e5,NA,NA,0.8997471416945596,0.9147609147609148,0.9501084598698482
gilardi_relevance,tfidf,NA,NA,0.8970982346312344,0.9147609147609148,0.9501084598698482
gilardi_stance,e5,50,100,0.6330179710765755,0.5291208158507948,0.5676814731385978
gilardi_stance,tfidf,250,250,0.6017292059735129,0.5291208158507948,0.5676814731385978
halterman_keith_bfrs,e5,1000,NA,0.684063479801467,0.6808003001865107,0.6931006919583643
halterman_keith_bfrs,tfidf,NA,NA,0.6338003123062026,0.6808003001865107,0.6931006919583643
halterman_keith_cmp,e5,NA,NA,0.4818059492131702,0.5770605285451851,0.5971026611041956
halterman_keith_cmp,tfidf,NA,NA,0.3283241740822563,0.5770605285451851,0.5971026611041956
haunss_papea_claims,e5,1000,NA,0.4933640176686853,0.4446298363304221,0.49790459843137735
haunss_papea_claims,tfidf,NA,NA,0.2348103889643427,0.4446298363304221,0.49790459843137735
haunss_papea_fgz_forms,e5,NA,NA,0.9180994448840502,0.9575104130779049,0.9646428729486743
haunss_papea_fgz_forms,tfidf,NA,NA,0.7563170898639707,0.9575104130779049,0.9646428729486743
mellon_bes_mii_2024,e5,NA,NA,0.5534069795719014,0.7538765079668236,0.7810516659612524
mellon_bes_mii_2024,tfidf,NA,NA,0.5071463044396884,0.7538765079668236,0.7810516659612524
muller_fujimura_campaign_policy_area,e5,500,500,0.7362639439070808,0.628407986248298,0.6359389352160312
muller_fujimura_campaign_policy_area,tfidf,NA,NA,0.09848621689301612,0.628407986248298,0.6359389352160312
ornstein_scotus_sentiment,e5,250,NA,0.6678178338369728,0.6649066662015963,0.6683597711140085
ornstein_scotus_sentiment,tfidf,NA,NA,0.4838439116197653,0.6649066662015963,0.6683597711140085
osnabruegge_cross_domain_topic,e5,500,1000,0.5370090699921911,0.4353198183355853,0.4755147533687056
osnabruegge_cross_domain_topic,tfidf,NA,NA,0.3882171149366773,0.4353198183355853,0.4755147533687056
politicause_causal_relation,e5,NA,NA,0.6051881222712426,0.6910994764397905,0.7164179104477612
politicause_causal_relation,tfidf,NA,NA,0.5895653738159692,0.6910994764397905,0.7164179104477612
rheault_line_of_fire_incivility,e5,NA,NA,0.5505665109904484,0.6611570247933884,0.6068965517241379
rheault_line_of_fire_incivility,tfidf,NA,NA,0.38777460873255876,0.6611570247933884,0.6068965517241379
theocharis_dynamics_incivility,e5,2000,NA,0.6672725916954392,0.6571428571428571,0.6824324324324325
theocharis_dynamics_incivility,tfidf,NA,NA,0.5104589530223339,0.6571428571428571,0.6824324324324325
toxicity_protests_es,e5,NA,NA,0.8197084446472102,0.8937007874015748,0.8877005347593583
toxicity_protests_es,tfidf,NA,NA,0.7462118275031296,0.8937007874015748,0.8877005347593583
twitcivility_impoliteness,e5,NA,NA,0.5832376901982251,0.6308243727598566,0.6217228464419475
twitcivility_impoliteness,tfidf,NA,NA,0.4116973613511206,0.6308243727598566,0.6217228464419475
wesleyan_creative_ads_2022,e5,NA,NA,0.6579104916831154,0.6978563677861257,0.7110276217292517
wesleyan_creative_ads_2022,tfidf,NA,NA,0.5499736559321288,0.6978563677861257,0.7110276217292517
