task,family,source,label_kind,label_count,effective_label_count,coding_complexity,sample_n,prompt_chars,prompt_words,item_chars_mean,item_chars_median,item_chars_p90,item_chars_max,item_words_mean,item_words_median,item_words_p90,item_lines_mean,item_lines_median,complexity_proxy_z,local_best_model,local_best_f1,local_mean_f1,api_best_model,api_best_f1,api_mean_f1,local_minus_api_best_f1,local_minus_api_mean_f1
politicause_causal_relation,Causal relation detection,Garcia Corral et al. 2024,binary,1,1.8631411036864503,Low,500,700,108,178.362,167.0,278.0,510.0,27.99,26.0,43.0,3.0,3.0,-0.604381358541461,gemma4:31b-it-q4_K_M,0.6636971046770601,0.6377009323992925,claude-sonnet-4-6,0.7164179104477612,0.6795017912230951,-0.05272080577070104,-0.04180085882380258
brandt_gtd_attack_type,Event coding,Brandt et al. 2025,categorical,9,5.087856816402371,Medium,500,1391,194,327.798,296.5,496.20000000000005,1032.0,48.19,43.0,74.0,3.0,3.0,0.47344624382469097,mistral-small:24b-instruct-2501-q4_K_M,0.5750213769427017,0.5457843094671516,gpt-5.4-nano,0.6166733347077308,0.5836354771570498,-0.04165195776502906,-0.03785116768989816
burnham_polnli_event_entailment,Event coding,Burnham et al. 2025,binary,1,1.9972966088064759,Low,500,467,80,252.294,223.5,422.1,813.0,39.438,35.0,66.0,6.0,6.0,-0.6846282732384337,gemma4:31b-it-q4_K_M,0.974074074074074,0.9567663343214013,gpt-5.5,0.9730769230769232,0.9644258952784964,0.0009971509971508086,-0.0076595609570950796
douglass_icbe_sentence_event_type,Event coding,Douglass et al. 2024,categorical,5,4.629152056562439,Medium,500,942,139,170.946,160.0,255.4000000000001,553.0,26.23,24.0,41.0,3.0,3.0,-0.09742283477442275,gemma4:26b,0.5296694213046859,0.4711005963226193,deepseek-v4-pro,0.5055795347230292,0.47039611267095294,0.024089886581656672,0.0007044836516663655
halterman_ccc_protest,Event coding,Halterman and Keith 2025,categorical,4,2.536763201223556,Medium,500,2319,358,2960.704,2678.0,5243.7,6599.0,461.532,417.5,817.1,3.0,3.0,1.227928610131228,qwen3:14b-q4_K_M,0.498815037767539,0.4839108962933928,gpt-5.5,0.453165087274399,0.43882223387675606,0.04564995049313997,0.04508866241663673
halterman_keith_bfrs,Event coding,Halterman and Keith 2025,categorical,12,7.836273157417725,Medium,500,13554,1922,221.808,181.0,394.4000000000001,969.0,36.694,30.0,65.0,3.0,3.0,1.41811480257883,gemma4:26b,0.6808003001865107,0.6214026638114113,gpt-5.5,0.6931006919583643,0.6766070393244322,-0.012300391771853603,-0.05520437551302093
haunss_papea_claims,Event coding,Haunss et al. 2025,categorical,28,12.957263832212025,High,500,665,101,75.974,57.0,140.20000000000005,476.0,9.68,7.0,19.0,3.0,3.0,-0.05439914294997875,gemma4:31b-it-q4_K_M,0.4128705623068204,0.375803990518438,gpt-5.5,0.4623399842577075,0.42014880800925003,-0.049469421950887105,-0.04434481749081204
haunss_papea_fgz_forms,Event coding,Haunss et al. 2025,categorical,7,4.340575022067319,Medium,500,1195,178,50.946,41.0,78.10000000000002,251.0,5.63,4.0,9.0,3.0,3.0,-0.3593923099917074,gemma4:31b-it-q4_K_M,0.9575104130779049,0.9282024592381195,gpt-5.5,0.9646428729486743,0.9319775264274869,-0.007132459870769492,-0.003775067189367376
plover_cameo_event,Event coding,PLOVER gold-standard records,categorical,18,15.343868362288928,High,312,464,75,168.93910256410257,165.0,216.80000000000007,289.0,25.39423076923077,25.0,33.0,3.0,3.0,0.002741544331459641,gemma4:31b-it-q4_K_M,0.5774070180942642,0.5172905973503997,gpt-5.5,0.6537294490610169,0.6077344871452812,-0.07632243096675273,-0.0904438897948815
burnham_polnli_entailment,Hypothesis-conditioned classification,Burnham et al. 2025,binary,1,1.9704882784632098,Low,500,409,66,348.89,276.0,586.1,2368.0,53.37,41.0,93.0,7.0,7.0,-0.6705587088988607,gemma4:31b-it-q4_K_M,0.8900523560209425,0.8585795807800997,gpt-5.5,0.9081632653061223,0.8883734662229743,-0.018110909285179888,-0.029793885442874646
cap_crs_policy_topic,Policy-topic coding,Policy Agendas Project 2025,categorical,21,15.845806403670357,High,500,765,114,1592.562,901.0,3841.1,5132.0,233.428,126.0,567.2,6.0,6.0,0.8719588667388488,gemma4:31b-it-q4_K_M,0.6895630976597388,0.6512019406513163,gpt-5.5,0.7321803176091826,0.6983846548290846,-0.042617219949443785,-0.047182714177768315
cap_party_platform_policy_topic,Policy-topic coding,Policy Agendas Project 2025,categorical,21,17.07614551417018,High,500,751,111,194.246,184.5,290.0,429.0,27.856,26.0,43.0,6.0,6.0,0.3097486344448798,gemma4:31b-it-q4_K_M,0.6466154865250479,0.6216868390053817,claude-sonnet-4-6,0.7313208025863664,0.6925663857227634,-0.08470531606131859,-0.07087954671738173
erlich_ati_topics,Policy-topic coding,Erlich et al. 2022,multi_binary,7,13.82893744799102,High,500,1282,164,427.514,301.0,904.4000000000001,2786.0,64.626,45.0,139.10000000000002,3.0,3.0,0.36312069977820444,gemma4:31b-it-q4_K_M,0.4767635368949859,0.4365841396273097,claude-sonnet-4-6,0.5016109474071208,0.482179048533388,-0.02484741051213485,-0.04559490890607831
halterman_keith_cmp,Policy-topic coding,Halterman and Keith 2025 plus CMP,categorical,7,5.727542480707473,Medium,500,2538,324,142.306,132.0,237.10000000000002,415.0,20.058,18.0,34.0,3.0,3.0,0.38300131743837434,gemma4:31b-it-q4_K_M,0.5770605285451851,0.5434790955536959,gpt-5.5,0.5971026611041956,0.5658263239059962,-0.02004213255901055,-0.022347228352300297
mellon_bes_mii_2024,Policy-topic coding,Mellon et al. 2024,categorical,50,10.811297849202065,High,500,3999,508,35.132,33.0,46.0,236.0,4.1,3.0,6.0,2.0,2.0,0.7647379717183301,gemma4:26b,0.5277135555767765,0.48905232038873364,gpt-5.5,0.5467361661728767,0.5225956966844079,-0.01902261059610022,-0.03354337629567422
muller_fujimura_campaign_policy_area,Policy-topic coding,Müller and Fujimura 2024,categorical,12,7.379149482348544,Medium,500,3283,377,52.592,48.0,72.0,168.0,4.022,4.0,4.0,3.0,3.0,0.3207067031020185,gemma4:31b-it-q4_K_M,0.628407986248298,0.593854327139025,gpt-5.5,0.6359389352160312,0.6189494778414033,-0.007530948967733209,-0.025095150702378333
osnabruegge_cross_domain_topic,Policy-topic coding,"Osnabruegge, Ash, and Morelli 2023",categorical,8,6.454928876378869,Medium,500,2603,343,1126.25,367.5,3052.1000000000004,15632.0,193.82,63.0,534.8000000000002,3.0,3.0,0.7929366578239737,gemma4:31b-it-q4_K_M,0.4353198183355852,0.4072511348677842,claude-sonnet-4-6,0.4755147533687056,0.42979813787796617,-0.04019493503312038,-0.022547003010181976
ballard_incivility,Relevance / Incivility,Ballard 2022,binary,1,1.4490251243918684,Low,500,1747,277,158.03,147.0,252.20000000000005,328.0,23.028,21.0,39.0,2.314,2.0,-0.2376786511301526,gemma4:31b-it-q4_K_M,0.5222929936305732,0.42226364743384937,claude-sonnet-4-6,0.5632183908045977,0.4890074803867907,-0.040925397174024436,-0.06674383295294134
brandt_political_relevance,Relevance / Incivility,Brandt et al. 2025,binary,1,1.5665579096391393,Low,320,624,89,2059.33125,1917.0,3174.0,5716.0,358.553125,332.5,548.0,3.0,3.0,0.19682669274696604,qwen3:14b-q4_K_M,0.7391304347826086,0.6652732149380952,claude-sonnet-4-6,0.726027397260274,0.6576572028404424,0.01310303752233466,0.007616012097652836
gilardi_relevance,Relevance / Incivility,Gilardi et al. 2023,binary,1,1.9907910582387458,Medium,500,2244,369,221.048,242.0,304.1,538.0,32.986,36.5,50.0,3.45,2.0,0.048566480541400336,gemma4:31b-it-q4_K_M,0.9147609147609148,0.8790774763241723,gpt-5.5,0.9501084598698482,0.8883857040457837,-0.03534754510893334,-0.009308227721611328
rheault_line_of_fire_incivility,Relevance / Incivility,"Rheault, Rayment, and Musulan 2019",binary,1,1.4258917930039645,Low,500,745,133,130.02,139.0,172.0,180.0,21.078,21.0,30.0,3.0,3.0,-0.6402434098567449,gemma4:26b,0.5882352941176471,0.5602100509332752,deepseek-v4-pro,0.6068965517241379,0.5919964877112006,-0.018661257606490844,-0.031786436777925364
theocharis_dynamics_incivility,Relevance / Incivility,Theocharis et al. 2020,binary,1,1.812726987523014,Low,500,803,129,115.484,133.0,148.0,152.0,16.75,18.0,25.0,3.0,3.0,-0.6218977491712177,gemma4:31b-it-q4_K_M,0.6571428571428571,0.6187399303842807,gpt-5.5,0.6824324324324325,0.670159815305357,-0.025289575289575317,-0.0514198849210763
toxicity_protests_es,Relevance / Incivility,Gonzalez-Bustamante 2024,binary,1,1.999936000341327,Low,500,662,108,157.26,145.0,269.1,311.0,22.964,21.0,41.0,3.0,3.0,-0.6786138533828,gemma4:26b,0.8937007874015748,0.8658149067668625,claude-sonnet-4-6,0.8877005347593583,0.8693496341512836,0.006000252642216486,-0.003534727384421177
twitcivility_impoliteness,Relevance / Incivility,TwitCivility,binary,1,1.7311113190326612,Low,500,637,101,192.622,185.5,290.0,308.0,33.016,31.0,51.0,3.0,3.0,-0.6101618907526839,gemma4:31b-it-q4_K_M,0.6308243727598566,0.5709336248911437,gpt-5.4-nano,0.6217228464419475,0.6109047762363372,0.009101526317909059,-0.03997115134519347
agoraspeech_criticism_agenda,Rhetoric / Discourse Function,Sermpezis et al. 2026,categorical,2,1.9676866172244845,Low,500,622,88,895.914,771.0,1715.1,3913.0,153.99,131.0,289.5000000000001,6.0,6.0,0.020016748766661634,mistral-small:24b-instruct-2501-q4_K_M,0.9216830720021104,0.896680386546354,deepseek-v4-pro,0.9144170579029732,0.8999417481290243,0.007266014099137186,-0.003261361582670319
dicocco_manifesto_populism,Rhetoric / Populism,Di Cocco and Monechi 2022,binary,1,1.3279376453070957,Low,500,693,108,305.79,185.0,702.0,2548.0,42.11,26.0,98.10000000000002,3.0,3.0,-0.5732492069018947,mistral-small:24b-instruct-2501-q4_K_M,0.4545454545454545,0.3142900104200099,claude-sonnet-4-6,0.360655737704918,0.2666186410671063,0.09388971684053649,0.047671369352903614
bestvater_kavanaugh_stance,Sentiment / Stance / Tone,Bestvater and Monroe 2023,binary,1,1.9929481401179958,Low,500,690,105,232.828,243.0,307.0,460.0,35.238,37.0,49.0,3.0,3.0,-0.48013805727377007,gemma4:31b-it-q4_K_M,0.9318181818181818,0.8374308415000902,gpt-5.5,0.9543726235741444,0.9143982415056924,-0.022554441755962662,-0.0769674000056022
bestvater_wm_stance,Sentiment / Stance / Tone,Bestvater and Monroe 2023,binary,1,1.5313698485087563,Low,500,703,108,119.236,128.5,152.0,179.0,16.18,17.0,24.0,3.0,3.0,-0.6936192217901244,gemma4:31b-it-q4_K_M,0.8590250329380764,0.820117537036684,claude-sonnet-4-6,0.90537084398977,0.8460793934958768,-0.04634581105169355,-0.0259618564591928
burnham_covid_threat_minimization,Sentiment / Stance / Tone,Burnham 2025,binary,1,1.7788443179319229,Low,293,663,104,196.2730375426621,201.0,290.0,603.0,32.24232081911263,34.0,49.0,3.0,3.0,-0.5642293928904328,mistral-small:24b-instruct-2501-q4_K_M,0.6015037593984962,0.3530957602565695,gpt-5.4-nano,0.5378151260504201,0.5135651008153118,0.06368863334807606,-0.1604693405587423
burnham_trump_stance,Sentiment / Stance / Tone,Burnham 2025,categorical,3,2.8838430426410007,Low,500,672,103,151.126,142.0,251.10000000000002,776.0,23.096,21.0,38.10000000000002,3.0,3.0,-0.4340725725216332,gemma4:31b-it-q4_K_M,0.7683974832569618,0.7298746091352072,claude-sonnet-4-6,0.8035347193357035,0.7651167939553117,-0.03513723607874175,-0.03524218482010455
chae_semeval_stance,Sentiment / Stance / Tone,Chae and Davidson 2025,categorical,3,2.7849020773653943,Low,500,1268,197,123.766,133.0,150.0,154.0,18.57,19.0,24.0,3.0,3.0,-0.17148634194433468,gemma4:31b-it-q4_K_M,0.7724432212061942,0.7314435728252615,gpt-5.5,0.7728660973490605,0.7572808382899698,-0.00042287614286629083,-0.025837265464708326
gilardi_stance,Sentiment / Stance / Tone,Gilardi et al. 2023,categorical,3,2.3513284547581677,Medium,500,2627,431,213.966,220.5,302.0,535.0,32.636,33.0,47.0,3.312,2.0,0.33206822643822237,gemma4:31b-it-q4_K_M,0.5291208158507948,0.5095942339380692,claude-sonnet-4-6,0.5676814731385978,0.4753303848575987,-0.038560657287803,0.03426384908047053
ornstein_scotus_sentiment,Sentiment / Stance / Tone,Ornstein et al. 2025,categorical,3,2.4624287699339407,Low,500,1191,181,186.436,176.5,298.0,315.0,30.19,28.0,48.0,3.4,3.0,-0.1011887042396946,qwen3:14b-q4_K_M,0.6649066662015963,0.6225107514788073,deepseek-v4-pro,0.6683597711140085,0.5846064999186535,-0.0034531049124121305,0.03790425156015376
wesleyan_creative_ads_2022,Sentiment / Stance / Tone,Zhang et al. 2025,categorical,3,1.998668990304893,Low,500,1604,260,1615.1,1381.0,3049.1,4161.0,253.746,214.0,479.20000000000005,8.778,9.0,0.7514414798462652,gemma4:26b,0.6978563677861257,0.6569431398632362,gpt-5.4-nano,0.7110276217292517,0.6803554682323782,-0.013171253943126016,-0.023412328369142088
